!Series_title	"Circulating Tumor Cell Clusters are Oligoclonal Precursors of Breast Cancer Metastasis"
!Series_geo_accession	"GSE51827"
!Series_status	"Public on Jul 11 2014"
!Series_submission_date	"Oct 29 2013"
!Series_last_update_date	"Jan 29 2020"
!Series_pubmed_id	"25013076"
!Series_pubmed_id	"25171411"
!Series_summary	"Clusters of circulating tumor cells (CTC-clusters) are present in the blood of patients with cancer but their contribution to metastasis is not well defined. Here, we first use mouse models to demonstrate that breast cancer cells injected intravascularly as clusters are more prone to survive and colonize the lungs than single cells. Primary mammary tumors comprised of tagged cells give rise to oligoclonal CTC-clusters, with 50-fold increased metastatic potential, compared with single CTCs. Using intravital imaging and in vivo flow cytometry, CTC-clusters are visualized in the tumor circulation, and they demonstrate rapid clearance in peripheral vessels. In patients with breast cancer, presence of CTC-clusters is correlated with decreased progression-free survival. RNA sequencing identifies the cell junction protein plakoglobin as most differentially expressed between clusters and single human breast CTCs. Expression of plakoglobin is required for efficient CTC-cluster formation and breast cancer metastasis in mice, while its expression is associated with diminished metastasis-free survival in breast cancer patients. Together, these observations suggest that plakoglobin-enriched primary tumor cells break off into the vasculature as CTC-clusters, with greatly enhanced metastasis propensity."
!Series_overall_design	"RNA-seq from 29 samples (15 pools of single CTCs and 14 CTC-clusters) isolated from 10 breast cancer patients"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Nicola,,Aceto"
!Series_contributor	"Aditya,,Bardia"
!Series_contributor	"Joel,A,Spencer"
!Series_contributor	"Ben,S,Wittner"
!Series_contributor	"Min,,Yu"
!Series_contributor	"Maria,C,Donaldson"
!Series_contributor	"Adam,,Pely"
!Series_contributor	"Amanda,,Engstrom"
!Series_contributor	"Huili,,Zhu"
!Series_contributor	"Brian,W,Brannigan"
!Series_contributor	"Ravi,,Kapur"
!Series_contributor	"Shannon,L,Stott"
!Series_contributor	"Toshi,,Shioda"
!Series_contributor	"Sridhar,,Ramaswamy"
!Series_contributor	"David,T,Ting"
!Series_contributor	"Charles,P,Lin"
!Series_contributor	"Mehmet,,Toner"
!Series_contributor	"Daniel,A,Haber"
!Series_contributor	"Shyamala,,Maheswaran"
!Series_sample_id	"GSM1253375 GSM1253376 GSM1253377 GSM1253378 GSM1253379 GSM1253380 GSM1253381 GSM1253382 GSM1253383 GSM1253384 GSM1253385 GSM1253386 GSM1253387 GSM1253388 GSM1253389 GSM1253390 GSM1253391 GSM1253392 GSM1253393 GSM1253394 GSM1253395 GSM1253396 GSM1253397 GSM1253398 GSM1253399 GSM1253400 GSM1253401 GSM1253402 GSM1253403 "
!Series_contact_name	"Ben,S.,Wittner"
!Series_contact_email	"wittner.ben@mgh.harvard.edu"
!Series_contact_laboratory	"Lawrence"
!Series_contact_department	"Center for Cancer Research"
!Series_contact_institute	"Massachusetts General Hospital"
!Series_contact_address	"149 13th Street"
!Series_contact_city	"Boston"
!Series_contact_state	"MA"
!Series_contact_zip/postal_code	"02129"
!Series_contact_country	"USA"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51827/suppl/GSE51827_platform.xls.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51827/suppl/GSE51827_readCounts.xls.gz"
!Series_platform_id	"GPL16288"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
