pval,qval
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4.40756759862016e-301,1.78380557241299e-298
3.8186242789486e-287,1.35227032278267e-284
1.59932738648738e-286,5.03432720657638e-284
3.0624574346768e-240,8.67594191243939e-238
3.0624574346768e-240,8.67594191243939e-238
1.24333059500732e-187,3.20214143241432e-185
5.02845953899957e-183,1.18713548949881e-180
1.81173428914904e-166,3.94818710858402e-164
1.50733469049146e-155,3.05019941297308e-153
6.14151671954698e-147,1.15992779109844e-144
1.71559503104305e-136,3.0376754518406e-134
4.7795510579395e-110,7.96498126302506e-108
9.86679570261928e-109,1.55292401252891e-106
1.23139180146941e-105,1.83606998608571e-103
6.24814033593942e-88,8.85049078585819e-86
2.64474073301886e-87,3.56788118887734e-85
8.41914832118039e-83,1.084156690632e-80
8.40816388548488e-78,1.03566644728603e-75
6.03096287483526e-76,7.11904909350346e-74
7.15325427842059e-75,8.10606774830621e-73
2.02119465306955e-73,2.20232478928693e-71
2.71856495908813e-71,2.85247945522099e-69
1.56933015543366e-68,1.58782583226556e-66
4.21796963587778e-66,4.12051999256612e-64
6.08598431561562e-66,5.74719785537969e-64
7.37796671590197e-63,6.74250958262913e-61
9.56374763818725e-61,8.46690533093265e-59
1.25969649856239e-55,1.08143035770523e-53
1.29773032650939e-52,1.08131471029444e-50
5.86539138433563e-51,4.74761536909224e-49
6.68967366134899e-51,5.26440152294492e-49
1.00606593804316e-45,7.7032021688548e-44
1.39942008253336e-44,1.0433044983729e-42
1.57967733335775e-44,1.14749381676987e-42
6.14689097641487e-44,4.35353553404583e-42
2.35770722593377e-43,1.62911818806595e-41
1.86299353206255e-42,1.25663349436505e-40
3.92649992490382e-42,2.58692425284943e-40
7.48170043324522e-40,4.81719484713266e-38
1.38188984633793e-38,8.6997642992786e-37
2.23443749657246e-38,1.37612204951952e-36
3.0690003957087e-38,1.84988896192399e-36
9.48701513317452e-37,5.59931539005904e-35
3.25297786064866e-36,1.88075230188116e-34
8.32768695823432e-36,4.71846743053556e-34
4.37658698367371e-35,2.43115116171522e-33
5.78402449787566e-35,3.1511810389388e-33
8.10116721376066e-35,4.33030315407244e-33
2.15783170583486e-34,1.13206244863522e-32
2.77999948041893e-34,1.43195245964124e-32
7.78318577579994e-32,3.93745808979307e-30
8.52140456380238e-31,4.23528756653546e-29
1.02272231838663e-30,4.99546953101607e-29
1.87998263818858e-28,9.02710307455633e-27
3.60219060403587e-28,1.7008343302056e-26
4.52333090838505e-27,2.10075351859916e-25
8.69606095891939e-27,3.97353882203527e-25
8.69606095891939e-27,3.97353882203527e-25
2.8748037478577e-26,1.29274905042553e-24
4.63295541453023e-26,2.05080667021315e-24
