,norm_foldChange,log2FC,Type
MAN1A2,0.643344709897611,-0.636336141153584,DEg
ZNF34,0.364856619890177,-1.45459846490135,DEa
CEBPD,0.242929292929293,-2.04139163119693,DEg
GPR153,0.199297943978795,-2.32700126793616,DEg
TEAD3,0.107438016528926,-3.2184235191335,DEg
FOXD1,0.0841338861361108,-3.57116920601065,DEg
AGAP11,0.075098814229249,-3.73506606125072,DEg
SDHAP2,0.0725901253918495,-3.78408288145904,DEa
ACTB,0.0543106223363837,-4.20262179481549,DEa
PRRG2,0.0469596628537026,-4.41243413910013,DEg
CHMP3,0.0459186861743516,-4.44477482556739,DEa
HBA2,0.0371860387617823,-4.74909511655214,DEg
CLK3,0.0364591369912715,-4.77757577741436,DEg
ADD1,0.0363763181659659,-4.78085666197248,DEg
RAB11A,0.0338686663517179,-4.8839050109038,DEa
WAC,0.0333524526176509,-4.9060633339355,DEa
HBM,0.03141847927124,-4.99224283730735,DEg
TMEM59,0.0309075050248398,-5.01589899088656,DEa
GGCT,0.0270865312128176,-5.20628054051284,DEg
ARF4,0.026282659952417,-5.24974489790572,DEg
DUSP22,0.0252837948540762,-5.30564317537848,DEg
MLL2,0.02469975300247,-5.33935957484305,DEg
ANXA5,0.0182530542964162,-5.77571829840629,DEg
YOD1,0.0175143001255621,-5.83532285082428,DEg
SSBP4,0.0155568423084347,-6.00630693460948,DEg
DAD1,0.0152390484919711,-6.03608336429059,DEg
CAPRIN1,0.0147171223260856,-6.08636058439514,DEg
TBP,0.0142857142857143,-6.12928301694497,DEa
RPL39L,0.0139059101889305,-6.16815801272183,DEg
CIR1,0.0130505273940106,-6.25974808004091,DEg
PAIP2,0.0127760847007961,-6.29041040733768,DEg
DSE,0.0126580479172145,-6.3038012555693,DEg
TSPAN15,0.0123941791622863,-6.33419346152977,DEg
MED23,0.0106401636948261,-6.55433584345657,DEg
HNRNPK,0.0104232377493911,-6.58405270108055,DEa
ART5,0.00909984510901942,-6.7799422956531,DEg
TFIP11,0.00903698365113563,-6.78994297194576,DEg
AKAP9,0.0088659828493228,-6.81750371295756,DEg
SYNGR2,0.00822104068190127,-6.9264632518761,DEg
TYSND1,0.00788439455936342,-6.98678430957524,DEg
VDAC1,0.0078046434993736,-7.00145155040025,DEg
MBP,0.00744150606740239,-7.07018965041419,DEg
SLC44A2,0.00729055333113165,-7.09975596972785,DEa
AMIGO2,0.00708146713472945,-7.14173599656816,DEg
SSU72,0.00610280480607702,-7.35631183709989,DEg
IGF1R,0.00593219397691174,-7.39721851138856,DEg
STRADB,0.00482500809116741,-7.69525292299073,DEg
HSBP1L1,0.00471407332197121,-7.72881008644278,DEg
PDCD4,0.00459060218178026,-7.76710087008954,DEg
TMED3,0.00384926856245208,-8.0211999535494,DEa
SMURF1,0.00383391362910077,-8.02696644850933,DEg
POLR2K,0.00360039588063303,-8.11762873821119,DEg
CCND1,0.00359851167102265,-8.1183839472213,DEg
RGS3,0.00325995143068314,-8.26093381444946,DEg
TMEM86B,0.00308859924104933,-8.33883159739977,DEg
PIGC,0.00304981351655891,-8.35706325410486,DEg
MSN,0.00285128762714763,-8.45417070440794,DEg
EIF4E,0.0023266365542174,-8.74753842088056,DEg
NQO2,0.0021660039725941,-8.85074839571559,DEg
DKFZP586I1420,0.00210596918634559,-8.89129995705042,DEg
ZNF398,0.00203761755485893,-8.93890099051114,DEg
CD59,0.00184410884585406,-9.08286047339619,DEg
FAR1,0.00170815886753447,-9.19334212542643,DEg
PRICKLE2,0.0016660970608339,-9.22931183527624,DEg
ATRIP,0.00160197165742452,-9.28593566129424,DEg
HBG2,0.00148582062675318,-9.39452432525494,DEg
SMOX,0.0014451581027668,-9.43455694999827,DEg
TMEM129,0.00142871861798949,-9.45106247487897,DEg
CDC25B,0.00125392661590483,-9.6393313655238,DEg
FANCE,0.00123047466574359,-9.66656933022428,DEg
DCAF11,0.00113086953336752,-9.78835178718298,DEg
LTBP1,0.00110316978426739,-9.82412943745877,DEg
KLHL6,0.00108170366136982,-9.85247896556059,DEa
JAK2,0.00103549673973409,-9.91546127342801,DEg
NT5C2,0.000971264853205824,-10.0078476232414,DEg
MLL,0.00096794684700139,-10.0127845527861,DEg
NT5C,0.000928653391001258,-10.0725721515003,DEg
LY75,0.000857599292525157,-10.1874086639017,DEg
CD302,0.000834551874175256,-10.2267106519635,DEg
MED24,0.000783236479992168,-10.3182644181342,DEg
ITFG1,0.000780056251943802,-10.3241342152231,DEg
RCL1,0.000743028747115405,-10.3942943511294,DEg
TRAK2,0.000686822594310917,-10.5077748792832,DEg
BCOR,0.000678013549572553,-10.5263982747633,DEg
PIGB,0.000644067676649716,-10.6005000892887,DEg
UBP1,0.000561150271726228,-10.7993252143421,DEg
ABI2,0.000559555170194582,-10.8034319966192,DEg
SLC22A16,0.000413020962402384,-11.2414973737244,DEg
CELF2,0.000350510066075061,-11.4782565028798,DEg
KIAA1715,0.000227367949747408,-12.1026834762396,DEg
