,norm_foldChange,log2FC,Type
MZT2A,Inf,Inf,DEg
ADORA3,36076.1818181818,15.1387590362286,DEg
ST8SIA6,3997.20454545455,11.9647756850818,DEg
GLIPR2,3631.41212121212,11.8263149524729,DEg
GPNMB,2949.25,11.5261324056284,DEg
SHB,2123.33333333333,11.0521151564225,DEg
AGAP3,1847.74844333748,10.8515526430109,DEg
GNA14,1724.79797979798,10.7522116780825,DEg
LATS2,1628.34169278997,10.6691877525516,DEg
KDM4D,1594.52153110048,10.6389078633449,DEg
PAF1,1348.01088555457,10.3966164313838,DEg
ZNF318,1278.34604105572,10.3200627032156,DEg
CPB1,1109.17857142857,10.1152759345398,DEg
POU2F2,1064.81818181818,10.0563913953173,DEg
TECTA,1038.42424242424,10.0201802537907,DEg
UTRN,964.123579545455,9.9130742700169,DEg
BTN3A2,584.116504854369,9.19011234006536,DEg
MAP3K2,549.885978428351,9.10298868948554,DEg
CHD9,326.657114624506,8.35163325189772,DEg
AMY2B,286.506493506493,8.16242402698885,DEg
MPPE1,282.848484848485,8.14388563260569,DEa
SENP5,277.588974854932,8.11680645856272,DEg
ATE1,258.311688311688,8.01296911502621,DEg
TNFRSF1A,245.512539184953,7.93965289968323,DEg
PGD,239.834946422399,7.90589807937329,DEg
DGKE,185.808612440191,7.53767356359858,DEg
XKR9,172.840909090909,7.43330091397456,DEg
ENTPD4,149.398308668076,7.22302000530488,DEg
VKORC1,131.082461786002,7.03433086246674,DEg
PRSS53,129.221556886228,7.01370295190133,DEg
NINJ1,120.246060606061,6.90984582025906,DEg
EBAG9,111.440082644628,6.80012442273815,DEg
NPLOC4,109.960891381346,6.78084669677492,DEg
MAPRE1,106.843434343434,6.7393544451641,DEg
STX3,103.840909090909,6.69823110857115,DEg
CMPK1,81.035564286682,6.34048330114947,DEg
ZNF35,75.9318181818182,6.24663264869767,DEg
TMEM115,71.370288248337,6.15725169409998,DEa
CECR2,48.2435064935065,5.59226286566067,DEg
ING1,47.6078697421981,5.57312817051287,DEg
NDUFS4,41.1981818181818,5.36450876385476,DEg
SLC38A9,39.7272727272727,5.3120578508633,DEg
AQP3,39.2954545454545,5.29629053500498,DEg
MAP1B,38.9763636363636,5.28452759316654,DEa
PGBD1,34.0464355788097,5.08943186105568,DEg
EXPH5,29.12,4.86393845042397,DEa
DENND4A,26.0726742970264,4.70446666384376,DEg
KDM6A,20.9890909090909,4.39156777607918,DEg
DFNB31,18.3969696969697,4.20139624360494,DEg
ATP13A1,18.0686868686869,4.17541975787622,DEg
CACNA1D,17.5922077922078,4.13686464483734,DEg
ZBTB20,16.3021390374332,4.02698937076883,DEg
SCYL1,11.8181818181818,3.56293619439116,DEg
PLK4,10.0556426332288,3.32993337883262,DEg
ZNF747,9.72045454545455,3.28102377835167,DEa
RAD54L,9.06060606060606,3.17960755483965,DEg
TREX2,4.25454545454545,2.08900500605874,DEa
KIF21B,3.76532769556025,1.91277542776222,DEa
