HGNC.approved.symbol,pval,qval
MAPKAPK3,1.59932738648738e-286,5.03432720657638e-284
RNF20,1.00606593804316e-45,7.7032021688548e-44
GSTP1,1.57967733335775e-44,1.14749381676987e-42
SUV39H1,8.10116721376066e-35,4.33030315407244e-33
MECP2,7.78318577579994e-32,3.93745808979307e-30
TFDP1,8.53018856595072e-18,3.0207530259173e-16
PRKCB,7.27875722140785e-13,2.2413825226357e-11
AURKA,1.49358096382251e-10,4.27405542475675e-09
TLK1,2.7334080914305e-07,6.97634695767802e-06
PRKDC,1.59775338773383e-06,3.90209943745685e-05
ZNF592,5.0274233295539e-05,0.00103207900671204
EXOSC2,0.00149238812634243,0.0231034730160006
PRMT1,0.00153896192546948,0.0236949952981252
EXOSC5,0.00246206433884505,0.0355868789385104
PAF1,0.00857553108597646,0.0938010794076112
