HGNC.approved.symbol,logFC,logCPM,F,PValue
BUB1,-2.03496965816651,1.60182640529739,1.17821141921414,0.277721589809565
CDK1,-2.13243396461099,3.82577240629515,1.24535678817231,0.264442364980421
CIT,-2.13434241198169,2.10066799223957,1.27308561607192,0.259189831882403
BRDT,-2.14101669864138,-1.24846964342409,7.27735106580159,0.00698346872087607
MECP2,-2.18386690477098,4.96732938107999,1.36774430955041,0.242201071298881
HDAC7,-2.19046103562764,6.64175009482435,1.34550291588341,0.246067086660666
HDAC5,-2.19673847809252,8.95767531398034,1.28288414533815,0.25736468346314
SMEK2,-2.29307431718251,5.9231380702966,1.47713292064112,0.224224929919414
SENP3,-2.32476520295834,0.839138990043767,1.48432939824921,0.223099663754607
GATAD1,-2.32983106991748,7.09472250665772,1.49894655672007,0.220834816366416
AURKA,-2.35583794019475,3.79835554350473,1.48897116741838,0.222377448443178
WDR77,-2.51013078456185,3.88995546822151,1.67734001979703,0.195279617791886
UBE2B,-2.57272524433486,9.06596018777328,1.69065890911893,0.193515477487454
TET3,-2.5842682211785,-1.17949252485431,8.21309100741236,0.0231313264864967
L3MBTL3,-2.62970747085834,-1.17600802449518,8.48483847766064,0.00358153905449493
TAF8,-2.6769696715157,2.89514072918893,1.82337297458117,0.176913677219548
ANP32B,-2.7346847726523,8.11010169351777,1.95817733868112,0.161709774426317
NCOA1,-2.77066229466497,7.2713850853211,2.03421377601391,0.153795092059685
OGT,-2.82744406177889,8.17243275310807,2.07229893710561,0.149996676194959
EYA3,-2.84951738958789,4.98521521302796,2.19320156029894,0.138622331594795
TAF12,-2.85939038805092,3.06853130290131,2.08612920745263,0.148643677353784
RBBP4,-2.86045485622822,6.71711769790364,2.1583897208947,0.141794627284137
EZH2,-2.86455986149661,4.18581623213177,2.14611192678266,0.142932857400666
TADA1,-2.94837329712825,2.15943978189433,2.2632751992442,0.132475045408385
APOBEC3C,-2.96852685278433,1.45302133695242,2.22060210948726,0.136181355743375
USP3,-3.04489212684243,5.83422740617413,2.43449536538827,0.118693505489271
PRKDC,-3.068515146279,6.34847077651338,2.44566253416457,0.117851536411776
MINA,-3.08765254065471,4.95490779803091,2.51846735475083,0.112521316201646
SUZ12,-3.09778025301083,8.06077185784233,2.42997387185324,0.119036302045938
MORF4L1,-3.10048396038827,8.45055629153203,2.4109319787304,0.120492032737649
NFYB,-3.15553747180419,6.85883718741157,2.55083243803161,0.11023757736899
BRWD1,-3.19021113279006,5.62408174864575,2.64499321526067,0.10387801397884
PHF14,-3.19782820352511,8.13509073242722,2.56036872728527,0.109574441524471
KAT2B,-3.21135074604602,6.09759339799687,2.65102785266448,0.103484378786641
RAD51,-3.29206592645177,2.16925670583034,2.73317475836327,0.0982851435138639
KEAP1,-3.4164348934353,6.9647913967368,2.91233420123113,0.0879059573349943
UBE2D1,-3.42521482050083,0.639803860263027,3.10952083995867,0.0778372257317249
SRSF1,-3.43395809829726,6.26930532313167,2.95921858563223,0.0853905861362308
BAZ2A,-3.52188685967328,7.26450922815412,3.05623798603677,0.0804290579575414
KAT7,-3.52283337543938,8.18564845392207,3.00534609631845,0.0829916339568831
EXOSC7,-3.52923583117192,5.34165779288963,3.14133259059457,0.0763327841552423
PPP4C,-3.53783508495629,1.3106654482642,3.14144822928534,0.0763273727597667
PHF19,-3.55322275455541,5.93523980609884,3.1484038269591,0.0760026378468601
CBX3,-3.69222645069027,8.89538043031361,3.15861115509313,0.0755287757688443
CUL1,-3.75770544525098,6.94927110563334,3.40585078852587,0.0649669300255728
PADI4,-3.77068471915374,6.27391528743139,3.44377228796593,0.0634918937203868
SUV39H2,-3.9037530233887,-0.520181009592338,5.96040381827781,0.0146314619282138
UHRF2,-3.90931819765479,2.30548920553481,3.61828710158346,0.0571489707916483
KDM4C,-3.91084794450236,0.904333518086406,3.83008217823697,0.0503417107461984
BRCA2,-3.94320158881491,-0.829028543289933,10.645823747915,0.00110336322147545
CDC73,-4.01320301582798,4.8889856028361,3.88335278035569,0.0487683138715753
TFPT,-4.02584391789328,5.86501134990928,3.86030239759177,0.0494426566216734
EXOSC9,-4.16752733085539,4.85486621887311,4.11879251876674,0.0424105230645169
PHF20L1,-4.23373777783853,9.04546829180155,3.89555521315428,0.0484152671261415
MBD6,-4.26291877935998,9.20610985515743,3.89786687782458,0.0483486894086807
ADNP,-4.35372954551442,8.14111816259681,4.2264423336547,0.0397999417787268
HDAC3,-4.36530169211579,9.46576651730149,3.97869558493511,0.0460804497281514
STK4,-4.40171121338726,7.48591255561871,4.35629342207708,0.0368735824957642
USP12,-4.42768070169083,1.83526130607116,4.33699238254984,0.0372938825830119
CUL4A,-4.43108626740327,7.87382739376785,4.36850987619889,0.0366101225785619
ACTB,-4.6043782522144,13.9453881007343,3.11705006821293,0.0774782943648753
FOXO1,-4.64637522984206,7.7945210565611,4.70584412212547,0.0300612896207216
ASXL3,-4.67206487168683,-0.657587171516121,11.2782196031673,0.108269472430928
EYA1,-4.67206487168683,-0.657587171516121,11.2782196031673,0.108269472430928
HJURP,-4.81330080398063,6.61491741925478,5.03814073175554,0.0247960651385037
CDK2,-4.83264536644983,-0.575752703806131,11.5161663953498,0.00540729352561709
SENP1,-4.84319506940353,1.3435187385019,5.27877669112036,0.0215878314188026
EXOSC8,-4.85864234921657,5.10307364707343,5.22234778987576,0.0222993609582019
EZH1,-4.93073171777951,3.90153358816539,5.08898613229522,0.0240792295911485
ARID4B,-4.94322843848732,8.69891049940605,5.04994859666195,0.0246276428578725
CIR1,-4.96181572141268,9.28028373261327,4.89597858575112,0.0269203223004298
HLTF,-4.96499006665631,5.86179490334257,5.33534417110882,0.0208981224327696
RPS6KA3,-5.02107636573492,2.32077998198317,5.38239348237159,0.0203418516251262
RMI1,-5.03128626872283,-0.33941379598483,11.5462774447541,0.000678969049838724
FOXP3,-5.06612871192515,2.48471525143802,5.42133400851878,0.0198930454461602
