,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
A2M,0,0,1.2900233167856,0,0,0,0,0,0,0,0,0.00861892666858257,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,0,0,0.10528294076156,0,0.141617226092039,0.242371068767668,0,0,0,0,0,0,0,0,0,0,0.115061751107904,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527971891410068,0.0589440281250251,0,0,0,0,0,0,0,0
AAGAB,0,0,0.0923263934874272,0,0.197172851912781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547267330476545,0,0,0,0,0.119339315845829
AASDH,0,0,0,0.20572452875503,0,0,0,0,0,3.53336400745329,0,0.0085040566762096,0,0,0,0,0,0,0,0,0,0,0,0
AATK,0,0,0.0100365098983713,1.32916070994115,0,0,0,0,0,0,0.0436214209831415,0,0,0,0,2.37469851708523,0,0,0,0,0,0,0.00744634138271064,0.00402610318621911
ABAT,0,0.00324473916691638,0.595085030715606,0,2.72328749446261,0.00207496854438736,0.00417449978398646,0,0,0,0,0,0.286435190561752,0,0.0121456722216739,2.31871128922154,0.00139022574268555,0,0.0339171489514192,0,0,0,0.00188678925351201,0
ABCA10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205225062264545,0,0.155037979950494,0.00424883592692744,0.473760233777336,0,0,0.00372678918902214,0,0
ABCA11P,0,0,0,0,0.346965170129794,0,0,0,0,0,0,0,0,0,0,0.0191410121314117,0,0,0,0,0,0,0,0
ABCA12,0,0,0.040517966816062,0,0,0,0.137454623863113,0.0197703315430038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA13,0,0.00374815055949509,0,0,0,0,0,0,0,0,0,0,0,0.00581778624598139,0,0,0,0,0,0,0,0,0,0.000471370696478095
ABCA17P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305147719623861,0.00212921322853935,0,0,0,0,0,0,0,0
ABCA3,0.458734459332887,0,0.284581358333496,2.60454429520655,1.51543808838667,0,0.261881916819436,0,1.88596702785259,0,3.71060558745651,0,0,0,0,0,0.0636426762935325,0.380512291350619,0.488807215886674,0,0,0,0.486257514644625,0
ABCA4,0,0.0139054650637614,0.15693918306911,0,0.107730112315883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA6,0.00399044019634063,0.0169411090866851,0,0,0,0.00361120639221398,0.00726516088400688,0,0,0,0,0,0,0,0.665844632885372,5.1180067146718,0.0653265741107399,3.73184538683569,2.17224071942518,2.01193951269433,0,0.0287890970600074,0,2.65605912942241
ABCA9,0,0,0,0,0,0,0,0,0,0,0,0.00968247356981096,0,0,0,0.321244987368448,0,0,0,0,0,0,0,0.0778585148150274
ABCB6,0.246097482752785,0.0773917087049006,0.0606565650266564,4.91220763584429,47.3000793200179,2.54878610398475,31.6625732236584,1.75562578784366,2.91054553347766,79.4354858398865,4.93364798922991,0.0907781768943207,54.9179042337162,239.830538602812,119.425444144766,47.2797802692769,1083.89776204272,0.269890923368757,107.188911624372,0.212829943652388,0.121624497547916,167.999330946965,147.113645949885,7.03198344279253
ABCB7,0,0,0,0,0.00726656911784195,0,0,0,1.14776979627707,0,0,0,0,0,0,0,0,0,2.8024660827328,0,0.137968609373505,0,0,0
ABCC1,0,0.00184497473794351,0,0,0.0595567206931591,0,0.016615488562144,0,0,0,0.0305261314335827,0,0,4.86117146361978,0.00345304464728768,0.85871473666157,0.237937259128623,0,0.00192854586391623,0.00112749910261736,0,0.0263363700021018,0,0.0162417947033658
ABCC10,0,0,0.0242563133721792,9.40587453675378,3.06371485797671,0,0,0,0.290978826912655,0,0,0,0,0,0,0,0,2.72518910309586,1.76310211861397,0,0,0,0,0
ABCC11,0,0,0.964262519925318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC3,0.00438735972105493,0.0434611347669997,0,0,0,0.0952897065390123,0.167743989606166,0.0259024752608292,0.035922754259612,0.0333430745770343,0.090641420906406,0.029130640521937,1.63582927713546,14.1809073889752,1542.24878402798,64.9141543642915,326.455434739627,0.0180432854242545,4.73118682020497,113.090263009042,0,0,215.579888065801,65.518250968173
ABCC4,0.000895355373268546,0,0,0,0.676232433181374,0.000810264754804637,0.00489036335474059,0.107043055066224,0,0.00170113136840437,0.0086322833300469,0.00297243412625843,0.000860396136442346,0.00098334510252476,0,1.57791011804365,2.63892093181846,0.00220932226894855,0.00132444756587421,29.2499734263546,0.00132748794724576,0.00516764496666112,1.53913695145137,9.84677719616147
ABCD1,0,0,0,0,0,0,0.0230718785739508,0,0,0.0240769203777781,0,0,0,0,0,0,0,23.4000747272204,0.149964284618448,0,0,0,0,0
ABCD4,0,0,0,0,6.69255673286582,0,0,0,14.771876446744,0,0,0,4.75488399785226,0,0,0,0,21.7603312616771,0,0,0,0,0.0466675352101647,0
ABCF3,0,0,3.92101529476108,0.133419860595837,19.8022003597324,0,54.2492555120085,0.0232940710366038,23.259814763336,17.4514997911935,88.4695818151105,0,8.43228277221167,0,0,0,0,0.155772568237995,66.8620521507609,0.0682437567058288,0,0,0,0
ABCG2,0,0,0,0,0,0,0,0,0,0,0,0.00887582889904535,0,0,0,0,0,0,0,0,0,0,0,0
ABHD13,0,0,6.88146453358059,0,8.52696839028463,0.0287935102571671,36.8131596256017,0.0704421172839925,0,0.0604512823919508,0,0,0.657361972008565,0,0,3.0811651065354,0,0,0,0,0,0,0,0
ABHD15,0,0,84.2078923411836,70.6214552402251,0.118329752026196,0,0,0,1.27254004550105,0.14764457275729,0.160545648937337,0,7.84092654117114,0,13.1724512568749,0,0,0,0.402330028839706,0,0,0,808.574647495393,0.968096052305179
ABHD2,0,0.00310587982904798,0.00486853191299806,0,2.5198523375492,0.0039723396035228,0.00399585113270303,0,0.47620848359712,0.0125097472130641,0.33855957068297,0,0,0.00482086956334552,0,0,0,0.0018052079672825,1.4479683013678,0.0018980621512424,0.0325401846419627,0.0158340534963188,7.41200328610602,0.00585897250506726
ABHD4,0,0,0,0,0,0.0152358769891292,0.183912663270015,0.0124246450468305,4.92808719466953,1.21551957983051,0,0.0279461993363408,0,0,0.0445910296857882,20.6348371392349,0.0306240426535214,0,0.224139184942938,0.0145600046020261,0,0,0,65.1089977851702
ABHD5,0,0,9.2380319905119,0,4.18133388714394,0.0154668435630105,13.7743603008103,0.0462476485693627,1.32941378530659,0,17.9608517859913,0.00945661554028676,0.00547459430828508,0,0.0150890008050456,0,0,0,0.0252818886509825,0,0,0,0.00468805086216473,0
