symbol,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1,total
HBB,2270368,14274,24730,285321,112672,30465,3534697,524759,4348574,115959,430104,1197413,191889,2525605,2170,4311,2688,3286,1911,1747,570283,4578,106096,23650,128234,142634,8518,10065,429,16617430
GNAS,9607,68,33295,17176,14725,18,13118,42107,5248,26410,9901,20028,92,8595,197,7153,9,80,30,5934,23551,75227,302787,41665,48971,162000,200954,174,22588,1091708
MALAT1,32,210,1237,815,2487,509,278,4210,2023,6454,10073,2341,52294,4790,1172,49965,357,323,395,148006,69501,144775,15170,5867,101339,47,8976,81370,69607,784623
ACTG1,12910,128218,79409,69265,15616,116,3383,25520,4154,30204,19920,37409,124,10912,150,64,52,44,24,16,1213,14,59994,49257,24823,119613,20054,13002,7728,733208
HLA-B,20547,150,4855,5106,4063,52,247,231,386,5673,590,7375,40,220,61,68851,29,125,169881,70,24036,52982,61486,26139,43494,40311,60,53953,36110,627123
UBB,60579,4926,2984,20453,8022,60,98264,29530,111106,17762,29828,49047,103,105507,65,1600,33,126,47,30,6529,60,16943,9300,17,907,23112,419,699,598058
B2M,11600,240,16179,11268,17272,230,10075,8078,1310,1910,2637,6386,77,2110,337,105668,119,45251,99738,213,10207,6195,41821,18746,2352,49236,9751,29278,39003,547287
EEF1A1,16584,177,88306,47128,61188,54,567,24866,354,89660,26036,68799,607,33501,116,186,44,408,66,38,134,43,14947,22323,115,9730,34532,146,4984,545639
C6orf25,91,29,26,1405,204,84,61,321,96,16,20,307,27,13,5,100949,54,47,38,11525,64283,29499,11,994,81315,2900,1,102351,58236,454908
H3F3B,3623,159183,3244,2017,5056,74,4130,22690,2468,5722,7144,5922,45,4388,32,15225,34,78,69,42,31420,25208,6639,4365,84154,3599,117,4754,46055,447497
KRT18,10671,52,67460,30312,12263,6,2,12057,2362,34447,11997,18722,121,9091,20,1,5,47,4,3,378,3,150176,40861,70,20734,24732,43,4,446644
DDX5,6330,72,7658,5405,4420,87,24,9060,1299,21519,30645,15260,95,16194,25,11556,48,88,28,20,11741,380,141039,28943,54707,1119,25486,11796,40164,445208
TUBB1,139,75,6,1324,129,84,82,1054,733,9,10,14,17,4,68,12,38,99,99,28749,103142,66578,22,1202,88847,4618,8,90358,54087,441607
TSC22D1,161,25,2892,2871,501,85,39,5998,1995,1641,3398,119,22,124,27,18,33,54,33,38,49466,64608,6779,1450,151123,14171,42,59570,65797,433080
FTH1,80715,4918,4989,4597,1102,27,91,55586,17158,2756,2405,2214,19,2229,19,1051,17,6712,116599,19,4745,21024,14555,19143,50720,8811,5444,225,2555,430445
