,mean,total,tech,bio,p.value,FDR
ERCC-00002,12.3658201933691,34.7660867662704,3.29798441932907,31.4681023469413,0,0
ERCC-00074,11.9830149902958,33.292868347189,3.45538362548429,29.8374847217047,1.94449863838951e-290,2.55400173659271e-286
ERCC-00096,11.9374856465619,32.7469890741276,3.47476954487614,29.2722195292515,1.51578847604898e-276,1.32727491591102e-272
ERCC-00130,11.6230792033967,31.2512633478763,3.60344078302113,27.6478225648551,8.12726432321655e-230,5.33737766266439e-226
ERCC-00004,10.7199157155029,27.4935934145769,4.00230548397432,23.4912879306026,1.81980790265495e-135,9.5609067589686e-132
ERCC-00046,10.4671467081616,26.6792441411582,4.06035059986834,22.6188935412898,2.96882395297307e-122,1.29980060701083e-118
ERCC-00113,10.5273684793432,26.3574334693879,4.06594711803836,22.2914863513495,1.74310011468185e-118,6.54135670179681e-115
IFI6,8.11265212110674,26.1540843136706,4.05508816063192,22.0989961530386,4.23802181893168e-117,1.39160743951895e-113
ERCC-00171,10.1235805323698,24.4226080901452,4.0292935137413,20.393314576404,2.60024700183935e-101,6.83058884913178e-98
ERCC-00108,9.82024173100323,24.3400651626402,4.0103402080286,20.3297249546116,1.25625757113954e-101,3.66673668180717e-98
ERCC-00009,9.60189455228583,23.3754613616757,3.99425818169062,19.3812031799851,2.68460884965331e-93,6.41108998832208e-90
ERCC-00136,9.74599354915077,23.3294264205195,4.00435243158995,19.3250739889295,2.57987109100109e-92,5.64755280745898e-89
IFI27,7.5052336433473,23.256508972446,4.25765903591571,18.9988499365303,3.04446890955698e-79,6.15193490655017e-76
VIM,2.87203904789622,21.8976282696693,6.42308253102761,15.4745457386417,1.55174389517573e-24,1.31492775427004e-21
ERCC-00003,8.50587287157619,18.4674127713023,3.98177496511816,14.4856378061841,2.18075606162427e-53,4.0918772130577e-50
RRM2,4.4325323129993,20.424066621804,6.29621510238092,14.1278515194231,1.54921154649342e-21,1.09989832742799e-18
ERCC-00042,8.39141867763153,18.0446779340479,3.99537679034098,14.0493011437069,5.13353354893586e-50,8.99018618646641e-47
ERCC-00111,8.42998868027064,17.9793443436203,3.9899642471861,13.9893800964342,9.75874961843312e-50,1.60220371079137e-46
FOS,5.97170478688278,18.9463556718997,5.16581534165527,13.7805403302444,1.21368579236405e-29,1.44919600361869e-26
ANXA1,4.76993632816618,19.245919779814,6.08357964328468,13.1623401365293,3.72423190615143e-20,2.50850892160749e-17
ERCC-00116,8.07080879149388,17.1103856024008,4.06628590672287,13.0440996956779,5.70081612070953e-42,8.80910227499521e-39
ERCC-00145,8.22063307366946,16.9392572242835,4.02949152396431,12.9097657003192,7.18762994755173e-42,1.0489547282902e-38
AQP3,4.74086847457208,18.8391034990062,6.1035269685769,12.7355765304293,7.06653605185195e-19,4.2188826260477e-16
CD24,6.60461885370691,17.4511471310644,4.71983535010998,12.7313117809544,2.90469160564279e-30,3.63349256136336e-27
IFITM1,6.37120163269776,17.3392730815384,4.87432339536041,12.464949686178,2.12648662664562e-27,2.23442708781415e-24
UBE2C,5.09771588214481,18.2992630839129,5.84944226452689,12.449820819386,1.44923368726131e-19,9.2853462757725e-17
AZGP1,4.21815197683481,18.6960080522303,6.40896174478605,12.2870463074443,3.18272667072479e-16,1.54827864654203e-13
S100A9,5.39369531107335,17.6321433192631,5.62104264054503,12.0111006787181,1.04872496671413e-19,6.88723903765339e-17
ERCC-00022,7.87879137583844,16.047091085025,4.12417036303134,11.9229207219936,1.81403325119422e-34,2.50804418292742e-31
