,mean,total,tech,bio,p.value,FDR
ABCC3,6.96028981342395,35.3612380717549,15.8999885524656,19.4612495192892,3.25967635769612e-07,0.00227738275936222
C10orf10,5.24367530978362,34.2079438515234,16.6032429029121,17.6047009486112,8.16578075823005e-06,0.0161784531272433
MGP,7.58193908836485,30.1148563048017,15.124225631354,14.9906306734477,2.80264391487292e-05,0.0221044714204327
BIN2,7.55318678158478,30.1435559402308,15.1606130320943,14.9829429081365,2.94582946607053e-05,0.0221044714204327
ACRBP,7.30248126210466,30.0491119571792,15.4804930482717,14.5686189089075,6.53034332931234e-05,0.0294488754615911
MUC1,5.88307091308328,30.4113465220802,16.642289036295,13.7690574857852,0.000385528952137961,0.0625485315685482
FAM65C,8.8904712892424,26.874035803742,13.3422372922719,13.5317985114702,1.8739591445836e-05,0.0221044714204327
SLITRK4,7.21839996046875,28.6763514188401,15.5871552017757,13.0891962170643,0.000320861230803929,0.0571421405420481
FAM212A,3.56635833103399,27.4791397452275,14.4277102533572,13.0514294918703,0.000117995560481034,0.0359659544927766
TMEM140,5.94908536418816,29.3390760214861,16.6279995713972,12.7110764500889,0.000944198349701266,0.101806420699082
TUBB1,9.23336204820857,25.4856572798374,12.7984331613199,12.6872241185175,2.79567962839207e-05,0.0221044714204327
TLN1,9.16719276606216,25.427787822578,12.8973439547616,12.5304438678164,3.92209301966333e-05,0.0221044714204327
NFE2,7.88429863141325,27.2115542178684,14.7438062284362,12.4677479894323,0.000293822294449345,0.0535296938738174
MLL,6.79387721588654,28.5130990087307,16.0840958713562,12.4290031373745,0.000841758015543072,0.092651837127484
ITGA2B,8.08153016859738,26.8529076743356,14.4946418192629,12.3582658550727,0.000264487063612329,0.0493190583324166
TNIK,6.23813885887299,28.6421179407895,16.5120419488271,12.1300759919623,0.00141306811338243,0.115403506628686
TTC18,2.73623100257002,24.1439347887392,12.1669170073742,11.9770177813649,3.14974197407297e-05,0.0221044714204327
SELP,4.76831587491245,28.123434667025,16.2942161841918,11.8292184828332,0.00158420237637576,0.118682268386682
EGF,4.84783840000168,28.1018808956477,16.3644831663705,11.7373977292772,0.00177598951310687,0.130321452697888
DAB2,5.73514934852841,28.3335077259558,16.6621007715998,11.671406954356,0.00220488769508413,0.150175153307767
KRT7,4.38729417600118,27.5065536987003,15.8680902768954,11.6384634218049,0.00143518528477731,0.115403506628686
HIST1H4H,5.4227307477788,28.2785996691463,16.6510353048001,11.6275643643463,0.00226668577065308,0.152880721127027
LAT,7.1517025976537,27.1381188145035,15.6694256772946,11.4686931372089,0.00146471084114826,0.115403506628686
ICAM2,4.37778788039295,27.2543858465056,15.855673112399,11.3987127341065,0.00173805185493373,0.128130799538138
TMEM40,6.43611754158173,27.7790755906817,16.3949454306056,11.3841301600761,0.00238306596014237,0.16004913334007
TM4SF1,3.65557588064289,26.0070348795402,14.623107485044,11.3839273944962,0.000777126668701726,0.0873578560207259
MPP1,8.91592189757934,24.6540796482093,13.3033395806354,11.3507400675739,0.000262036419950693,0.0493190583324166
KLF10,4.59538137558093,27.2148563502197,16.1185988718809,11.0962574783388,0.00256922490171517,0.169675894550773
GNG11,7.34835452903133,26.4441905056178,15.4222896103922,11.0219008952256,0.00183647286637685,0.133523371248042
C17orf72,4.25898737077696,26.7061703283561,15.692477631497,11.0136926968591,0.0021666458009707,0.149788253872906
HMHA1,5.50276585278839,27.565583065695,16.6614022896042,10.9041807760908,0.0039046841422492,0.230071537749628
SLC2A3,6.83812750547644,26.9089576167115,16.0376198064247,10.8713378102868,0.0029314969256594,0.187355751095571
FYN,5.85228649323941,27.4771857462232,16.6471056940204,10.8300800522028,0.00409186877441553,0.239112654838188
C21orf7,5.57166078965094,27.3169450006929,16.6675970173024,10.6493479833905,0.00470117268656359,0.239112654838188
SCGB2A2,4.89348489628067,26.9001475171551,16.4014888765041,10.4986586406511,0.00463599909794845,0.239112654838188
NLRC5,6.47090684620416,26.7897238247572,16.3691290807844,10.4205947439728,0.00483210650936893,0.239112654838188
PHB,4.76769016040774,26.3906657123824,16.2936403338377,10.0970253785447,0.0058863368149785,0.239112654838188
SCGB1D2,3.76078918211707,24.839561379067,14.8412291603443,9.99833221872268,0.00308730115677438,0.195087600202931
ALOX12,4.21951421199221,25.6307444682263,15.6351479706669,9.99559649755935,0.00468019870967296,0.239112654838188
SMOX,4.99169438162008,26.3920126171257,16.4708824448854,9.92113017224036,0.00717516126143325,0.265715668209619
CD24,6.14835274745545,26.2791718653767,16.557128863853,9.72204300152365,0.00849917754558408,0.300026646096899
TACC3,5.78286766989195,26.2507863774879,16.6578495366699,9.59293684081791,0.00962102117106935,0.323078782969172
MFAP3L,4.32054038273742,25.305764746962,15.7787784381433,9.52698630881862,0.00705932029655041,0.265110845306464
PDLIM7,6.3386716956572,25.9544135913397,16.4595254775448,9.49488811379488,0.00951865232235246,0.322351992510393
C2orf88,5.71865416867141,26.1150007260461,16.6634729770693,9.45152774897686,0.010568614653391,0.344656978330004
GPRC5A,4.58533934696915,25.5207918327229,16.1075697621961,9.4132220705268,0.0087643555678603,0.305307770880408
KRT18,9.91220818833974,20.7344008348741,11.4396781665984,9.29472266827577,0.000478966466701713,0.0625485315685482
RILP,3.56164788003531,23.6893431242597,14.417190128365,9.27215299589469,0.00447227779278619,0.239112654838188
KRT19,8.79400150744602,22.7250459079853,13.4901778420406,9.23486806594477,0.0026965047319724,0.17588312757927
LCP2,5.18513685051755,25.6834727286533,16.5770159073458,9.10645682130757,0.0127765811531947,0.377554949091473
LGALS3BP,5.63598586562012,25.774703145792,16.6685872332347,9.1061159125573,0.0131895091840903,0.384289927514395
PTGS1,6.5215616979845,25.3980721899042,16.3298508922361,9.06822129766816,0.0119972944322117,0.373060673336663
PWP1,4.49956211050104,25.0573295113207,16.0086995644103,9.04862994691043,0.0107944595250954,0.347748340391791
ITGA5,4.63858621247099,25.1833741451618,16.165114402914,9.01825974224782,0.0116750925340817,0.36705992103615
TPX2,4.0434120854532,24.3611294638021,15.3588156433155,9.00231382048661,0.0085981865571391,0.302435590516756
JUP,9.04474568347079,22.0863871912067,13.0961507323055,8.99023645890112,0.00263245141133857,0.172414689544282
