HGNC.approved.symbol,mean,total,tech,bio,p.value,FDR
DZIP3,3.82426111628136,23.6658846435808,14.9656933966509,8.70019124692992,0.00906364322608906,0.31230161985546
ING5,4.68251611083813,24.5443397335238,16.2103028466491,8.33403688687467,0.0183194478964313,0.466004290808038
BPTF,6.43834979831917,24.1805686458623,16.393323887545,7.78724475831728,0.0267503969986004,0.550329375418134
BRWD3,3.52444874963805,22.083598237351,14.3330204611021,7.75057777624897,0.0139742148049895,0.398365655861662
UBR2,5.64420175973169,24.1818987744142,16.6683113600844,7.51358741432981,0.033455767528147,0.597379999923542
ATF7IP,5.28705369704895,23.7057500200275,16.6177113923697,7.08803862765777,0.041480660245423,0.603735964086277
BCOR,3.88190617921719,21.9042914516871,15.07484568118,6.82944577050711,0.032776001601249,0.597379999923542
PRKCB,5.07758419302741,23.2688429750204,16.5232169716677,6.74562600335276,0.0485138484273607,0.661742252645153
UIMC1,3.78865294128961,21.430197105479,14.8968258788344,6.5333712266446,0.0373180654073613,0.597379999923542
NCOA3,3.79224940064944,21.2469441035857,14.9038258423716,6.34311826121409,0.0418179333222319,0.605863110747145
UBR7,3.55892961861955,20.7454265529592,14.4111114166263,6.3343151363329,0.03699839749209,0.597379999923542
HDAC5,6.18644484515005,22.4860637809635,16.5381058699026,5.94795791106093,0.0718853876846053,0.769916608877774
GFI1B,5.23962156218227,22.4569426981302,16.6018348445386,5.85510785359156,0.0758507512384893,0.789385690827351
PADI4,2.36618107168291,16.6548962741524,10.9113880624433,5.74350821170911,0.016193979519895,0.436521386718258
PPM1G,6.2450703425136,22.1919552392381,16.5086445793595,5.6833106598786,0.080855556242525,0.808680129112464
PHC1,5.01844303166112,22.0501277827692,16.4881005344092,5.56202724835999,0.0851588250187064,0.825855291480958
YWHAB,8.91625337409595,18.5826567464947,13.3028361769335,5.2798205695612,0.0533424996813325,0.68194993982258
MBTD1,4.4104127749453,20.8650408608184,15.8980221717916,4.96701868902677,0.102051596170849,0.889723761995577
DNMT3B,2.49918004992495,16.2686781353579,11.3789122482775,4.88976588708042,0.0403439262029218,0.597379999923542
HUWE1,4.89004521150061,21.2580028669491,16.39883272103,4.85917014591913,0.114211276528941,0.936607461354904
RUVBL1,3.11231757184725,18.0194273116293,13.2870562004659,4.73237111116335,0.0738483148185355,0.780851093978511
CTCF,3.29160472279039,18.2779603895215,13.7665217688494,4.51143862067202,0.0914201128572024,0.85065514107557
USP15,6.93349962797964,20.4087706574895,15.9308799302988,4.47789072719078,0.126617263226813,0.965632747658541
MEN1,3.06492317798414,17.4246378260412,13.1545792751827,4.27005855085853,0.0935108115425306,0.859818693509163
MAX,4.94454331684662,20.5919511365609,16.4395572858141,4.15239385074682,0.152281952111848,0.999932012950346
BRD1,2.44924076361517,15.2598415728847,11.2047882466121,4.05505332627252,0.0706393988477144,0.764777644628602
CDK17,4.05908119584107,19.4013734758268,15.3846206395726,4.01675283625418,0.144286030719639,0.99173182433056
CDYL,3.1832808628028,17.4478693668953,13.4808916885237,3.96697767837162,0.115825086891675,0.94145006524772
SUPT6H,3.11576570947049,17.2476416043865,13.2966220587754,3.95101954561118,0.113558872741945,0.935017211927182
SSRP1,4.62156614706653,20.0406763765356,16.1469401220608,3.89373625447482,0.163496596458799,0.999932012950346
JARID2,4.53654376451924,19.8912492145237,16.0524990341541,3.83875018036962,0.165517403435481,0.999932012950346
PHF20L1,5.87058606783362,20.3188890101651,16.6442961787203,3.67459283144481,0.184757755684661,0.999932012950346
