HGNC.approved.symbol,mean,total,tech,bio,p.value,FDR
DZIP3,3.82426111628136,23.6658846435808,14.9656933966509,8.70019124692992,0.00906364322608906,0.31230161985546
ING5,4.68251611083813,24.5443397335238,16.2103028466491,8.33403688687467,0.0183194478964313,0.466004290808038
BPTF,6.43834979831917,24.1805686458623,16.393323887545,7.78724475831728,0.0267503969986004,0.550329375418134
BRWD3,3.52444874963805,22.083598237351,14.3330204611021,7.75057777624897,0.0139742148049895,0.398365655861662
UBR2,5.64420175973169,24.1818987744142,16.6683113600844,7.51358741432981,0.033455767528147,0.597379999923542
ATF7IP,5.28705369704895,23.7057500200275,16.6177113923697,7.08803862765777,0.041480660245423,0.603735964086277
BCOR,3.88190617921719,21.9042914516871,15.07484568118,6.82944577050711,0.032776001601249,0.597379999923542
PRKCB,5.07758419302741,23.2688429750204,16.5232169716677,6.74562600335276,0.0485138484273607,0.661742252645153
UIMC1,3.78865294128961,21.430197105479,14.8968258788344,6.5333712266446,0.0373180654073613,0.597379999923542
NCOA3,3.79224940064944,21.2469441035857,14.9038258423716,6.34311826121409,0.0418179333222319,0.605863110747145
