ANP32E,acidic (leucine-rich) nuclear phosphoprotein 32 family, member E,Histone chaperone, Histone modification read,#,H2A.Z,#,,,,,,,,,
ASF1B,anti-silencing function 1B histone chaperone,Histone chaperone,#,H3, H4,#,,,,,,,,,,
ATAD2,ATPase family, AAA domain containing 2,Chromatin remodeling,#,#,#,,,,,,,,,,
AURKA,aurora kinase A,Histone modification write,Histone phosphorylation,H3,H3S10ph,,,,,,,,,,,
CDK1,cyclin-dependent kinase 1,Histone modification write,Histone phosphorylation,H1,H1ph,,,,,,,,,,,
TOP2A,topoisomerase (DNA) II alpha 170kDa,Chromatin remodeling,#,DNA,#,,,,,,,,,,,
UBE2T,ubiquitin-conjugating enzyme E2T (putative),Histone modification write,Histone ubiquitination,#,#,,,,,,,,,,,
CST6,,,,,,,,,,,,,,,,
CDH1,,,,,,,,,,,,,,,,
GSTP1,,,,,,,,,,,,,,,,
