HGNC.approved.symbol,mean,total,tech,bio,p.value,FDR
TOP2A,4.56676100196391,17.5538692990044,6.21616670150046,11.337702597504,7.41693259726188e-15,3.0443031624605e-12
GSTP1,2.67263056698068,17.4907894755767,6.29002913644915,11.2007603391275,3.02748757504723e-14,1.13612958727022e-11
CDK1,3.81331885920053,13.9324422551375,6.55486253329396,7.37757972184355,1.04370486481804e-06,0.000121853702639578
AURKA,4.0168646538908,13.054213888489,6.49295456747367,6.56125932101536,1.02212126820976e-05,0.00087175661021436
ATAD2,5.65550964048332,11.8195880650426,5.41370751246789,6.40588055257469,3.04627293351344e-07,3.98122107912759e-05
UBE2T,5.17720513968562,11.6219108804683,5.7896011188837,5.83230976158456,1.08445457858456e-05,0.000913062093744804
ANP32E,5.96082455624699,10.757693834658,5.17419177873918,5.58350205591885,2.69329174047389e-06,0.000275292142920267
CST6,3.35516307267499,11.770302169682,6.58595314354404,5.18434902613798,0.000452526109051297,0.0222610643420759
CDH1,3.79803291106331,11.5597601322332,6.55835770286235,5.00140242937089,0.000652545970624202,0.0300732107058371
ASF1B,3.7614777678645,11.5338937043301,6.5662943077677,4.96759939656237,0.000713163141433957,0.0323001423488425
