HGNC.approved.symbol,mean,total,tech,bio,p.value,FDR
GFI1B,4.61836178072573,29.9145450574801,14.214565168373,15.6999798891071,0.000133218729444986,0.0338805091871837
PRKCB,4.83967059786626,27.2083034625108,14.5930866830294,12.6152167794814,0.00216152445997398,0.137860345752366
PADI4,4.03584173547863,24.682966889868,13.0538428295213,11.6291240603467,0.00163737722619706,0.120017306833639
MAX,6.87549259496955,25.0911559047773,16.4670536595539,8.62410224522342,0.0419243042030788,0.680628951872131
GADD45A,4.20982862770087,21.8658753831154,13.4247514939811,8.44112388913432,0.0189672710630608,0.457731047620107
ARRB1,4.34390957316427,21.4640894068642,13.6976814473755,7.76640795948873,0.0306304893814617,0.584747651515484
APOBEC3C,2.54000228756099,15.5056729989977,9.25732351475418,6.24834948424351,0.0129391912001838,0.374873958795912
HDAC5,4.26401415585729,19.4300748693912,13.5366183401952,5.893456529196,0.0753379938050101,0.874040552081136
PRKCD,4.12980636092609,19.1419285258304,13.2562557363936,5.88567278943679,0.0713780324809286,0.853408441908315
GSTP1,4.79337336203613,20.2415958829521,14.5163320846738,5.72526379827831,0.0964739900597849,0.957576305287714
