HGNC.approved.symbol,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1,total
DZIP3,0,0,0,1,29,96,0,0,0,6,152,10,239977,515,1,11,47,0,0,0,0,0,7,140,34,0,325,49,4,241404
ACTB,8522,89,24275,11591,6833,36,7143,1794,2701,5949,3699,6538,73295,5095,39,16,20,52,396,20,7039,18,2392,9566,7702,10818,5599,32,3049,204318
YWHAZ,9128,34,1449,3883,2633,44,9,26246,912,9614,8797,9922,33,4516,35,58,14,22,14,72,9370,1497,4320,14505,14167,16692,14000,20292,14031,186309
NAP1L1,1439,2066,21,976,694,31,40,4231,55,627,7,168,6,62,8,13,19,49,46,65,23573,35024,13,2731,39201,11913,2737,36297,17426,179538
MGEA5,2,8,1670,1761,523,57,9,3106,706,2190,1257,477,192,1896,5,53377,38,6,12,1,14206,1162,4262,1163,1549,0,28,16495,22743,128901
YWHAB,2020,13,3621,3244,1321,20,0,2675,1336,8320,4242,6905,30891,2442,14,4,12,1,1,1,1,3,25661,8404,689,7220,9235,21,1336,119653
UBR7,0,0,822,87,224,20,0,0,1,42,7,3,94201,215,1,5,15,0,0,0,0,0,2,161,0,0,0,15,1,95822
UBR2,0,14,121,0,142,1,12,2,815,27,2,0,1,30,9,0,1,16,19,35417,10164,22131,974,131,17724,1,0,1,2,87757
PKM,277,162,3088,3042,1023,4,5,1468,915,4086,1890,2806,30,2995,6,1,3,231,8,8,8393,80,16117,12607,834,12279,11481,49,1868,85756
HMGN2,3663,50,1731,2956,1287,9,3,1126,415,492,3168,613,2,2724,5,1296,4,30,4,49,1020,25428,4685,7229,2,321,17847,13,430,76602
