HGNC.approved.symbol,BRx.111.1..10.08.15,BRx.111.1..10.19.15,BRx.111.2..10.08.15,BRx.111.3..10.08.15,BRx.129_2_111814,BRx.129.2..9.29,BRx.131.1..09.15.15,BRx.132.1..06.09.15,BRx.136_1_123014,BRx.136_2_123014,BRx.139.1,BRx.146.1..08.06.15,BRx.146.1..4.16.15,BRx.16_1_102214,BRx.16_1_120314,BRx.16_2_102214,BRx.16_2_120314,BRx.16_3_120314,BRx.16.3..09.09.15,BRx.16.4..09.09.15,BRx.170.1,BRx.170.2,BRx.172_1_111114,BRx.172_1_120114,BRx.172_2_111114,BRx.172.1..02.01.15,BRx.172.1..06.25.15,BRx.172.1..08.18.15,BRx.172.1..08.25.15,BRx.172.1..09.09.15,BRx.172.1..4.16.15,BRx.172.1..9.30,BRx.172.1.08.04.15,BRx.172.2..07.07.15,BRx.172.2..08.25.15,BRx.172.3..07.07.15,BRx.172.5..11.11.14,BRx.180.1..06.12.15,BRx.180.1..07.02.15,BRx.183_1_031015,BRx.183_2_031015,BRx.183_4_031015,BRx.183_5_031015,BRx.183_6_031015,BRx.183.3..3.10.15,BRx.183.7..3.10.15,BRx.213.2..08.26.15,BRx.213.3..08.26.15,BRx.245.2..09.04.15,BRx.42_1_110314,BRx.42_2_110314,BRx.42.1..10.20,BRx.42.1..9.14,BRx.42.1..9.22,BRx.42.1..9.29,BRx.42.2..9.14,BRx.42.2..9.29,BRx.42.3..9.29,BRx.82_1_012015,BRx.82_1_030915,BRx.82_2_030915,BRx.82_3_030915,BRx.82_5_030915,BRx.82_6_030915,BRx.82_7_030915,BRx.82.1..1.12.15,BRx.82.1..11.13.14,BRx.82.1..9.15,BRx.82.1..9.29,BRx.82.2..11.13.14,BRx.82.2..9.15,BRx.82.2..9.29,BRx.82.3..9.15,BRx.82.8..3.9.15,total
ACTB,3561,736,495,339,6619,3691,20,13393,3103,49146,3012,18967,894,41320,2898,33757,22482,357,30,0,1497,3045,4080,69426,2634,78324,7959,53,647,741,1144,10947,9,62857,29,29025,29163,1015,12,7531,10516,73174,2655,60814,2048,29799,17,3,85,637,4735,835,164,2416,11708,822,4344,6533,7401,7532,8755,8847,22096,11964,18847,19066,22898,5550,8492,3246,36621,778,3140,5728,917224
NAP1L1,29,709,0,0,411,92,759,643,0,586,205,64,0,7781,146,3708,1778,366,746,89,361,1578,594,6694,1125,4122,0,81,268,259,193,320,318,2851,882,7011,2396,110,0,546,1358,893,15,1729,236,838,388,25,56,0,464,39,42,54,548,346,445,951,1286,81,161,11,161,1215,522,62,685,765,411,233,4600,2,467,79,66989
NPM1,84,124,0,0,16,186,9,2738,137,3310,0,851,1,67,12,219,1,1,6,0,0,0,0,56,3,0,453,11,0,536,0,0,212,1,10,0,1,424,3,344,14136,3704,1917,8861,376,5440,0,1,1,59,0,221,88,158,1353,133,1357,1278,1,231,818,2280,1170,2583,1648,3309,1182,1,773,359,0,0,59,1275,64588
SKP1,2961,58,106,0,68,525,0,2180,10,2454,180,1784,485,803,643,1631,266,28,0,0,4,4,41,818,251,228,0,13,17,150,53,54,3,369,89,614,376,230,168,278,2164,908,598,2610,224,2115,0,0,98,0,287,201,150,390,1454,753,731,1976,2015,812,1631,2361,2793,2355,1740,4207,1393,1315,908,319,299,150,193,1051,56143
HMGB1,1197,8,0,93,219,74,609,2190,115,2187,380,101,0,2147,333,2823,932,103,21,28,140,682,254,1682,614,2666,1702,122,146,473,91,243,1,616,1235,461,876,148,1,287,859,2122,160,3275,156,2366,153,33,27,274,451,24,14,108,354,171,291,835,1370,28,534,1185,836,3259,446,1308,4330,583,1307,311,1858,74,319,386,55807
HMGN2,531,2,0,12,81,3,3,1431,80,1800,0,162,1,171,165,179,0,0,0,0,0,4,27,109,45,4,10,113,0,1075,10,23,1876,0,116,0,23,284,2,63,900,1817,116,3584,96,3622,29,1,39,5,0,0,65,128,532,136,771,652,166,271,526,1036,954,3354,834,2302,4132,63,2548,186,91,0,37,411,37809
SRSF3,18,0,0,4,135,0,122,1587,41,1060,0,943,0,238,193,275,0,0,6,2,26,195,0,179,563,31,1084,39,69,2423,86,49,5633,0,190,3,525,25,112,0,1490,1546,319,4576,168,1364,62,17,17,82,0,1,0,247,565,111,298,590,387,302,221,694,1373,1259,1217,1462,1949,63,848,75,157,1,0,470,37787
MAX,0,0,0,0,166,0,55,101,1,67,293,229,0,3713,76,2019,821,205,14,111,460,1160,308,4397,991,4719,7,372,212,2123,245,293,0,514,462,1372,1802,1,64,129,227,42,4,87,99,206,176,24,1,0,301,0,0,20,16,0,65,20,851,58,0,68,101,66,374,0,0,164,3,39,3432,208,304,0,34458
GSTP1,1,1282,0,1,0,61,0,1444,56,1554,0,89,0,88,62,178,82,0,0,0,0,0,0,161,0,120,2,0,0,2,1,1,0,1,0,0,17,156,0,0,1,2,2,1,0,1,0,3,1,3,0,717,0,382,1304,536,589,1228,47,11,3749,5283,3535,1982,2325,1508,1874,37,587,872,33,0,32,2165,34169
NCL,0,2,0,0,124,0,87,807,2,1499,0,1309,0,9,347,57,0,0,0,0,0,0,49,94,0,0,1,0,1,201,0,0,139,1,1120,0,1,298,0,173,2600,1683,462,3000,86,1877,0,0,0,8,0,218,68,245,940,354,1942,824,73,163,547,894,1094,1754,708,2,1140,49,605,40,21,0,17,709,28444
