	BRx-129-2--9-29	BRx-139-1	BRx-170-1	BRx-170-2	BRx-172-1--9-30	BRx-129_2_111814	BRx-136_1_123014	BRx-136_2_123014	BRx-146-1--4-16-15	BRx-16_1_102214	BRx-16_1_120314	BRx-16_2_102214	BRx-16_2_120314	BRx-16_3_120314	BRx-172_1_111114	BRx-172_1_120114	BRx-172-1--4-16-15	BRx-172_2_111114	BRx-172-5--11-11-14	BRx-183_1_031015	BRx-183_2_031015	BRx-183-3--3-10-15	BRx-183_4_031015	BRx-183_5_031015	BRx-183_6_031015	BRx-183-7--3-10-15	BRx-111-1--10-08-15	BRx-111-1--10-19-15	BRx-111-2--10-08-15	BRx-111-3--10-08-15	BRx-131-1--09-15-15	BRx-132-1--06-09-15	BRx-146-1--08-06-15	BRx-16-3--09-09-15	BRx-16-4--09-09-15	BRx-172-1--02-01-15	BRx-172-1--06-25-15	BRx-172-1-08-04-15	BRx-172-1--08-18-15	BRx-172-1--08-25-15	BRx-172-1--09-09-15	BRx-172-2--07-07-15	BRx-172-2--08-25-15	BRx-172-3--07-07-15	BRx-180-1--06-12-15	BRx-180-1--07-02-15	BRx-213-2--08-26-15	BRx-213-3--08-26-15	BRx-245-2--09-04-15	BRx-42-1--10-20	BRx-42-1--9-14	BRx-42-1--9-22	BRx-42-1--9-29	BRx-42-2--9-14	BRx-42-2--9-29	BRx-42-3--9-29	BRx-82-1--9-15	BRx-82-1--9-29	BRx-82-2--9-15	BRx-82-2--9-29	BRx-82-3--9-15	BRx-42_1_110314	BRx-42_2_110314	BRx-82_1_012015	BRx-82_1_030915	BRx-82-1--11-13-14	BRx-82-1--1-12-15	BRx-82_2_030915	BRx-82-2--11-13-14	BRx-82_3_030915	BRx-82_5_030915	BRx-82_6_030915	BRx-82_7_030915	BRx-82-8--3-9-15
1/2-SBSRNA4	0	1	0	0	0	0	0	1	0	1	3	2	0	0	0	1	0	2	0	0	2	6	0	0	1	3	2	0	0	0	1	1	1	0	5	0	4	4	1	3	1	0	8	0	67	1	8	5	4	0	3	0	18	1	1	7	0	2	2	0	0	0	0	0	0	0	0	0	3	2	25	3	3	0
A1BG	0	0	4	0	0	0	0	0	0	0	0	33	44	0	0	23	0	0	20	0	0	0	12	0	30	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	14	0	25	37	19	97	22	0	95	16	0	0	0	0	0	0	0	97	0	0	32	0	0	16	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	14	0	1	0	1	0	3	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0
A1CF	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LD1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	13	0	0	0	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	1	0	1	0	0	0	4	0	4	2	0	0	0	2	2	2	10	3	0	5	8	14	0	0	8	9	1	0	0	11	45	2	8	4	0	7	12	4	2	11	0	26	0	101	0	10	9	5	0	4	0	1	5	2	2	0	0	3	0	0	1	0	1	0	0	0	2	0	1	12	0	6	1
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	254	22	11	22	450	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	37	64	89	14	0	95	0	0	7	0	0	0	0	0	0	0	0	165	17	177	0	0
AACS	0	0	0	0	0	0	0	34	0	0	0	0	0	0	1	31	0	0	0	3	500	105	155	116	2268	1252	0	0	0	0	1	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2	9	85	1	0	127	1	0	0	0	0	0	0	1	7	0	0	0	209	129	183	81
AACSP1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	34	356	48	307	106	2223	2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	13	0	0	0	126	0	0
AAGAB	0	0	0	15	5	184	0	219	0	0	0	113	0	0	0	0	0	0	124	0	1	14	302	89	260	257	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	169	0	225	330	0	88	60	0	3	0	0	0	176	5	521	364	0	147	268	267	25	380
AAK1	0	5	0	10	0	1	1	414	1	16	20	130	0	6	7	11	0	125	5	0	214	179	86	56	32	130	11	869	0	0	104	9	153	70	18	4	29	26	51	4	26	7	59	17	551	5	57	72	26	0	24	86	170	61	155	101	21	23	8	3	5	9	0	8	3	54	18	9	9	16	52	31	16	90
AAMP	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	1	67	405	19	390	1	324	154	0	100	0	0	0	207	0	0	5	0	0	109	10	0	0	0	0	0	0	0	0	0	0	0	0	10	166	27	9	143	0	135	3	0	2	0	0	0	125	392	618	248	0	91	285	45	217	19
AANAT	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	10	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	0	0	0	0	0	2	0	632	0	22	1	0	0	0	0	0	0	0	0	0	1471	0	500	0	435	5	0	1	0	0	5	91	0	0	6	1	0	1	0	0	0	0	0	0	15	0	5	17	6	0	0	14	172	7	234	211	3	0	2	0	2	0	0	0	0	14	0	0	0	1	237	0	0	0
AARS2	1	1	0	3	0	0	0	30	1	2	20	4	0	0	0	4	0	1	2	0	28	79	28	2	8	124	1	0	0	0	36	7	32	10	1	2	1	9	7	1	5	1	3	4	206	2	8	15	3	0	8	0	7	5	93	37	0	40	2	0	0	4	0	0	1	138	0	7	3	4	15	124	51	1
AARSD1	0	0	8	3	14	1	1	135	1	61	117	56	0	0	0	15	39	14	48	4	135	17	48	1	159	122	19	10	0	0	23	27	6	31	6	64	103	14	6	2	11	0	17	0	183	7	28	22	4	0	8	27	59	19	59	61	1	0	69	0	24	0	0	35	2	8	385	7	8	175	94	130	5	1
AASDH	0	0	0	0	0	0	0	74	0	0	16	0	0	0	0	0	0	0	0	0	73	0	20	0	152	246	0	0	0	0	5	0	0	1	1	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	16	6	0	94	0	31	0	0	0	2	0	0	0	0	0	100	0	0	230	66	28	1
AASDHPPT	0	0	0	0	0	0	1	48	0	117	0	0	0	31	0	0	0	0	17	0	294	0	2	126	77	65	0	0	0	0	1	137	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	11	0	20	186	98	35	66	53	0	0	0	0	0	5	0	0	0	0	171	127	0	0	0
AASS	0	3	0	1	0	2	0	4	0	71	4	1	0	1	0	3	1	8	2	0	36	83	6	0	3	127	7	43	0	0	31	0	2	11	5	2	2	25	5	1	5	1	37	1	199	2	9	72	9	0	5	1	0	3	0	3	0	2	7	1	0	6	0	0	0	1	0	0	5	1	18	7	4	1
AATF	0	0	0	38	0	0	7	122	0	0	3	0	0	0	0	70	0	43	12	41	143	5	138	0	307	306	0	2067	0	0	0	157	0	0	0	270	0	0	0	0	517	0	243	0	0	0	0	0	33	0	0	0	247	71	0	188	0	106	27	0	3	0	0	1	0	33	340	15	0	181	279	452	233	0
AATK	0	0	6	1	1	0	0	0	0	41	0	14	0	0	1	27	22	96	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	50	0	99	0	1	0	1	1	0	0	0	0	5	0	0	0	0	0	21	0	7	0	0	27	0	0	62	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0	0	0	0	0	0	0	0	0	35	2	0	0	0	0	41	0	0	46	0	0	167	0	0	1	2	0	0	0	0	19	0	0	0	5	0	0	0	0	31	0	0	1	0	0	0	0	7	1	0	0	0	35	0	0	0	19	0	202	0	9	0	0	25	0	0	6	29	0	18	284	0	0	139
