symbol,BRx.111.1..10.08.15,BRx.111.1..10.19.15,BRx.111.2..10.08.15,BRx.111.3..10.08.15,BRx.129_2_111814,BRx.129.2..9.29,BRx.131.1..09.15.15,BRx.132.1..06.09.15,BRx.136_1_123014,BRx.136_2_123014,BRx.139.1,BRx.146.1..08.06.15,BRx.146.1..4.16.15,BRx.16_1_102214,BRx.16_1_120314,BRx.16_2_102214,BRx.16_2_120314,BRx.16_3_120314,BRx.16.3..09.09.15,BRx.16.4..09.09.15,BRx.170.1,BRx.170.2,BRx.172_1_111114,BRx.172_1_120114,BRx.172_2_111114,BRx.172.1..02.01.15,BRx.172.1..06.25.15,BRx.172.1..08.18.15,BRx.172.1..08.25.15,BRx.172.1..09.09.15,BRx.172.1..4.16.15,BRx.172.1..9.30,BRx.172.1.08.04.15,BRx.172.2..07.07.15,BRx.172.2..08.25.15,BRx.172.3..07.07.15,BRx.172.5..11.11.14,BRx.180.1..06.12.15,BRx.180.1..07.02.15,BRx.183_1_031015,BRx.183_2_031015,BRx.183_4_031015,BRx.183_5_031015,BRx.183_6_031015,BRx.183.3..3.10.15,BRx.183.7..3.10.15,BRx.213.2..08.26.15,BRx.213.3..08.26.15,BRx.245.2..09.04.15,BRx.42_1_110314,BRx.42_2_110314,BRx.42.1..10.20,BRx.42.1..9.14,BRx.42.1..9.22,BRx.42.1..9.29,BRx.42.2..9.14,BRx.42.2..9.29,BRx.42.3..9.29,BRx.82_1_012015,BRx.82_1_030915,BRx.82_2_030915,BRx.82_3_030915,BRx.82_5_030915,BRx.82_6_030915,BRx.82_7_030915,BRx.82.1..1.12.15,BRx.82.1..11.13.14,BRx.82.1..9.15,BRx.82.1..9.29,BRx.82.2..11.13.14,BRx.82.2..9.15,BRx.82.2..9.29,BRx.82.3..9.15,BRx.82.8..3.9.15,total
HBB,473340,213,332615,35980,30383,2,230,319116,77,86,512,1012193,236295,127327,351996,767100,35023,20038,55102,5,1458,13447,112656,98,222953,238,14,411,39,1438,42653,0,38452,220,69,5228,20364,34117,114450,65948,13410,9530,34521,97368,1089,26888,19,11,73979,34146,113607,40218,34338,26667,64434,3290,2101,83586,1599899,20076,313254,63730,295452,72012,42999,101038,33901,506589,12634,323,9732,172294,71567,5299,8451887
MALAT1,36898,240,26,5676,6159,6,156476,263,51,70233,8,11469,212,204107,97177,3400,5,23653,258941,107664,34,68878,1483,147243,261280,117,38503,113692,34011,551914,124,138,231875,9,299736,84,60131,8538,14355,15,40969,26939,60,21238,75621,52155,253948,158428,85442,3741,16,42,81231,485,88491,97319,110775,117788,4842,7856,60264,67221,96635,74729,24244,926,50464,2604,40789,125771,144821,188,2126,60940,4793932
HBA2,70694,145,60533,5231,5318,0,18,50821,13,6,35,171684,41649,22566,57240,128806,8612,4357,17213,20,458,3545,18309,1,32255,198,3,126,6,728,7639,1,2943,15,17,889,4460,4624,17719,12287,2229,1734,8129,17250,372,6595,1,2,12590,7291,19328,11007,7030,5188,9806,229,565,13174,239186,3428,58806,9448,53527,12405,7126,15470,6918,78665,1711,167,1243,29468,15097,788,1407157
ACTB,3561,736,495,339,6619,3691,20,13393,3103,49146,3012,18967,894,41320,2898,33757,22482,357,30,0,1497,3045,4080,69426,2634,78324,7959,53,647,741,1144,10947,9,62857,29,29025,29163,1015,12,7531,10516,73174,2655,60814,2048,29799,17,3,85,637,4735,835,164,2416,11708,822,4344,6533,7401,7532,8755,8847,22096,11964,18847,19066,22898,5550,8492,3246,36621,778,3140,5728,917224
FTH1,7045,2886,1538,910,4075,3328,467,4620,1977,6114,5327,6123,342,23098,7388,51900,20810,524,2,290,2330,2986,3626,13968,5439,10658,1861,32,609,17270,1502,2160,2377,15244,122,14770,8860,195,977,12813,122226,23440,6879,26301,1026,12761,422,507,1076,249,3601,1485,573,1669,15663,1296,7591,8849,27922,7129,14915,11248,16833,12741,14936,31869,5100,11868,4681,3778,13383,1012,2016,5010,686618
PPBP,1,5,649,0,3089,0,40,2,211,8,2632,1,0,48107,2543,110360,36283,1058,102,0,1347,2233,9346,92675,5085,112852,0,71,565,20,1292,8452,6,51944,13,56574,35321,30,5,4262,881,401,161,1784,391,1914,58,140,0,2,4879,2,31,4,7,97,104,491,15736,2,4,2,273,0,1064,1,2,9189,14,0,37849,690,7662,3,671022
MTRNR2L2,1614,54562,1881,108,3666,122,1748,22060,354,4257,8369,4059,803,9939,7010,31923,4156,65,1162,58,570,1942,1921,10047,1313,9463,2929,831,67,1139,345,782,572,2138,5237,2402,5415,1097,588,10125,27149,25951,7392,29570,31401,35833,1154,638,405,210,504,248,613,459,9904,3042,13614,12553,13049,4046,9969,7637,19924,11431,10483,31217,8969,8544,8874,8669,3842,27260,1618,7381,600392
B2M,2206,218,2600,364,5016,903,486,929,400,1423,5176,6840,1249,29941,9198,61351,21353,428,3,91,950,2165,5831,34197,4398,46465,6688,78,430,16364,1453,2418,36652,22024,845,29509,17924,5401,291,4985,4452,2353,778,5772,165,2753,22,226,165,1473,2258,212,2470,106,4299,543,578,1005,18324,299,619,586,754,122,2338,1093,214,10816,687,84,12256,673,3741,808,472287
TMSB4X,325,223,745,0,3555,1719,62,3558,1337,9573,7759,2214,1,17200,3586,44229,19639,122,9,27,1281,1433,4174,31685,2994,58302,2135,82,91,466,798,3681,0,23156,103,22238,12874,1950,6,3371,2315,5476,980,4712,587,4731,36,3,30,215,1744,142,24,583,1050,4282,504,1673,10717,1997,1854,2755,2683,3129,5180,4555,3166,9490,1106,226,12002,736,3231,779,379396
EEF1A1,739,263,3,280,1518,2809,0,11212,219,11968,699,8428,1,117,1844,2603,92,5,0,0,29,216,49,135,127,89,6452,453,11,83,0,9,397,4,189,815,245,4772,8,2953,67737,14488,9414,37729,243,19057,3,1,5,482,34,465,116,1913,9945,2348,13128,14101,541,3866,12140,12756,12008,9207,19058,17669,5201,381,5775,2774,456,8,647,6469,360001
