,logFC,logCPM,F,PValue
PPAPDC1B,-3.39650366546813,10.3716924814989,2.5005114015685,0.113810754621257
ZNF280D,-9.42047319653216,12.0029106205588,9.74658035100057,0.00179679573519002
PBX1,-4.84305956264058,12.0925566735892,3.88130135905687,0.0488279329638055
SLC39A14,-11.6514264294002,14.2369001225822,12.8407157290478,0.000339230115620966
WBP1L,-9.25004300844559,13.6180928044155,8.42097295335542,0.00370953554162586
DARS2,-7.316088859451,11.3731083419578,7.37081942324205,0.00662958213247705
GADD45GIP1,-10.263310500865,13.0832902509643,7.56689052626866,0.00594550572599557
C1orf116,-5.36263212889176,8.07723045697625,5.80092298755709,0.0160185701676924
PDCD10,-2.56227351391517,7.14618758160742,1.77512996320127,0.182749839741272
ATP6V1A,-4.04601509470918,8.56115807426671,3.72702136416127,0.0535400550901513
EXOC4,-4.21706845779816,4.3166008937069,4.10963545184885,0.0426407399532634
C15orf52,-12.4470069543544,6.17316353923965,20.2225473741217,6.89703142085735e-06
EPB42,-3.05704091024922,9.21803162686506,2.25914629787504,0.132828682955674
FOXJ2,-4.48005312945681,7.56337852335173,4.47078519746607,0.0344802503368138
TBXAS1,-6.19248399730069,7.55175703747533,7.20938064572866,0.00725288806414065
GMPR,-3.64743775672328,8.56210951110733,3.1531555786536,0.0757816475822421
CCAR1,-6.48057216074918,13.1928363465091,5.44259010707196,0.0196523924462843
VEGFB,-4.89789397089226,11.7659205166323,4.04688972288629,0.0442540081475927
MFAP3L,-9.10415942025893,8.69775456311201,11.5683693626515,0.000670949870783942
UHRF1BP1,-1.08008315331674,5.43187097311641,0.361257951297877,0.547809041401444
CCM2,-4.19277743956951,7.89183736795976,4.00590151552228,0.0453424527670468
SMAP2,3.12383464920849,6.73229695369113,2.76361268544677,0.0964316589608451
SH3YL1,-9.17532617894339,11.9587482849792,6.82483768030823,0.00899047551206517
SPTLC2,-0.595298747854686,5.22357082626888,0.112597963472239,0.737205873606579
ZNF697,-9.20364733772706,11.727767294654,9.66489141121649,0.00187846499659076
TMED3,-8.99378069875828,15.310024433217,7.10695469970821,0.00767909817405602
VSIG2,-3.3288993361952,6.66341789295838,2.79524102360694,0.0945459526734013
WIPI1,-0.163318334002895,9.20984846325418,0.00787476556199463,0.929288720913956
CRBN,-5.98174373527671,8.33249929790202,6.7522240977107,0.00936370595078916
NGFRAP1,2.29849030787948,7.82577484978874,1.56453537972192,0.211003699907867
HEMGN,-2.4177245019962,8.50398232266178,1.55982641884563,0.211691949156698
ZFAND1,0.752775070807873,6.1253949645115,0.181669525226536,0.669942797059994
SSBP3,-5.11643152945013,4.60673386942276,5.60342963158947,0.0179262029135837
HMBS,-1.39647676063054,6.87248280733732,0.580247392765405,0.446216173051395
RSPH9,-10.4667079810285,4.21437365817762,17.210291348043,3.34742559512773e-05
GRB14,-8.64928111683818,4.78055604089887,11.8026172581999,0.000591582799224594
CTNNAL1,-2.46640227625451,7.65290981840537,1.64771636892333,0.199271364918299
SPSB1,-4.86796573474316,6.22796509956778,5.15128810405208,0.0232300860040963
ABCC4,-4.04371513413387,9.30604210744222,3.56334848064407,0.0590697687713937
ITGB3,-8.38681187840882,5.71421286240036,10.948439326793,0.000936973251318818
ZNF271,-1.27195609319737,7.5238704938679,0.48234691792612,0.487361901840717
MYCT1,5.00591509651666,10.6958800949014,5.11401064136519,0.0237343544074455
ATG4A,3.28464261104675,6.50122074080318,3.02328639912741,0.0820783646208149
EPHX2,-3.69060841775408,8.10765379979797,3.24981620333883,0.0714328171856368
GIT2,-0.203989136975962,4.82288381671647,0.0134095755377609,0.907811375414753
INPP5K,-2.90975937054979,7.06725851106754,2.21768187130764,0.136439198586365
THBS1,2.08653325177992,8.60437808902626,1.28217255187079,0.257496694461069
C7orf53,0.391830106765437,5.08534790363451,0.0499676508912385,0.823119777989914
PIP4K2A,-1.0061531983005,10.1433175611175,0.271557580050781,0.602289360798808
VPS39,-3.74353956872469,7.17276148199215,3.37855340598833,0.0660513335904973
BRD8,-1.60190167232919,7.11830057665228,0.751408165554785,0.386031696130814
ZNF346,-4.38675819688301,9.26238049069824,4.06184185332788,0.0438638303091846
ISCA2,-0.58381555099716,4.60361285579708,0.107493166226132,0.74301668906138
MARK3,2.5579177285712,8.52663553425784,1.87544020699962,0.170854683762842
SLC22A23,-0.791743027633883,4.88233704604097,0.198051105262925,0.656298989901144
TMOD1,-2.4759478549987,9.50936920526197,1.53560538825469,0.215274426089226
CGRRF1,-6.20370359982996,5.29308608826208,7.45439695193612,0.00632866455621771
PIM1,-5.44319184549202,9.21421960708382,5.64074405247306,0.0175485994940226
TMEM55B,-0.393463433364324,5.45112587416926,0.0495127985849309,0.823913422985279
CTDSPL,-2.33869440479287,8.6665772981238,1.46230165172825,0.226565541153365
STRN4,-1.04565729544219,5.87966122187502,0.336900289402073,0.561624508291814
OR2W3,-2.25251853084728,6.38686020655839,1.41953330827106,0.233481501962774
TRNT1,-5.10324681905361,6.00282765469524,5.55136911724505,0.0184670977466892
TMEM57,-0.765774727777241,6.08638132386826,0.182771894974537,0.669002273509388
AP3M1,0.715276659944818,5.89889115970235,0.164677791977804,0.68488618898714
SDSL,-4.86188610723168,8.35782356351156,4.98049948806513,0.0256355708554763
G3BP2,-2.94440708810107,5.4410249782899,2.31336490715218,0.128267533015427
ARIH2,-5.83691948422784,10.4098275579673,5.76692224859655,0.0163314243934809
NDST2,-1.99640688111999,5.07212888207074,1.15992998747775,0.281481226348749
STIP1,-0.900017536887999,4.80915970338761,0.253746602966904,0.614449744958466
CCNDBP1,-0.074493451088138,9.68923919668382,0.00159181082130741,0.968174876809121
TBCC,-3.6129502547136,6.40531281833383,3.21118910784854,0.0731376690438132
PCNT,-2.75365688457591,4.66671345510301,2.05315782858258,0.151892265986358
MACF1,5.61435316199857,12.878348776074,5.17802644428132,0.0228752358456818
ERI3,-3.41639776710347,7.7148184541297,2.8849151930227,0.089414109637352
C2orf88,-4.33256212206327,10.3061549997673,3.71932212694554,0.0537874711389643
C12orf23,1.98331103997414,6.30875701723086,1.20740725515726,0.271847403642808
KIAA0430,-3.07036245517093,5.97336339883119,2.46300528359382,0.11655700510494
RNH1,1.96453754197831,9.93245108980337,1.0518382611596,0.305085211236089
GPR183,-10.2237571192931,3.97756032013805,16.6986245736137,4.38280624055439e-05
AK3,-0.914379184535585,4.22350967570343,0.254973633708312,0.613595058004106
CETP,-12.3971329459828,7.07529457466246,18.1670426249866,2.02433415269395e-05
OGT,-2.82744406177889,8.17243275310807,2.07229893710561,0.149996676194959
LCN2,1.20231467305419,4.88475958621594,0.465888750288351,0.494885350011184
SUPT6H,5.53045764229561,7.80469573465559,6.94101660837657,0.0084247044209602
DENND4B,-5.246147163348,6.77931861283327,5.72108498264837,0.0167631924878694
CUL1,-3.75770544525098,6.94927110563334,3.40585078852587,0.0649669300255728
AMMECR1,-4.98048947539241,6.5369750965268,5.30767334307638,0.0212326078129266
CCDC107,-0.761208417988021,3.29261031203001,0.172423646742124,0.677967157454859
ARHGEF3,-0.117684898784584,5.90243468620165,0.00442941657101919,0.946936936589349
RAP1A,-2.9271713606838,6.57537760999086,2.248314224094,0.133761465705744
ADORA2B,-10.5021717732405,4.24977588573841,17.2858851407397,3.21686634481139e-05
CPNE5,-11.7223440818518,7.41945391489933,16.7309962929615,4.30866244907224e-05
RGS6,-4.27246218586012,3.41316316804984,4.04639489549061,0.0442669830090331
SMC3,2.00084053724377,5.76032037152857,1.23831694191602,0.265796866801615
PTTG1IP,-1.90958351954683,10.0435836168527,0.925464607918801,0.336045267082334
MTMR2,-9.25856415344323,3.67282854236753,13.0233994204896,0.000307690181752094
STRBP,-1.78548152114381,6.09163608719882,0.931296214355954,0.33452737780602
FAM26E,-10.9959626182566,7.62282895334044,14.8649349719276,0.000115522369404372
FAM83D,-5.68123806356085,11.8031903564484,5.02159011942381,0.0250341508671992
PCYT1B,4.03291493814505,8.15728958407537,4.18894886327985,0.0406894880759258
XAB2,-0.0671533598956675,4.45030183238611,0.00143593120422386,0.969772483674771
SSBP2,2.1810953048878,8.63338694885869,1.39207227428954,0.238056712706524
RAB2A,1.7663110168358,8.06707871234195,0.946117068311696,0.330710692850393
ARID3B,0.360936378276134,7.89102462404575,0.0409001564775923,0.839730952514847
BFAR,0.0587898702731367,4.93477510491949,0.00112208492484258,0.973277860627273
KIF2A,-2.48199527382882,8.19901490407017,1.64598877918625,0.199507093965921
NPHP3,0.0840331580261584,3.339327000674,0.00215596585451194,0.962965670917347
