,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
ABCC3,1,7,0,0,0,24,21,8,4,4,15,4,388,2943,132721,20015,122720,5,729,59611,0,0,59712,16782
ACRBP,2,4,2,87,18,14,164,42,5,4,132,10,5,42139,1375,28931,29017,1,46,103785,0,1,58985,48793
BIN2,1,29,7,7,154,44,24,23,4,4,136,15,10,48346,334,43657,79946,4,3,59011,1,1,23098,18195
NFE2,0,4,5,80,479,342,550,133,295,19,140,3,4484,30232,66,44137,43960,0,6,52357,1,0,37509,43600
ITGA2B,9,16,8,578,144,11,19,90,1,7,98,2,5,26856,6518,17177,302387,7272,1446,28366,1,0,16578,14276
TUBB1,139,75,6,1324,129,82,1054,733,9,10,14,17,4,12,28749,103142,66578,22,1202,88847,4618,8,90358,54087
TMEM40,4,6,3,727,0,16,254,43,4,2,3,2,1,1109,67,19552,107796,0,0,107351,8,1,17811,15648
LAT,0,9,0,62,3,17,180,42,1,8,124,2,6,31886,3065,5748,51898,1,222,17467,120,0,22251,22304
TNIK,0,2,2,5,285,5,6,7,3,6,84,6,5,25955,35087,849,314,1,8,56714,1,0,40891,7812
FAM65C,4,23,382,183,155,38,24,1184,4,4,268,12,10,75869,2406,18087,145053,6095,0,44335,1322,0,16124,18786
SLC2A3,2,10,3,7,4,9,21,82,2,2,19,8,3,4089,477,62170,44353,2,100,83651,2,4,13903,16231
EGF,0,5,0,86,9,7,3,5,1,2,3,1,0,0,11753,3247,43313,1,0,9478,0,0,2697,9477
ICAM2,0,6,0,0,0,1,10,6,0,0,6,0,0,1436,5,15496,30573,0,336,29223,1,0,1319,12617
FAM212A,0,4,0,0,29,1,17,4,0,0,1,0,0,85,13091,1943,34621,0,0,6640,1,1,1750,4138
SELP,0,4,1,4,0,3,6,2,2,3,14,0,0,6143,169,17722,11,1,14,38837,0,0,38529,9405
TLN1,61,9,926,4089,308,19,666,81,35,0,103,2,3,18604,32460,21988,90352,109,446,23653,113,3,47195,30691
PTGS1,884,13,0,1,3,10,14,835,0,2,83,5,4,27411,8,14347,6905,3,688,14472,0,0,4649,12797
TMEM140,4956,33,2,3,0,4,23,1629,37,0,0,1,0,1,16,6384,17086,3,672,26769,1,1,14185,8581
DAB2,0,12,0,1,0,8,17,5,0,1,0,3,0,3,1380,27947,2026,7,413,86341,1882,1,7244,8927
C17orf72,1,3,0,0,0,1,20,5,0,0,9,0,0,1601,2,14330,20578,0,200,38225,0,0,1481,11317
GNG11,108,16,7,1454,1,16,4,455,6,1,11,5,0,10,28879,4481,18893,18,244,29881,160,5,25939,19314
HMHA1,19,1,2,5,35,0,3,5,0,7,13,0,0,1741,4039,4547,49819,16,53,16211,5,31,5614,3840
ING5,224,2,1,0,11,4,4,0,0,0,84,4,0,3125,6583,2278,46153,0,28,0,1,0,2067,1617
LCP2,1,3,1,0,36,5,4,2,1,0,4,1,1,1034,8,5590,33388,1,1,22909,1,0,9353,12816
C7orf49,675,5,0,0,0,1,2,1669,69,7,1,0,0,29,13,3497,4103,3,454,17900,0,0,24584,4583
ALOX12,0,1,64,65,0,3,3,34,2,0,0,1,0,1,3574,22075,749,0,0,21771,0,0,1254,11010
C2orf88,0,5,3,544,11,7,2,903,0,7,2,6,1,3,18,5889,66676,0,0,9378,0,0,3112,20731
FYN,0,2,2,2,1,6,12,6,3,4,973,2,7,33151,1,8610,3676,1,8,17622,1,1,6730,19339
RUFY1,1506,25,340,872,6,10,13,316,486,1,86,8,2,79,139,25395,50866,4,255,66582,0,2,17525,30741
DGKD,0,9,7,800,108,11,274,9,38,31,88,14,7,27395,6430,14277,28944,483,904,35561,3,10,16141,26865
HIST1H2AC,27,8,0,0,131,8,113,8,1,27,19,13,2,3633,491,15921,16719,1,107,24291,5,1103,22075,33650
P2RX1,0,2,14,2,2,0,0,384,0,0,9,0,2,2188,4,7925,4444,0,7,1373,0,0,3678,8636
TACC3,0,2,0,72,449,2,4,15,1,2,32,0,83,10542,0,8071,15839,2,550,9858,0,96,17085,4393
RILP,0,2,0,0,0,0,869,14,10,0,18,0,0,0,1479,63,27037,0,0,0,0,0,14362,1829
ARAP1,0,0,0,0,0,2,2,0,16,0,0,0,22,0,26122,565,1521,0,36,2419,0,0,2360,355
TUBA4A,141,5,0,69,8,300,181,5,0,370,4,0,886,12,24,28366,46229,2,353,29951,4,2,20271,12888
LPAR5,0,1,1,25,1,5,34,10,2,1,14,4,3,6654,31,7771,10348,0,1,7167,0,0,5203,8840
MEIS1,0,2,1,3,0,4,10,144,62,2,0,3,0,2,25,4704,38010,2,3,38492,0,0,340,24269
MPP1,48,10,15,2032,1569,4317,1245,11393,156,4383,7473,9,14791,34,116,27927,50389,4,142,12076,0,2,51652,32523
NLRC5,0,4,7,2,2,11,16,303,2,1,40,4,543,9009,71997,1207,4392,13822,519,10583,0,1,21,3748
TSPAN33,9,4,0,0,0,10,132,20,514,4,8,2,0,2,4,19861,66576,3,1125,0,0,0,59952,11671
RAP1B,13,18815,242,356,348,4,1516,343,868,5,12,9,248,971,6937,24486,602,7,737,26954,2,2,28146,29099
ABCC4,1,0,0,0,248,1,3,162,0,1,7,2,1,1,0,2384,4861,3,1,75550,1,4,2089,12359
ADD3,0,5,4,4,1,0,3,35,1,0,88,10,60,36220,614,6421,56,3,3,50323,1,0,20,6366
DNM3,0,9,3,1,0,9,7,6,0,5,8,4,0,1142,8,6047,1101,0,0,16553,0,0,12805,7436
TECPR2,0,0,0,0,0,1,1,1,0,1,7,0,0,0,3,386,12856,0,164,8329,0,0,10245,2789
ESAM,1,0,4,414,133,2,64,365,2,1,0,3,0,23,5,10829,1361,1,2,22922,4009,0,31471,18104
HHEX,0,3,0,0,113,2,2,0,0,0,39,5,1,10328,3,5431,18804,0,0,4816,0,0,2,3234
CCND3,3629,25,415,1192,12,11,2,0,88,4,6,2,1,0,101,3404,5552,2,1116,31761,0,0,7494,7002
CALCOCO1,0,2,1,132,1,1,3,17,0,1,3,3,100,626,5,4687,28294,0,0,15264,0,0,1733,7160
CNST,1,12,0,1,255,10,801,11,3,2,5,9,1,2,316,24146,811,11,70,51442,0,0,35724,5835
LIMS1,3975,33,755,1666,196,8,88,753,0,1,645,0,95,4,15472,13417,30,2233,142,30794,3,1,14743,6390
TPST2,0,0,5,5,156,4,7,2,0,1,1979,0,0,3,2,14618,4049,5,310,51120,2,1,1386,18116
UBR2,0,14,121,0,142,12,2,815,27,2,0,1,30,0,35417,10164,22131,974,131,17724,1,0,1,2
