,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
ABCC3,3.32906903637853,6.69480521881274,0,0,0,7.95198812147256,3.78574153193136,6.07515160998626,1.76474622626802,1.87235708264064,3.21515726031723,6.07510471425364,7.6040036956464,14.8601915164626,21.9426472476948,17.1959026440937,19.5416239764298,1.2736307651878,8.31217402097536,18.0297109169308,0,0,18.9753048853748,17.1292547720062
ACRBP,4.25544331663855,5.89785743310662,1.33754747741868,6.09301584193029,4.24476493891359,7.17853614458325,6.65675472010044,8.45004207087212,1.99916218308649,1.87235708264064,6.20794092519962,7.38413616442032,1.80496729491802,18.6999430263956,15.3498602041447,17.7274342578371,17.4612299684597,0.360126571079381,4.39182858476399,18.8296560884831,0,0.504630698863175,18.9576321495398,18.6690076990038
BIN2,3.32906903637853,8.73482760065457,2.66567628184743,2.68075289988014,7.27280749205556,8.82380651959927,3.9652513597494,7.58469046457215,1.76474622626802,1.87235708264064,6.25043552322169,7.96621702022273,2.5821765512717,18.8981830439163,13.3084562632033,18.3210288198727,18.92335235707,1.09366428582413,1.20406798267283,18.0151163028544,0.537887479196465,0.504630698863175,17.6050563688623,17.2458813820086
NFE2,0,5.89785743310662,2.26844440588194,5.97384853414766,8.90355908224883,11.7794505675853,8.39242048565413,10.1101817264621,7.47462251239908,3.76989740574706,6.29171417278115,5.66718251371805,11.127871612073,18.2208647064584,10.9697234331675,18.3368043493298,18.0605202668127,0,1.8511064447162,17.8425155233178,0.537887479196465,0,18.3045224519174,18.506662057286
ITGA2B,6.36538773466061,7.87959537928779,2.82961690382586,8.80693194399714,7.17659366391108,6.83332640415776,3.65232087660646,9.54737589047205,0.677653057474106,2.50010853933687,5.78501178141706,5.09634619115361,1.80496729491802,18.0500333185162,17.5948306784245,16.975300704711,20.8426485828618,11.0104525605209,9.2979984268721,16.9583010049471,0.537887479196465,0,17.1265612453046,16.8959336854216
TUBB1,10.2979447306737,10.1035868497996,2.4806891098202,10.0008775337422,7.01905504656844,9.72045073681569,9.32873734207357,12.5714998341176,2.67712932686641,2.93607383387257,3.12667567327395,8.14611039446185,1.58273417171756,6.93388182301477,19.7358355601267,19.5613733044914,18.6593726203299,2.85556061334977,9.03183294251309,18.6054536307041,11.0276436893448,2.12104229237386,19.5729353828962,18.8176150501357
TMEM40,5.21717175622473,6.47473199096168,1.71844714392447,9.1371574640196,0,7.369935798358,7.28281207352972,8.4838934617612,1.76474622626802,1.22073322541004,1.40997669898968,5.09634619115361,0.583848766442788,13.4522435567664,10.9914077672025,17.1621374461902,19.3545574950132,0,0,18.8783936692373,2.2062557221776,0.504630698863175,17.2300590982844,17.028319117066
LAT,0,7.05427722937254,0,5.61276560094537,1.99749686712053,7.45688550523434,6.78978427029757,8.45004207087212,0.677653057474106,2.66051921537072,6.11900168503494,5.09634619115361,1.99749288771442,18.2977111651085,16.5062966107262,15.3959768461531,18.300007015661,0.360126571079381,6.60714392897251,16.258777192591,5.78715568786539,0,17.5511588815985,17.5396400871303
TNIK,0,4.92185271661597,1.33754747741868,2.2826313462247,8.15654454668651,5.71092522774921,2.21872144910573,5.88556014465517,1.48470872817987,2.31960468592925,5.56697353311555,6.65291664993573,1.80496729491802,18.0008015486321,20.0232600872271,12.6369463041753,10.9319706156024,0.360126571079381,2.16253991957406,17.9578375291782,0.537887479196465,0,18.4290686272571,16.0261155220567
FAM65C,5.21717175622473,8.4012916819675,8.19326786803176,7.15464236084078,7.28208516741807,8.61280503016416,3.9652513597494,13.263193526857,1.76474622626802,1.87235708264064,7.21969803784923,7.64573046727078,2.5821765512717,19.5482959644493,16.1570504242811,17.04977518789,19.7828334312192,10.7558616274468,0,17.6025802747272,9.22481963916733,0,17.0865012495113,17.2919969531277
SLC2A3,4.25544331663855,7.20519442507868,1.71844714392447,2.68075289988014,2.31925793196232,6.54662847166998,3.78574153193136,9.41326289314899,1.13689425061501,1.22073322541004,3.5231121613456,7.06436553224834,1.31992275372838,15.3346384420018,13.8225547929309,18.8310330915411,18.0733605242827,0.648076070868591,5.47452673154668,18.5185135791894,0.928798629156702,1.41956075653212,16.8726894396098,17.0810923417772
EGF,0,6.21493820535335,0,6.07658283100318,3.31892381384557,6.18846102162945,1.49947786604883,5.40986167000988,0.677653057474106,1.22073322541004,1.40997669898968,4.13791331447149,0,0,18.4453552325112,14.5720499411657,18.0391290609995,0.360126571079381,0,15.3768154239936,0,0,14.5067705957042,16.3048502124453
ICAM2,0,6.47473199096168,0,0,0,3.49516589389416,2.82605939329517,5.66722917873644,0,0,2.10924601473523,0,0,13.8250106285632,7.25600726502207,16.8267196897203,17.5365893160908,0,7.20001571175501,17.0012422389544,0.537887479196465,0,13.4749243822132,16.7177123495677
FAM212A,0,5.89785743310662,0,0,4.90366352615924,3.49516589389416,3.50529231500704,5.09639240148749,0,0,0.634540208895062,0,0,9.74814070624655,18.6009010685668,13.8312682085709,17.715977700492,0,0,14.8634304967842,0.537887479196465,0.504630698863175,13.8828035319622,15.1093764126194
