,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
A1BG,0,0,0,0,3.2116998741224,0,0,0.642142248560006,0,3.37584143887021,0,0,0,0,0,0,0,0,5.86071766675293,0,0,0,0.334531230128682,4.33638520405788,0,0,0.470328647579054,0,1.86594004333891
NAT2,0,0,0,0,0,0,0,0,0,6.67994493736811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,4.89799707038947,0,0,0,0,0,3.65180299241686,0,0,0,0,0,6.34076875872631,0,0,0,0,0,0,0,0.334531230128682,4.44635843527486,0.761288961885244,3.09719960275764,1.10854125096693,0,0
CDH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91381571415406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT3,4.03666595467388,0,0,5.74570187405433,0,8.74438518392977,1.37346791594545,0.642142248560006,0,0,3.2589832896553,1.34484369375117,2.6186210330242,0,0,0,0,5.30797402978471,4.88533337994384,2.51148001502746,11.050929564497,1.95916362587443,0.605906972748426,0.848044515947232,12.0407764511833,0,2.58749111596365,14.0434716109658,5.64193590446156
RN5-8S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100009676,0,0,0,0,3.47261145029702,0,0,0,0,1.07287405068531,0,0,0,0,0,1.3587073609411,0,0,0,3.37907952609912,6.01954994680939,0,0.334531230128682,0,4.84800558993928,0,0,0,0
MED6,0,0,2.87290417081297,0,7.03775671507274,6.94541577333683,0,2.12560778923363,0,1.40894541858213,0,4.59098526601253,2.6186210330242,0,6.34076875872631,1.3587073609411,9.26330548750524,5.8807458634218,0,0,1.11191956130249,0,0,0.848044515947232,0,1.17606321257009,1.10854125096693,0,0
NR2E3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAALAD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-4,0,0,0,0,2.89295017843486,0,0,0,0,0,0,0,0,0,6.34076875872631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD116-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
