,theta_1,theta_2,mu_1,mu_2,size_1,size_2,prob_1,prob_2,total_mean_1,total_mean_2,foldChange,norm_total_mean_1,norm_total_mean_2,norm_foldChange,chi2LR1,pvalue_LR2,pvalue_LR3,FDR_LR2,FDR_LR3,pvalue,pvalue.adj.FDR,Remark,Type,State
HNRNPK,0,0,92.0909090909091,8835.15384615386,0.900412891758883,0.219835778995259,0.00968276256925034,2.48813221612566e-05,159.818181818182,1855.23076923077,0.0861446373512051,92.0909090909091,8835.15384615385,0.0104232377493911,25.7466477547346,1,2.56558540490115e-06,1,1.48832302494266e-05,1.07762249376142e-05,0.0155993553275493,NA,DEa,down
SLC44A2,0,0,214.272727272727,29390.4615384615,0.64350030051823,0.189998591437538,0.00299419130786166,6.46459270213884e-06,337.090909090909,6211.76923076923,0.0542664893958344,214.272727272727,29390.4615384615,0.00729055333113165,23.3282142625216,1,8.59691507504312e-06,1,4.33978885999773e-05,3.44959706787273e-05,0.0214671786827878,NA,DEa,down
CHMP3,0,0,637.181818181818,13876.3076923077,1.310395668765,0.219950607066237,0.00205232834534087,1.58505508529392e-05,1395.45454545455,3473.92307692308,0.401694140761035,637.181818181818,13876.3076923077,0.0459186861743516,23.0394931302765,1,9.93202110732838e-06,1,4.88450002402039e-05,3.96247664865568e-05,0.0214671786827878,NA,DEa,down
WAC,0,0,225.272727272727,6754.3076923077,0.997463417264129,0.205942943391187,0.00440828468930198,3.04896776455366e-05,490.090909090909,2345.61538461538,0.208939160403431,225.272727272727,6754.30769230769,0.0333524526176509,21.7885054422505,1,1.85646240479231e-05,1,8.39003812782753e-05,7.21858666242747e-05,0.0249349753064194,NA,DEa,down
KIF21B,0.909090974544288,0.69230081835445,137.000009161726,10.7497746992948,12437.9437876356,12507.5262725974,0.989105318371553,0.999141273554068,14.2727272727273,0.384615384615385,37.1090909090909,12.4545454545455,3.30769230769231,3.76532769556025,21.3816151127202,0.0503154409030442,5.6335467046531e-05,0.0740278556023303,0.000221267732165303,8.77099345287791e-05,0.026932265653943,NA,DEa,up
MPPE1,0.636360077277591,4.97503726453703e-09,179.496590771915,0.230769303521183,2.71091889539694,13057.3179972402,0.0148781951981383,0.999982326751548,143.818181818182,0.384615384615385,373.927272727273,65.2727272727273,0.230769230769231,282.848484848485,20.3206308123059,0.218607375795017,4.82253569232816e-05,0.261830126902777,0.000193269560188724,0.000145653099779874,0.0313036301449401,NA,DEa,up
SDHAP2,2.27386598703826e-09,0.684239136047959,5.18181818108393,226.071725701946,0.780901213222545,0.621631294545039,0.130963938026028,0.00274216811106053,4.90909090909091,43.3076923076923,0.113353786533183,5.18181818181818,71.3846153846154,0.0725901253918495,20.239937593707,0.0872188265950397,0.000248865284960265,0.117534134604484,0.000798514569405617,0.000151374506770163,0.0313036301449401,NA,DEa,down
TMED3,0,0,1037.72727272727,269590.76923077,0.381332073302275,0.108492495521291,0.000367333505896072,4.02433852500966e-07,983.090909090909,27186.2307692308,0.0361613537910362,1037.72727272727,269590.769230769,0.00384926856245208,19.6850294624182,1,5.31435013199077e-05,1,0.000210568590135484,0.000197261481421296,0.0335023363811973,NA,DEa,down
TMEM59,0,0,814.999999999999,26369.0000000001,0.776430219977191,0.187359114454473,0.000951768390474121,7.10522898953548e-06,1896.63636363636,4887.30769230769,0.388073860506378,815,26369,0.0309075050248398,19.6626284320774,1,5.37420818601531e-05,1,0.000211874290187087,0.000199379876038797,0.0335023363811973,NA,DEa,down
EXPH5,0.342465401726191,0.460900172311323,255.499881532514,10.7015992484262,0.159234399362651,7.80620115784665,0.00062283873110584,0.421778978943434,89.3636363636364,2.30769230769231,38.7242424242424,168,5.76923076923077,29.12,19.2012685719256,0.0782968717756496,7.28428227925182e-06,0.106860981842849,3.7615556032202e-05,0.00024841135079523,0.0349604474667787,NA,DEa,up
ZNF747,0.818178501491356,0.534487133284666,164.497001594719,6.60974872450954,2.62805673615885,7.64586090049025,0.0157250909133911,0.536340507464644,67.6363636363636,2,33.8181818181818,29.9090909090909,3.07692307692308,9.72045454545455,18.4239209699259,0.0634402251481331,0.000296464690498932,0.0889744920821991,0.000928294011005603,0.000359604770161281,0.0393951459215271,NA,DEa,up
RAB11A,0,0,987.636363636366,29160.7692307693,0.697127291510815,0.183593578706793,0.00070535633762277,6.29587036516521e-06,1543.45454545455,8741,0.176576426662229,987.636363636364,29160.7692307692,0.0338686663517179,18.1763854289445,1,0.000112992093076802,1,0.000401721324144388,0.000404499282768755,0.0414019316393515,NA,DEa,down
KLHL6,2.43260427089473e-09,1.67904314818142e-08,3.45454537640384,3193.61348464538,0.417763871295451,0.0542606816330046,0.107884945280045,1.69900834901812e-05,1.36363636363636,1273.92307692308,0.00107042284447031,3.45454545454545,3193.61538461538,0.00108170366136982,17.9714026723449,0.0687994677441301,1.13159301062815e-06,0.0955127031264918,7.24495525097292e-06,0.000445863564729199,0.0428051431264892,NA,DEa,down
ACTB,0,0,4283.9090909091,78877.9230769233,0.900619851001387,0.250191211859498,0.000210188995963982,3.17186873748975e-06,6761.63636363636,9953.61538461538,0.679314611059551,4283.90909090909,78877.9230769231,0.0543106223363837,17.923007504791,1,0.000128253247525745,1,0.000448886366340107,0.000456227717128277,0.0428051431264892,NA,DEa,down
TBP,0.158774326446007,0.591365350575321,1.18874306453121,171.302060829484,4.14879222987668,0.482349922396057,0.777286144453855,0.00280787948268919,1.90909090909091,98.1538461538462,0.0194499857509262,1,70,0.0142857142857143,17.810013687789,0.200172726781651,0.000150471740138713,0.242516957447,0.000516887656965046,0.000481368120767045,0.0431655147586944,NA,DEa,down
MAP1B,0.54545184376854,0.227903637879922,989.394095781409,14.9443333268672,1.92774141634858,0.305749448527207,0.00194461712030662,0.0200490353416655,753.545454545455,4.69230769230769,160.591654247392,449.727272727273,11.5384615384615,38.9763636363636,17.3576439082796,0.283576911445001,4.42628736249118e-05,0.328165786573017,0.000179213434342509,0.000596580093364274,0.0465011237389245,NA,DEa,up
TREX2,0.909090908971587,0.68412049557429,54.0000001062379,3.65280517713883,10334.4657770341,14104.0161739874,0.994801927323565,0.999741076631261,19.1818181818182,1.23076923076923,15.5852272727273,4.90909090909091,1.15384615384615,4.25454545454545,17.190138194982,0.0536050642782768,0.00045808757614596,0.0778855869356882,0.00136767164012668,0.000645871226320538,0.0477056632982478,NA,DEa,up
ZNF34,0.727272286686418,0.923076913259379,15.3333280336979,149.000005046134,14329.5807183143,16747.2801484078,0.998931096555605,0.991181490618473,7.81818181818182,18.8461538461538,0.414842300556586,4.18181818181818,11.4615384615385,0.364856619890177,17.0320284866987,0.0825593420430517,0.000464993955308968,0.111710449929387,0.00138051928296253,0.000696103438127538,0.0493259869828415,NA,DEa,down
TMEM115,0.272457117400446,0.748999519510839,309.385092896005,12.5650512574116,1.47643809840399,0.947616172898089,0.00474950404342744,0.0701279875187728,394.727272727273,12.6153846153846,31.2893569844789,225.090909090909,3.15384615384615,71.370288248337,16.9520271517723,0.285401579672742,0.00455256772340917,0.330156069030165,0.00936069734251886,0.000722980599021761,0.0496137096328647,NA,DEa,up
