HGNC approved symbol,HGNC approved name,Function,Modification,Target entity,Product,,,,,,,,,,,
A1CF,APOBEC1 complementation factor,RNA modification,RNA deamination,mRNA, mC,U,,,,,,,,,,
ACTB,actin, beta,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,
ACTL6A,actin-like 6A,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
ACTL6B,actin-like 6B,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
ACTR3B,ARP3 actin-related protein 3 homolog B (yeast),Chromatin remodeling,#,H2A, H3, H4,#,,,,,,,,,
ACTR5,ARP5 actin-related protein 5 homolog (yeast),Chromatin remodeling,#,#,#,,,,,,,,,,,
ACTR6,ARP6 actin-related protein 6 homolog (yeast),Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
ACTR8,ARP8 actin-related protein 8 homolog (yeast),Histone modification read,#,#,#,,,,,,,,,,,
ADNP,activity-dependent neuroprotector homeobox,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
AEBP2,AE binding protein 2,Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,,,
AICDA,activation-induced cytidine deaminase,DNA modification,DNA demethylation,ssDNA, hmC,hmU,,,,,,,,,,
AIRE,autoimmune regulator,Histone modification read, TF,#,H3K4, H3K4me3, DNA motif,#,,,,,,,,
ALKBH1,alkB, alkylation repair homolog 1 (E. coli),Histone modification,#,H2A,#,,,,,,,,,,
ANKRD32,ankyrin repeat domain 32,Histone modification read,#,H2AXS139,#,,,,,,,,,,,
ANP32A,acidic (leucine-rich) nuclear phosphoprotein 32 family, member A,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,
ANP32B,acidic (leucine-rich) nuclear phosphoprotein 32 family, member B,Histone chaperone,#,H3, H4,#,,,,,,,,,
ANP32E,acidic (leucine-rich) nuclear phosphoprotein 32 family, member E,Histone chaperone, Histone modification read,#,H2A.Z,#,,,,,,,,,
APBB1,amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65),Histone modification,#,H2AX,#,,,,,,,,,
APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,DNA modification cofactor,DNA demethylation,#,#,,,,,,,,,,,
APOBEC1,apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1,DNA modification, RNA modification,DNA demethylation, mRNA editing,ssDNA, mRNA, mC,U,,,,,,
APOBEC2,apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2,DNA modification, RNA modification,DNA demethylation, mRNA editing,ssDNA, mRNA, mC,hmU,,,,,,
APOBEC3A,apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A,DNA modification, RNA modification,DNA demethylation, mRNA editing,ssDNA, mRNA, mC,dhU,,,,,,
APOBEC3B,apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B,DNA modification, RNA modification,DNA demethylation, mRNA editing,ssDNA, mRNA, mC,dhU,,,,,,
APOBEC3C,apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C,DNA modification, RNA modification,DNA demethylation, mRNA editing,ssDNA, mRNA, mC,dhU,,,,,,
APOBEC3D,apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D,DNA modification, RNA modification,DNA demethylation, mRNA editing,ssDNA, mRNA, mC,dhU,,,,,,
APOBEC3F,apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F,DNA modification, RNA modification,DNA demethylation, mRNA editing,ssDNA, mRNA, mC,dhU,,,,,,
APOBEC3G,apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G,DNA modification, RNA modification,DNA demethylation, mRNA editing,ssDNA, mRNA, mC,dhU,,,,,,
APOBEC3H,apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H,DNA modification, RNA modification,DNA demethylation, mRNA editing,ssDNA, mRNA, mC,dhU,,,,,,
ARID1A,AT rich interactive domain 1A (SWI-like),Chromatin remodeling cofactor,#,DNA motif,#,,,,,,,,,,,
ARID1B,AT rich interactive domain 1B (SWI1-like),Histone modification write,Histone ubiquitination,H2BK120, DNA motif,#,,,,,,,,,,
ARID2,AT rich interactive domain 2 (ARID, RFX-like),Chromatin remodeling cofactor,#,DNA motif,#,,,,,,,,,,
ARID4A,AT rich interactive domain 4A (RBP1-like),Histone modification write cofactor,Histone acetylation,DNA motif,#,,,,,,,,,,,
ARID4B,AT rich interactive domain 4B (RBP1-like),Histone modification write cofactor,Histone acetylation,DNA motif,#,,,,,,,,,,,
ARNTL,aryl hydrocarbon receptor nuclear translocator-like,Histone modification write cofactor, TF,TF activator,#,#,,,,,,,,,,
ARRB1,arrestin, beta 1,Histone modification,#,#,#,,,,,,,,,,
ASF1A,anti-silencing function 1A histone chaperone,Histone chaperone,#,H3, H4,#,,,,,,,,,,
ASF1B,anti-silencing function 1B histone chaperone,Histone chaperone,#,H3, H4,#,,,,,,,,,,
ASH1L,ash1 (absent, small, or homeotic)-like (Drosophila),Histone modification write,Histone methylation,H3K36,H3K36me,,,,,,,,,
ASH2L,ash2 (absent, small, or homeotic)-like (Drosophila),Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,
ASXL1,additional sex combs like transcriptional regulator 1,Histone modification erase, Polycomb group (PcG) protein,Histone deubiquitination,H2AK119,H2AK119ub1,,,,,,,,,,
ASXL2,additional sex combs like transcriptional regulator 2,Histone modification read,#,H3K4, H3K9,#,,,,,,,,,,
ASXL3,additional sex combs like transcriptional regulator 3,Scaffold protein, Polycomb group (PcG) protein,#,#,#,,,,,,,,,,
ATAD2,ATPase family, AAA domain containing 2,Chromatin remodeling,#,#,#,,,,,,,,,,
ATAD2B,ATPase family, AAA domain containing 2B,Histone modification read,#,H1.4, H2A, H2B, H3 and H4,#,,,,,,,
ATF2,activating transcription factor 2,Histone modification write, TF,Histone acetylation, TF activator,H2B, H4, DNA motif,#,,,,,,,
ATF7IP,activating transcription factor 7 interacting protein,Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,,,
ATM,ATM serine/threonine kinase,Histone modification write,Histone phosphorylation,H2AXS139,#,,,,,,,,,,,
ATN1,atrophin 1,Histone modification erase cofactor,#,#,#,,,,,,,,,,,
ATR,ATR serine/threonine kinase,Histone modification write,Histone phosphorylation,H2AX,#,,,,,,,,,,,
ATRX,alpha thalassemia/mental retardation syndrome X-linked,Chromatin remodeling,#,H3K9me2, H3K9me3, H3K4,#,,,,,,,,,
ATXN7,ataxin 7,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
ATXN7L3,ataxin 7-like 3,Histone modification erase cofactor,Histone deubiquitination,#,#,,,,,,,,,,,
AURKA,aurora kinase A,Histone modification write,Histone phosphorylation,H3,H3S10ph,,,,,,,,,,,
AURKB,aurora kinase B,Histone modification write,Histone phosphorylation,H3S10, H3S28,#,,,,,,,,,,
AURKC,aurora kinase C,Histone modification write,Histone phosphorylation,H3S10, H3S28,#,,,,,,,,,,
BABAM1,BRISC and BRCA1 A complex member 1,Histone modification erase cofactor,Histone deubiquitination,#,#,,,,,,,,,,,
BAHD1,bromo adjacent homology domain containing 1,Chromatin remodeling,#,H3K27me3,#,,,,,,,,,,,
BANP,BTG3 associated nuclear protein,Histone modification write,Histone acetylation,H3K9, H4K8,#,,,,,,,,,,
BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),Histone modification erase, Polycomb group (PcG) protein,Histone deubiquitination,H2AK119ub1,H2AK119,,,,,,,,,,
BARD1,BRCA1 associated RING domain 1,Histone modification write,Histone ubiquitination,H2AX, H2A, H2B, H3, H4,H2AXub, H2Aub, H2Bub, H3ub, H4ub,,,
BAZ1A,bromodomain adjacent to zinc finger domain, 1A,Histone chaperone,#,#,#,,,,,,,,,,
BAZ1B,bromodomain adjacent to zinc finger domain, 1B,Histone modification write,Histone phosphorylation,H2AXT142, H3,H2AXY142ph,,,,,,,,,
BAZ2A,bromodomain adjacent to zinc finger domain, 2A,Chromatin remodeling, Histone modification erase,Histone deacetylation,H4K16ac, DNA motif,H4K5, H4K8, H4K12,,,,,,
BAZ2B,bromodomain adjacent to zinc finger domain, 2B,Histone modification read,#,H1.4ac, H2Aac, H2Bac, H3ac,  H4Kac,#,,,,,,
BCOR,BCL6 corepressor,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
BCORL1,BCL6 corepressor-like 1,Histone modification erase cofactor,Histone deacetylation,H3K36me2,#,,,,,,,,,,,
BMI1,BMI1 proto-oncogene, polycomb ring finger,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,
BPTF,bromodomain PHD finger transcription factor,Chromatin remodeling,#,#,#,,,,,,,,,,,
BRCA1,breast cancer 1, early onset,Histone modification write cofactor, TF,Histone acetylation, Histone methylation, Histone ubiquitination, TF activator, TF repressor,DNA motif,#,,,,,
BRCA2,breast cancer 2, early onset,Histone modification write,Histone acetylation,H3, H4, ssDNA,#,,,,,,,,
BRCC3,BRCA1/BRCA2-containing complex, subunit 3,Histone modification erase,Histone deubiquitination,H2AK63, H2AXK63,H2A, H2AX,,,,,,,,
BRD1,bromodomain containing 1,Histone modification read,#,H3K36me3, H3,#,,,,,,,,,,
BRD2,bromodomain containing 2,Histone modification read,#,H3K9me2, H3K14me2, H4K5ac, H4K12ac,#,,,,,,,,
BRD3,bromodomain containing 3,Histone modification read,#,H3K9me2, H3K14me2, H4K5ac, H4K12ac,#,,,,,,,,
BRD4,bromodomain containing 4,Histone modification read,#,H3K9, H3K14, H4K5, H4K12,#,,,,,,,,
BRD7,bromodomain containing 7,Histone modification read,#,H3K9ac, H3K14ac, H3K8ac,#,,,,,,,,,
BRD8,bromodomain containing 8,Histone modification read,#,#,#,,,,,,,,,,,
BRD9,bromodomain containing 9,Histone modification read,#,H3,#,,,,,,,,,,,
BRDT,bromodomain, testis-specific,Histone modification read,#,H4K5ac, H4K8ac,#,,,,,,,,,
BRE,brain and reproductive organ-expressed (TNFRSF1A modulator),Histone modification write cofactor,Histone ubiquitination,#,#,,,,,,,,,,,
BRMS1,breast cancer metastasis suppressor 1,Chromatin remodeling,#,#,#,,,,,,,,,,,
BRMS1L,breast cancer metastasis-suppressor 1-like,Histone modification erase,Histone deacetylation,#,#,,,,,,,,,,,
BRPF1,bromodomain and PHD finger containing,1,Histone modification read,#,H3K36me3,#,,,,,,,,,,
BRPF3,bromodomain and PHD finger containing,3,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,
BRWD1,bromodomain and WD repeat domain containing 1,Histone modification read,#,H3,#,,,,,,,,,,,
BRWD3,bromodomain and WD repeat domain containing 3,Histone modification read,#,H3,#,,,,,,,,,,,
BUB1,BUB1 mitotic checkpoint serine/threonine kinase,Histone modification write,Histone phosphorylation,H2AS121,H2AS121ph,,,,,,,,,,,
C11orf30,chromosome 11 open reading frame 30,Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,,,
C14orf169,#,Histone modification erase,Histone methylation,H3K4me3, H3K4me1, H3K36me2,H3K4me2, H3K4, H3K36me1,,,,,,,
C17orf49,chromosome 17 open reading frame 49,Histone modification read,#,H3K4me3,#,,,,,,,,,,,
CARM1,coactivator-associated arginine methyltransferase 1,Histone modification write,Histone methylation,H3R17,H3R17me, H3R17me2a,,,,,,,,,,
CBX1,chromobox homolog 1,Histone modification read,#,H3K9me3, H3K27me3,#,,,,,,,,,,
CBX2,chromobox homolog 2,Histone modification read,#,H3K9me3, H3K27me3,#,,,,,,,,,,
CBX3,chromobox homolog 3,Histone modification read,#,H3K9me3,#,,,,,,,,,,,
CBX4,chromobox homolog 4,Histone modification read,#,H3K9me3,#,,,,,,,,,,,
CBX5,chromobox homolog 5,Histone modification read,#,H3K9me, H3K27me3,#,,,,,,,,,,
CBX6,chromobox homolog 6,Histone modification read,#,H3K9me3, H3K27me3,#,,,,,,,,,,
CBX7,chromobox homolog 7,Histone modification read,#,H3K9me3, H3K27me3,#,,,,,,,,,,
CBX8,chromobox homolog 8,Histone modification read,#,H3K9me3, H3K27me3,#,,,,,,,,,,
CCDC101,coiled-coil domain containing 101,Histone modification read,#,H3K4me, H3K4me3,#,,,,,,,,,,
CDC6,cell division cycle 6,Chromatin remodeling,#,#,#,,,,,,,,,,,
CDC73,cell division cycle 73,Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,,,
CDK1,cyclin-dependent kinase 1,Histone modification write,Histone phosphorylation,H1,H1ph,,,,,,,,,,,
CDK17,cyclin-dependent kinase 17,Histone modification write,Histone phosphorylation,H1,#,,,,,,,,,,,
CDK2,cyclin-dependent kinase 2,Histone modification write,Histone phosphorylation,H1S, H1T,H1Sph, H1Tph,,,,,,,,,
CDK3,cyclin-dependent kinase 3,Histone modification write,Histone phosphorylation,H1,#,,,,,,,,,,,
CDK5,cyclin-dependent kinase 5,Histone modification write,Histone phosphorylation,H1,#,,,,,,,,,,,
CDK7,cyclin-dependent kinase 7,Histone modification write,Histone phosphorylation,H1,#,,,,,,,,,,,
CDK9,cyclin-dependent kinase 9,Histone modification cofactor,#,#,#,,,,,,,,,,,
CDY1,chromodomain protein, Y-linked,1,Histone modification write,Histone acetylation,H4,#,,,,,,,,,
CDY1B,chromodomain protein, Y-linked, 1B,Histone modification write,Histone acetylation,H4,#,,,,,,,,,
CDY2A,chromodomain protein, Y-linked, 2A,Histone modification write,Histone acetylation,#,#,,,,,,,,,
CDY2B,chromodomain protein, Y-linked, 2B,Histone modification write,Histone acetylation,#,#,,,,,,,,,
CDYL,chromodomain protein, Y-like,Histone modification write,Histone acetylation,H4,#,,,,,,,,,,
CDYL2,chromodomain protein, Y-like 2,Histone modification read,#,H3K9me3,#,,,,,,,,,,
CECR2,cat eye syndrome chromosome region, candidate 2,Histone modification read,#,H2A, H3,#,,,,,,,,,
