,Run,filename
0,SRR6767864.fastq,Br37_single_1.fastq
1,SRR6767865.fastq,Br37_single_2.fastq
2,SRR6767866.fastq,Br38_single_1.fastq
3,SRR6767867.fastq,Br38_single_2.fastq
4,SRR6767868.fastq,Br23_cluster_1.fastq
5,SRR6767869.fastq,Br23_cluster_2.fastq
6,SRR6767870.fastq,Br23_cluster_3.fastq
7,SRR6767871.fastq,Br23_cluster_4.fastq
8,SRR6767872.fastq,Br23_single_1.fastq
9,SRR6767873.fastq,Br44_single_1.fastq
10,SRR6767874.fastq,Br38_single_3.fastq
11,SRR6767875.fastq,Br39_single_1.fastq
12,SRR6767876.fastq,Br39_single_2.fastq
13,SRR6767877.fastq,Br39_cluster_1.fastq
14,SRR6767878.fastq,Br39_single_3.fastq
15,SRR6767879.fastq,Br39_single_4.fastq
16,SRR6767880.fastq,Br11_single_1.fastq
17,SRR6767881.fastq,Br11_single_2.fastq
18,SRR6767882.fastq,Br11_cluster_1.fastq
19,SRR6767883.fastq,Br11_cluster_2.fastq
20,SRR6767884.fastq,Br11_single_3.fastq
21,SRR6767885.fastq,Br11_single_4.fastq
22,SRR6767886.fastq,Br11_single_5.fastq
23,SRR6767887.fastq,Br11_single_6.fastq
24,SRR6767888.fastq,Br11_cluster_3.fastq
25,SRR6767889.fastq,Br11_cluster_4.fastq
26,SRR6767890.fastq,Br11_single_7.fastq
27,SRR6767891.fastq,Br11_single_8.fastq
28,SRR6767892.fastq,Br11_single_9.fastq
29,SRR6767893.fastq,Br11_single_10.fastq
30,SRR6767894.fastq,Br11_single_11.fastq
31,SRR6767895.fastq,Br11_single_12.fastq
32,SRR6767896.fastq,Br11_single_13.fastq
33,SRR6767897.fastq,Br11_single_14.fastq
34,SRR6767898.fastq,Br11_single_15.fastq
35,SRR6767899.fastq,Br11_single_16.fastq
36,SRR6767900.fastq,Br11_single_17.fastq
37,SRR6767901.fastq,Br11_single_18.fastq
38,SRR6767902.fastq,Br11_single_19.fastq
39,SRR6767903.fastq,Br11_single_20.fastq
40,SRR6767904.fastq,Br11_single_21.fastq
41,SRR6767905.fastq,Br11_single_22.fastq
42,SRR6767906.fastq,Br45_single_1.fastq
43,SRR6767907.fastq,Br45_single_2.fastq
44,SRR6767908.fastq,Br45_single_3.fastq
45,SRR6767909.fastq,Br45_single_4.fastq
46,SRR6767910.fastq,Br53_cluster_1.fastq
47,SRR6767911.fastq,Br53_cluster_2.fastq
48,SRR6767912.fastq,Br57_single_1.fastq
49,SRR6767913.fastq,Br57_single_2.fastq
50,SRR6767914.fastq,Br57_single_3.fastq
51,SRR6767915.fastq,Br57_single_4.fastq
52,SRR6767916.fastq,Br57_single_5.fastq
53,SRR6767917.fastq,Br57_single_6.fastq
54,SRR6767918.fastq,Br57_single_7.fastq
55,SRR6767919.fastq,Br57_single_8.fastq
56,SRR6767920.fastq,Br57_single_9.fastq
57,SRR6767921.fastq,Br57_single_10.fastq
58,SRR6767922.fastq,Br57_single_11.fastq
59,SRR6767923.fastq,Br57_single_12.fastq
60,SRR6767924.fastq,Br57_single_13.fastq
61,SRR6767925.fastq,Br57_single_14.fastq
62,SRR6767926.fastq,Br57_cluster_1.fastq
63,SRR6767927.fastq,Br57_cluster_2.fastq
64,SRR6767928.fastq,Br57_single_15.fastq
65,SRR6767929.fastq,Br57_single_16.fastq
66,SRR6767930.fastq,Br57_single_17.fastq
67,SRR6767931.fastq,Br57_single_18.fastq
68,SRR6767932.fastq,Br57_single_19.fastq
69,SRR6767933.fastq,Br57_single_20.fastq
70,SRR6767934.fastq,Br57_single_21.fastq
71,SRR6767935.fastq,Br57_single_22.fastq
72,SRR6767936.fastq,Br57_single_23.fastq
73,SRR6767937.fastq,Br57_single_24.fastq
74,SRR6767938.fastq,Br57_single_25.fastq
75,SRR6767939.fastq,Br57_single_26.fastq
76,SRR6767940.fastq,Br61_single_1.fastq
77,SRR6767941.fastq,Br61_single_2.fastq
78,SRR6767942.fastq,Br61_single_3.fastq
79,SRR6767943.fastq,Br61_single_4.fastq
80,SRR6767944.fastq,Br61_cluster_1.fastq
81,SRR6767945.fastq,Br61_cluster_2.fastq
82,SRR6767946.fastq,Br61_single_5.fastq
83,SRR6767947.fastq,Br61_single_6.fastq
84,SRR6767948.fastq,Br61_cluster_3.fastq
85,SRR6767949.fastq,Br61_cluster_4.fastq
86,SRR6767950.fastq,Br61_cluster_5.fastq
87,SRR6767951.fastq,Br61_cluster_6.fastq
88,SRR6767952.fastq,Br61_cluster_7.fastq
89,SRR6767953.fastq,Br61_cluster_8.fastq
90,SRR6767954.fastq,Br61_single_7.fastq
91,SRR6767955.fastq,Br61_single_8.fastq
92,SRR6767956.fastq,Br61_cluster_9.fastq
93,SRR6767957.fastq,Br61_cluster_10.fastq
94,SRR6767958.fastq,Br61_single_9.fastq
95,SRR6767959.fastq,Br61_single_10.fastq
96,SRR6767960.fastq,Br61_cluster_11.fastq
97,SRR6767961.fastq,Br61_cluster_12.fastq
98,SRR6767962.fastq,Br61_single_11.fastq
99,SRR6767963.fastq,Br61_single_12.fastq
