,logFC,logCPM,PValue
CCL4,14.6479261073957,11.1818894459195,2.21005605140571e-05
IL8,14.228010125231,12.4832718583589,9.27545561857669e-06
CRISP3,13.6881586464325,10.2241932790237,8.37673518101935e-05
APOBEC3A,12.6683632150405,9.2086581468556,0.000368045319406574
CCL3,12.5394356128645,10.7942929401411,8.75715939506795e-05
BCL2A1,12.5306681977969,9.07182288399256,0.000452744154827226
MNDA,12.5014790850221,9.04282077766935,0.000472866654708714
S100A4,12.4824911898633,9.02395327637855,0.000486167986308318
FCER1G,12.4110519976687,8.95300414980548,0.000539832747852057
SDPR,12.3903811510653,8.93247874833023,0.000556419653049993
TYROBP,12.3084766049252,8.85118129381463,0.000652239335019863
ITGB3,12.2825766210757,8.82547553188023,0.000689433078545829
SELL,12.2206012005168,8.76399059503722,0.000785970918097693
ICAM1,12.2197259725585,8.76312170085382,0.000786904766129246
CCL3L3,12.1245657347416,8.66875391945881,0.000958045652717888
SERPINA1,12.1212392222598,8.66545116878283,0.000965042588032921
BTG2,12.0337627781016,8.5787464083136,0.00115034224024656
FCN1,12.0321826652973,8.57719289878811,0.00115497692115098
LCP1,12.0224918945088,8.5675837596231,0.00117649508037157
CCL5,12.008207310509,8.55343954090149,0.00121031491461288
PLEK,11.9271093083149,8.47310662516247,0.00141890119714091
SERPINB2,11.9210093699235,8.46708071877994,0.0014357267975682
PTX3,11.7851102438365,8.33259434777744,0.00185667173072993
CD53,11.7646121042068,8.31229928259338,0.00192859168287974
SPARC,11.6660418132666,8.21487733552143,0.00231002631224138
IL1B,11.6322780817875,11.9935878361883,7.22907390620066e-05
S100A12,11.6127397635021,8.16219720536921,0.00254279328035757
PF4,11.5873147112656,8.13710662313884,0.00265894537144048
MPEG1,11.4919892095058,8.04301195942674,0.0031813959491704
VIM,11.4070151298536,7.95919394030687,0.00387394067272654
CSF3R,11.3881716189578,7.94052097535481,0.00404085568805076
CLEC7A,11.3784818884274,7.93107417165803,0.00413304104164699
CD36,11.3507778681962,7.90362786834901,0.00439692568758588
PTGER4,11.3226650167247,7.87607591316217,0.00467677089696046
CPVL,11.2476528681629,7.80223792402765,0.0055070391590029
CYBB,11.2228643429306,7.77784532135968,0.00580475873501927
FPR1,11.1797936052528,7.73525237182819,0.00635556038609189
APOBEC3B,11.1740117411464,7.72979204212162,0.0064278210990393
FYB,11.1554723129824,7.71148160551677,0.00667838067261972
CD300E,11.1102345257458,7.66710162483143,0.00732299529453198
GNG11,11.0644596202063,7.62213695698707,0.00809682143183485
CCR1,10.9227114345927,7.48306808206114,0.0112750896604682
AMICA1,10.8944064247137,7.45499032338641,0.0120193158806377
ARHGAP9,10.8652403881378,7.42661505637393,0.0128128423548835
LOC102724850,10.8294032580437,7.39166286769394,0.0138511708088945
AQP9,10.8014442118491,7.36421070820554,0.0147026577129445
SIGLEC1,10.7572045669765,7.32104020134058,0.0161707017068786
APOBEC3B-AS1,10.7454906508128,7.30958499079819,0.0165621854854211
FGL2,10.7123880367525,7.27711501554708,0.0177308637881331
C6orf25,10.6984737287638,7.26364068033183,0.0182443417467491
NLRP3,10.6681865629125,7.23406115552325,0.0194244822592237
HBG2,10.6465995929648,7.21298860920196,0.0204111926889111
CXCR2,10.6437099129231,7.20939824219086,0.0205949627344786
GPX1,10.6432332638124,9.03137623970567,0.00101684972553444
C3AR1,10.6383354812647,7.20488510000655,0.0208965853017058
TUBA1A,10.637801924133,7.20393117371659,0.0209462377033181
PTGER2,10.6151859934543,7.18234079462334,0.0223150366205243
ABCC4,10.6070943638372,7.17408825416913,0.0228470666871893
MSN,10.6010334240041,7.16850991890724,0.0232375406886895
TREML1,10.5895530684627,7.15734496225346,0.023996879903749
VNN2,10.5606342263446,7.12887772524983,0.0260019826906897
LSP1,10.510435475128,7.08019865758999,0.0297636731125132
SAMSN1,10.5098789473,7.07964343891605,0.0298512178236146
PECAM1,10.388494397252,6.96168141715564,0.0409036611610299
FGR,10.3713280702921,6.9443891904038,0.0427791022775809
F13A1,10.3241033758569,6.89918740914264,0.0479991548232078
HCK,10.3200575634324,6.89488682993568,0.0485269398101174
PLEKHO2,10.3146703148511,6.88961014807544,0.0491634670164426
SLC31A2,10.2966420576623,6.87255805785712,0.0513327592406258
GMFG,10.2837191748451,6.85986550848883,0.0530026618792143
SLA,10.2654505913494,6.84208237972992,0.0554034882030627
ITGAX,10.2642262130031,6.84071454451501,0.0555647507473977
PDE4B,10.2635045909228,6.84040759283237,0.0556009970110328
IL10RA,10.2480915543351,6.82550900293195,0.0576586092130129
KCNJ2,10.2389183823654,6.81600697010693,0.0590114635152514
HK3,10.2339558010903,6.81175773289446,0.0596343125491454
CASP1,10.2151717407622,6.79364837885369,0.0622180733367763
RNASE6,10.2151717407622,6.79364837885369,0.0622180733367763
NR3C1,10.2041186405427,6.78269784722822,0.0635559058676295
DGAT2,10.1989389443048,6.77733209327694,0.0642224651236911
SELPLG,10.1921929856125,6.76990091654266,0.0652189498355098
C1orf162,10.1596420517678,6.73994096642497,0.0691493806576752
LST1,10.1596095403781,6.73956838829645,0.0691913460267777
ITGAM,10.1546717428088,6.73494178394238,0.0698246017112752
MED9,10.0802597905206,6.66294413774396,0.0801477427755567
PTAFR,10.0674389031048,6.64960740759249,0.0821203833144029
GNAT3,10.0347962418133,6.61764106488615,0.0871827474633312
NFAM1,9.96441242150517,6.55097905203471,0.0985257287464456
