"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000197747","S100A10","3","positive","More details"
"ENSG00000026025","VIM","2","positive","More details"
"ENSG00000120708","TGFBI","2","positive","More details"
"ENSG00000142156","COL6A1","2","positive","More details"
"ENSG00000134830","C5AR2","2","negative","More details"
"ENSG00000174990","CA5A","2","negative","More details"
"ENSG00000180616","SSTR2","2","negative","More details"
"ENSG00000183323","CCDC125","2","negative","More details"
"ENSG00000204514","ZNF814","2","negative","More details"
"ENSG00000204695","OR14J1","2","negative","More details"
"ENSG00000002586","CD99","1","positive","More details"
"ENSG00000004777","ARHGAP33","1","positive","More details"
"ENSG00000005302","MSL3","1","positive","More details"
"ENSG00000006451","RALA","1","positive","More details"
"ENSG00000006634","DBF4","1","positive","More details"
"ENSG00000008988","RPS20","1","positive","More details"
"ENSG00000010017","RANBP9","1","positive","More details"
"ENSG00000011426","ANLN","1","positive","More details"
"ENSG00000029993","HMGB3","1","positive","More details"
"ENSG00000034713","GABARAPL2","1","positive","More details"
"ENSG00000044574","HSPA5","1","positive","More details"
"ENSG00000054598","FOXC1","1","positive","More details"
"ENSG00000058729","RIOK2","1","positive","More details"
"ENSG00000063854","HAGH","1","positive","More details"
"ENSG00000065978","YBX1","1","positive","More details"
"ENSG00000072571","HMMR","1","positive","More details"
"ENSG00000073756","PTGS2","1","positive","More details"
"ENSG00000075624","ACTB","1","positive","More details"
"ENSG00000076716","GPC4","1","positive","More details"
"ENSG00000082515","MRPL22","1","positive","More details"
"ENSG00000087245","MMP2","1","positive","More details"
"ENSG00000087586","AURKA","1","positive","More details"
"ENSG00000088325","TPX2","1","positive","More details"
"ENSG00000088882","CPXM1","1","positive","More details"
"ENSG00000090013","BLVRB","1","positive","More details"
"ENSG00000091972","CD200","1","positive","More details"
"ENSG00000096006","CRISP3","1","positive","More details"
"ENSG00000100097","LGALS1","1","positive","More details"
"ENSG00000100162","CENPM","1","positive","More details"
"ENSG00000100234","TIMP3","1","positive","More details"
"ENSG00000100360","IFT27","1","positive","More details"
"ENSG00000101439","CST3","1","positive","More details"
"ENSG00000102007","PLP2","1","positive","More details"
"ENSG00000102265","TIMP1","1","positive","More details"
"ENSG00000105171","POP4","1","positive","More details"
"ENSG00000105223","PLD3","1","positive","More details"
"ENSG00000105855","ITGB8","1","positive","More details"
"ENSG00000106028","SSBP1","1","positive","More details"
"ENSG00000106636","YKT6","1","positive","More details"
"ENSG00000106733","NMRK1","1","positive","More details"
"ENSG00000108523","RNF167","1","positive","More details"
"ENSG00000108788","MLX","1","positive","More details"
"ENSG00000108821","COL1A1","1","positive","More details"
"ENSG00000109654","TRIM2","1","positive","More details"
"ENSG00000109846","CRYAB","1","positive","More details"
"ENSG00000110651","CD81","1","positive","More details"
"ENSG00000111110","PPM1H","1","positive","More details"
"ENSG00000111237","VPS29","1","positive","More details"
"ENSG00000112218","GPR63","1","positive","More details"
"ENSG00000112651","MRPL2","1","positive","More details"
"ENSG00000113140","SPARC","1","positive","More details"
"ENSG00000114648","KLHL18","1","positive","More details"
"ENSG00000115414","FN1","1","positive","More details"
"ENSG00000115806","GORASP2","1","positive","More details"
"ENSG00000116120","FARSB","1","positive","More details"
"ENSG00000116133","DHCR24","1","positive","More details"
"ENSG00000116898","MRPS15","1","positive","More details"
"ENSG00000117984","CTSD","1","positive","More details"
"ENSG00000118523","CTGF","1","positive","More details"
"ENSG00000118705","RPN2","1","positive","More details"
"ENSG00000118939","UCHL3","1","positive","More details"
"ENSG00000119421","NDUFA8","1","positive","More details"
"ENSG00000119655","NPC2","1","positive","More details"
"ENSG00000120333","MRPS14","1","positive","More details"
"ENSG00000122133","PAEP","1","positive","More details"
"ENSG00000122861","PLAU","1","positive","More details"
"ENSG00000122971","ACADS","1","positive","More details"
"ENSG00000123159","GIPC1","1","positive","More details"
"ENSG00000123472","ATPAF1","1","positive","More details"
"ENSG00000123975","CKS2","1","positive","More details"
"ENSG00000124216","SNAI1","1","positive","More details"
"ENSG00000125398","SOX9","1","positive","More details"
"ENSG00000125691","RPL23","1","positive","More details"
"ENSG00000126787","DLGAP5","1","positive","More details"
"ENSG00000127564","PKMYT1","1","positive","More details"
"ENSG00000128422","KRT17","1","positive","More details"
"ENSG00000129625","REEP5","1","positive","More details"
"ENSG00000130311","DDA1","1","positive","More details"
"ENSG00000131981","LGALS3","1","positive","More details"
"ENSG00000132432","SEC61G","1","positive","More details"
"ENSG00000132436","FIGNL1","1","positive","More details"
"ENSG00000132975","GPR12","1","positive","More details"
"ENSG00000133935","ERG28","1","positive","More details"
"ENSG00000134717","BTF3L4","1","positive","More details"
"ENSG00000134762","DSC3","1","positive","More details"
"ENSG00000134825","TMEM258","1","positive","More details"
"ENSG00000135241","PNPLA8","1","positive","More details"
"ENSG00000135363","LMO2","1","positive","More details"
"ENSG00000135480","KRT7","1","positive","More details"
"ENSG00000135778","NTPCR","1","positive","More details"
"ENSG00000137714","FDX1","1","positive","More details"
"ENSG00000137745","MMP13","1","positive","More details"
"ENSG00000138061","CYP1B1","1","positive","More details"
"ENSG00000138326","RPS24","1","positive","More details"
"ENSG00000139410","SDSL","1","positive","More details"
"ENSG00000140264","SERF2","1","positive","More details"
"ENSG00000141385","AFG3L2","1","positive","More details"
"ENSG00000141753","IGFBP4","1","positive","More details"
"ENSG00000142937","RPS8","1","positive","More details"
"ENSG00000142945","KIF2C","1","positive","More details"
"ENSG00000143158","MPC2","1","positive","More details"
"ENSG00000143537","ADAM15","1","positive","More details"
"ENSG00000145386","CCNA2","1","positive","More details"
"ENSG00000145491","ROPN1L","1","positive","More details"
"ENSG00000145592","RPL37","1","positive","More details"
"ENSG00000146674","IGFBP3","1","positive","More details"
"ENSG00000147419","CCDC25","1","positive","More details"
"ENSG00000147592","LACTB2","1","positive","More details"
"ENSG00000148335","NTMT1","1","positive","More details"
"ENSG00000149256","TENM4","1","positive","More details"
"ENSG00000149591","TAGLN","1","positive","More details"
"ENSG00000151500","THYN1","1","positive","More details"
"ENSG00000152078","TMEM56","1","positive","More details"
"ENSG00000152503","TRIM36","1","positive","More details"
"ENSG00000153140","CETN3","1","positive","More details"
"ENSG00000156113","KCNMA1","1","positive","More details"
"ENSG00000156467","UQCRB","1","positive","More details"
"ENSG00000158042","MRPL17","1","positive","More details"
"ENSG00000159199","ATP5MC1","1","positive","More details"
"ENSG00000159403","C1R","1","positive","More details"
"ENSG00000160213","CSTB","1","positive","More details"
"ENSG00000161677","JOSD2","1","positive","More details"
"ENSG00000163281","GNPDA2","1","positive","More details"
"ENSG00000163312","HELQ","1","positive","More details"
"ENSG00000163399","ATP1A1","1","positive","More details"
"ENSG00000163472","TMEM79","1","positive","More details"
"ENSG00000163923","RPL39L","1","positive","More details"
"ENSG00000164096","C4orf3","1","positive","More details"
"ENSG00000164587","RPS14","1","positive","More details"
"ENSG00000165125","TRPV6","1","positive","More details"
"ENSG00000165264","NDUFB6","1","positive","More details"
"ENSG00000165474","GJB2","1","positive","More details"
"ENSG00000166033","HTRA1","1","positive","More details"
"ENSG00000166148","AVPR1A","1","positive","More details"
"ENSG00000166441","RPL27A","1","positive","More details"
"ENSG00000166510","CCDC68","1","positive","More details"
"ENSG00000166598","HSP90B1","1","positive","More details"
"ENSG00000166741","NNMT","1","positive","More details"
"ENSG00000166794","PPIB","1","positive","More details"
"ENSG00000166920","C15orf48","1","positive","More details"
