"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000102144","PGK1","3","positive","More details"
"ENSG00000111640","GAPDH","3","positive","More details"
"ENSG00000111669","TPI1","3","positive","More details"
"ENSG00000067225","PKM","2","positive","More details"
"ENSG00000075624","ACTB","2","positive","More details"
"ENSG00000086598","TMED2","2","positive","More details"
"ENSG00000087086","FTL","2","positive","More details"
"ENSG00000104419","NDRG1","2","positive","More details"
"ENSG00000105220","GPI","2","positive","More details"
"ENSG00000111674","ENO2","2","positive","More details"
"ENSG00000112378","PERP","2","positive","More details"
"ENSG00000115756","HPCAL1","2","positive","More details"
"ENSG00000116209","TMEM59","2","positive","More details"
"ENSG00000122884","P4HA1","2","positive","More details"
"ENSG00000134333","LDHA","2","positive","More details"
"ENSG00000148926","ADM","2","positive","More details"
"ENSG00000156508","EEF1A1","2","positive","More details"
"ENSG00000158710","TAGLN2","2","positive","More details"
"ENSG00000160789","LMNA","2","positive","More details"
"ENSG00000162433","AK4","2","positive","More details"
"ENSG00000164096","C4orf3","2","positive","More details"
"ENSG00000167996","FTH1","2","positive","More details"
"ENSG00000171345","KRT19","2","positive","More details"
"ENSG00000173812","EIF1","2","positive","More details"
"ENSG00000182718","ANXA2","2","positive","More details"
"ENSG00000185624","P4HB","2","positive","More details"
"ENSG00000187193","MT1X","2","positive","More details"
"ENSG00000197747","S100A10","2","positive","More details"
"ENSG00000213719","CLIC1","2","positive","More details"
"ENSG00000012817","KDM5D","2","negative","More details"
"ENSG00000081760","AACS","2","negative","More details"
"ENSG00000115423","DNAH6","2","negative","More details"
"ENSG00000134339","SAA2","2","negative","More details"
"ENSG00000160326","SLC2A6","2","negative","More details"
"ENSG00000163864","NMNAT3","2","negative","More details"
"ENSG00000164303","ENPP6","2","negative","More details"
"ENSG00000172232","AZU1","2","negative","More details"
"ENSG00000174990","CA5A","2","negative","More details"
"ENSG00000180616","SSTR2","2","negative","More details"
"ENSG00000186862","PDZD7","2","negative","More details"
"ENSG00000196312","MFSD14C","2","negative","More details"
"ENSG00000227268","KLLN","2","negative","More details"
"ENSG00000242715","CCDC169","2","negative","More details"
"ENSG00000002586","CD99","1","positive","More details"
"ENSG00000002822","MAD1L1","1","positive","More details"
"ENSG00000003147","ICA1","1","positive","More details"
"ENSG00000003249","DBNDD1","1","positive","More details"
"ENSG00000003436","TFPI","1","positive","More details"
"ENSG00000004777","ARHGAP33","1","positive","More details"
"ENSG00000005022","SLC25A5","1","positive","More details"
"ENSG00000005469","CROT","1","positive","More details"
"ENSG00000005893","LAMP2","1","positive","More details"
"ENSG00000007080","CCDC124","1","positive","More details"
"ENSG00000009307","CSDE1","1","positive","More details"
"ENSG00000010278","CD9","1","positive","More details"
"ENSG00000010404","IDS","1","positive","More details"
"ENSG00000011258","MBTD1","1","positive","More details"
"ENSG00000013588","GPRC5A","1","positive","More details"
"ENSG00000016402","IL20RA","1","positive","More details"
"ENSG00000025434","NR1H3","1","positive","More details"
"ENSG00000026025","VIM","1","positive","More details"
"ENSG00000029993","HMGB3","1","positive","More details"
"ENSG00000040731","CDH10","1","positive","More details"
