"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000079462","PAFAH1B3","3","negative","More details"
"ENSG00000005249","PRKAR2B","2","positive","More details"
"ENSG00000111644","ACRBP","2","positive","More details"
"ENSG00000119801","YPEL5","2","positive","More details"
"ENSG00000125266","EFNB2","2","positive","More details"
"ENSG00000127920","GNG11","2","positive","More details"
"ENSG00000132471","WBP2","2","positive","More details"
"ENSG00000137801","THBS1","2","positive","More details"
"ENSG00000156265","MAP3K7CL","2","positive","More details"
"ENSG00000162366","PDZK1IP1","2","positive","More details"
"ENSG00000166710","B2M","2","positive","More details"
"ENSG00000171532","NEUROD2","2","positive","More details"
"ENSG00000181467","RAP2B","2","positive","More details"
"ENSG00000204592","HLA-E","2","positive","More details"
"ENSG00000205542","TMSB4X","2","positive","More details"
"ENSG00000213719","CLIC1","2","positive","More details"
"ENSG00000240065","PSMB9","2","positive","More details"
"ENSG00000076554","TPD52","2","negative","More details"
"ENSG00000090615","GOLGA3","2","negative","More details"
"ENSG00000100219","XBP1","2","negative","More details"
"ENSG00000108963","DPH1","2","negative","More details"
"ENSG00000109475","RPL34","2","negative","More details"
"ENSG00000111775","COX6A1","2","negative","More details"
"ENSG00000117118","SDHB","2","negative","More details"
"ENSG00000118181","RPS25","2","negative","More details"
"ENSG00000124155","PIGT","2","negative","More details"
"ENSG00000124614","RPS10","2","negative","More details"
"ENSG00000127616","SMARCA4","2","negative","More details"
"ENSG00000132464","ENAM","2","negative","More details"
"ENSG00000132676","DAP3","2","negative","More details"
"ENSG00000134375","TIMM17A","2","negative","More details"
"ENSG00000136942","RPL35","2","negative","More details"
"ENSG00000137124","ALDH1B1","2","negative","More details"
"ENSG00000142230","SAE1","2","negative","More details"
"ENSG00000149179","C11orf49","2","negative","More details"
"ENSG00000155368","DBI","2","negative","More details"
"ENSG00000162244","RPL29","2","negative","More details"
"ENSG00000163682","RPL9","2","negative","More details"
"ENSG00000164756","SLC30A8","2","negative","More details"
"ENSG00000164796","CSMD3","2","negative","More details"
"ENSG00000167658","EEF2","2","negative","More details"
"ENSG00000168924","LETM1","2","negative","More details"
"ENSG00000169021","UQCRFS1","2","negative","More details"
"ENSG00000170421","KRT8","2","negative","More details"
"ENSG00000177600","RPLP2","2","negative","More details"
"ENSG00000178982","EIF3K","2","negative","More details"
"ENSG00000179091","CYC1","2","negative","More details"
"ENSG00000181458","TMEM45A","2","negative","More details"
"ENSG00000181481","RNF135","2","negative","More details"
"ENSG00000196712","NF1","2","negative","More details"
"ENSG00000213965","NUDT19","2","negative","More details"
"ENSG00000227268","KLLN","2","negative","More details"
"ENSG00000002586","CD99","1","positive","More details"
"ENSG00000008517","IL32","1","positive","More details"
"ENSG00000019582","CD74","1","positive","More details"
"ENSG00000021355","SERPINB1","1","positive","More details"
"ENSG00000023697","DERA","1","positive","More details"
"ENSG00000025434","NR1H3","1","positive","More details"
"ENSG00000028839","TBPL1","1","positive","More details"
"ENSG00000034152","MAP2K3","1","positive","More details"
"ENSG00000034713","GABARAPL2","1","positive","More details"
"ENSG00000050393","MCUR1","1","positive","More details"
"ENSG00000059758","CDK17","1","positive","More details"
"ENSG00000060138","YBX3","1","positive","More details"
"ENSG00000064601","CTSA","1","positive","More details"
"ENSG00000064652","SNX24","1","positive","More details"
"ENSG00000064655","EYA2","1","positive","More details"
"ENSG00000065534","MYLK","1","positive","More details"
"ENSG00000067082","KLF6","1","positive","More details"
"ENSG00000067225","PKM","1","positive","More details"
"ENSG00000070190","DAPP1","1","positive","More details"
"ENSG00000071051","NCK2","1","positive","More details"
"ENSG00000071282","LMCD1","1","positive","More details"
"ENSG00000072110","ACTN1","1","positive","More details"
"ENSG00000072135","PTPN18","1","positive","More details"
"ENSG00000074416","MGLL","1","positive","More details"
"ENSG00000075624","ACTB","1","positive","More details"
"ENSG00000077549","CAPZB","1","positive","More details"
"ENSG00000080824","HSP90AA1","1","positive","More details"
"ENSG00000081189","MEF2C","1","positive","More details"
"ENSG00000082074","FYB1","1","positive","More details"
"ENSG00000084207","GSTP1","1","positive","More details"
"ENSG00000084733","RAB10","1","positive","More details"
"ENSG00000086189","DIMT1","1","positive","More details"
"ENSG00000086548","CEACAM6","1","positive","More details"
"ENSG00000087074","PPP1R15A","1","positive","More details"
"ENSG00000087086","FTL","1","positive","More details"
"ENSG00000087460","GNAS","1","positive","More details"
"ENSG00000088053","GP6","1","positive","More details"
"ENSG00000088726","TMEM40","1","positive","More details"
"ENSG00000088766","CRLS1","1","positive","More details"
"ENSG00000088826","SMOX","1","positive","More details"
"ENSG00000088986","DYNLL1","1","positive","More details"
"ENSG00000089327","FXYD5","1","positive","More details"
