"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000147604","RPL7","4","positive","More details"
"ENSG00000167526","RPL13","3","positive","More details"
"ENSG00000000003","TSPAN6","2","positive","More details"
"ENSG00000005022","SLC25A5","2","positive","More details"
"ENSG00000008988","RPS20","2","positive","More details"
"ENSG00000029993","HMGB3","2","positive","More details"
"ENSG00000065978","YBX1","2","positive","More details"
"ENSG00000083845","RPS5","2","positive","More details"
"ENSG00000085719","CPNE3","2","positive","More details"
"ENSG00000092841","MYL6","2","positive","More details"
"ENSG00000104529","EEF1D","2","positive","More details"
"ENSG00000105372","RPS19","2","positive","More details"
"ENSG00000106028","SSBP1","2","positive","More details"
"ENSG00000106211","HSPB1","2","positive","More details"
"ENSG00000108107","RPL28","2","positive","More details"
"ENSG00000108639","SYNGR2","2","positive","More details"
"ENSG00000110958","PTGES3","2","positive","More details"
"ENSG00000111640","GAPDH","2","positive","More details"
"ENSG00000116161","CACYBP","2","positive","More details"
"ENSG00000116459","ATP5PB","2","positive","More details"
"ENSG00000119655","NPC2","2","positive","More details"
"ENSG00000120708","TGFBI","2","positive","More details"
"ENSG00000122378","FAM213A","2","positive","More details"
"ENSG00000125743","SNRPD2","2","positive","More details"
"ENSG00000131143","COX4I1","2","positive","More details"
"ENSG00000136240","KDELR2","2","positive","More details"
"ENSG00000143771","CNIH4","2","positive","More details"
"ENSG00000143947","RPS27A","2","positive","More details"
"ENSG00000145425","RPS3A","2","positive","More details"
"ENSG00000147403","RPL10","2","positive","More details"
"ENSG00000149273","RPS3","2","positive","More details"
"ENSG00000149806","FAU","2","positive","More details"
"ENSG00000151366","NDUFC2","2","positive","More details"
"ENSG00000154518","ATP5MC3","2","positive","More details"
"ENSG00000159199","ATP5MC1","2","positive","More details"
"ENSG00000159352","PSMD4","2","positive","More details"
"ENSG00000161016","RPL8","2","positive","More details"
"ENSG00000163435","ELF3","2","positive","More details"
"ENSG00000163468","CCT3","2","positive","More details"
"ENSG00000164032","H2AFZ","2","positive","More details"
"ENSG00000164934","DCAF13","2","positive","More details"
"ENSG00000166441","RPL27A","2","positive","More details"
"ENSG00000166598","HSP90B1","2","positive","More details"
"ENSG00000167996","FTH1","2","positive","More details"
"ENSG00000168028","RPSA","2","positive","More details"
"ENSG00000169567","HINT1","2","positive","More details"
"ENSG00000171345","KRT19","2","positive","More details"
"ENSG00000171858","RPS21","2","positive","More details"
"ENSG00000172115","CYCS","2","positive","More details"
"ENSG00000172809","RPL38","2","positive","More details"
"ENSG00000180817","PPA1","2","positive","More details"
"ENSG00000180879","SSR4","2","positive","More details"
"ENSG00000182718","ANXA2","2","positive","More details"
"ENSG00000189159","JPT1","2","positive","More details"
"ENSG00000196230","TUBB","2","positive","More details"
"ENSG00000196262","PPIA","2","positive","More details"
"ENSG00000198755","RPL10A","2","positive","More details"
"ENSG00000198918","RPL39","2","positive","More details"
"ENSG00000214530","STARD10","2","positive","More details"
"ENSG00000231500","RPS18","2","positive","More details"
"ENSG00000243678","NME2","2","positive","More details"
"ENSG00000006747","SCIN","2","negative","More details"
"ENSG00000066056","TIE1","2","negative","More details"
"ENSG00000069869","NEDD4","2","negative","More details"
"ENSG00000073605","GSDMB","2","negative","More details"
"ENSG00000094661","OR1I1","2","negative","More details"
"ENSG00000109339","MAPK10","2","negative","More details"
"ENSG00000115423","DNAH6","2","negative","More details"
"ENSG00000119535","CSF3R","2","negative","More details"
"ENSG00000133114","GPALPP1","2","negative","More details"
"ENSG00000140297","GCNT3","2","negative","More details"
"ENSG00000148734","NPFFR1","2","negative","More details"
"ENSG00000160991","ORAI2","2","negative","More details"
"ENSG00000161652","IZUMO2","2","negative","More details"
"ENSG00000165810","BTNL9","2","negative","More details"
"ENSG00000167914","GSDMA","2","negative","More details"
"ENSG00000174990","CA5A","2","negative","More details"
"ENSG00000180758","GPR157","2","negative","More details"
"ENSG00000181458","TMEM45A","2","negative","More details"
"ENSG00000184206","GOLGA6L4","2","negative","More details"
"ENSG00000197380","DACT3","2","negative","More details"
"ENSG00000270885","RASL10B","2","negative","More details"
"ENSG00000001497","LAS1L","1","positive","More details"
"ENSG00000002586","CD99","1","positive","More details"
"ENSG00000003147","ICA1","1","positive","More details"
"ENSG00000003249","DBNDD1","1","positive","More details"
"ENSG00000005189","REXO5","1","positive","More details"
"ENSG00000006015","REX1BD","1","positive","More details"
"ENSG00000006625","GGCT","1","positive","More details"
"ENSG00000006634","DBF4","1","positive","More details"
"ENSG00000007080","CCDC124","1","positive","More details"
"ENSG00000008394","MGST1","1","positive","More details"
"ENSG00000011052","NME1-NME2","1","positive","More details"
"ENSG00000014641","MDH1","1","positive","More details"
"ENSG00000037241","RPL26L1","1","positive","More details"
"ENSG00000041357","PSMA4","1","positive","More details"
"ENSG00000042445","RETSAT","1","positive","More details"
"ENSG00000050165","DKK3","1","positive","More details"
"ENSG00000050393","MCUR1","1","positive","More details"
"ENSG00000051620","HEBP2","1","positive","More details"
"ENSG00000054116","TRAPPC3","1","positive","More details"
"ENSG00000054598","FOXC1","1","positive","More details"
"ENSG00000055332","EIF2AK2","1","positive","More details"
"ENSG00000058729","RIOK2","1","positive","More details"
"ENSG00000059691","GATB","1","positive","More details"
"ENSG00000062582","MRPS24","1","positive","More details"
"ENSG00000062822","POLD1","1","positive","More details"
"ENSG00000063177","RPL18","1","positive","More details"
"ENSG00000063854","HAGH","1","positive","More details"
"ENSG00000065518","NDUFB4","1","positive","More details"
"ENSG00000065911","MTHFD2","1","positive","More details"
"ENSG00000066583","ISOC1","1","positive","More details"
"ENSG00000067829","IDH3G","1","positive","More details"
"ENSG00000069329","VPS35","1","positive","More details"
"ENSG00000070010","UFD1","1","positive","More details"
"ENSG00000070756","PABPC1","1","positive","More details"
"ENSG00000071082","RPL31","1","positive","More details"
"ENSG00000071462","BUD23","1","positive","More details"
"ENSG00000071553","ATP6AP1","1","positive","More details"
"ENSG00000073008","PVR","1","positive","More details"
"ENSG00000073350","LLGL2","1","positive","More details"
"ENSG00000073578","SDHA","1","positive","More details"
"ENSG00000073584","SMARCE1","1","positive","More details"
"ENSG00000073756","PTGS2","1","positive","More details"
"ENSG00000074071","MRPS34","1","positive","More details"
"ENSG00000075415","SLC25A3","1","positive","More details"
"ENSG00000075624","ACTB","1","positive","More details"
"ENSG00000078018","MAP2","1","positive","More details"
"ENSG00000078098","FAP","1","positive","More details"
"ENSG00000079459","FDFT1","1","positive","More details"
"ENSG00000079785","DDX1","1","positive","More details"
"ENSG00000080824","HSP90AA1","1","positive","More details"
"ENSG00000081307","UBA5","1","positive","More details"
"ENSG00000081870","HSPB11","1","positive","More details"
"ENSG00000082515","MRPL22","1","positive","More details"
"ENSG00000084072","PPIE","1","positive","More details"
"ENSG00000084234","APLP2","1","positive","More details"
"ENSG00000085063","CD59","1","positive","More details"
"ENSG00000085871","MGST2","1","positive","More details"
"ENSG00000086598","TMED2","1","positive","More details"
"ENSG00000087086","FTL","1","positive","More details"
"ENSG00000087302","RTRAF","1","positive","More details"
"ENSG00000087502","ERGIC2","1","positive","More details"
"ENSG00000088325","TPX2","1","positive","More details"
"ENSG00000088766","CRLS1","1","positive","More details"
"ENSG00000088986","DYNLL1","1","positive","More details"
"ENSG00000089009","RPL6","1","positive","More details"
"ENSG00000089157","RPLP0","1","positive","More details"
"ENSG00000089163","SIRT4","1","positive","More details"
"ENSG00000089356","FXYD3","1","positive","More details"
"ENSG00000089737","DDX24","1","positive","More details"
"ENSG00000090013","BLVRB","1","positive","More details"
"ENSG00000090266","NDUFB2","1","positive","More details"
"ENSG00000090273","NUDC","1","positive","More details"
"ENSG00000090520","DNAJB11","1","positive","More details"
"ENSG00000092036","HAUS4","1","positive","More details"
"ENSG00000093010","COMT","1","positive","More details"
"ENSG00000095059","DHPS","1","positive","More details"
"ENSG00000095139","ARCN1","1","positive","More details"
"ENSG00000095383","TBC1D2","1","positive","More details"
"ENSG00000096006","CRISP3","1","positive","More details"
