"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000088325","TPX2","3","positive","More details"
"ENSG00000126787","DLGAP5","3","positive","More details"
"ENSG00000138180","CEP55","3","positive","More details"
"ENSG00000148773","MKI67","3","positive","More details"
"ENSG00000170312","CDK1","3","positive","More details"
"ENSG00000183856","IQGAP3","3","positive","More details"
"ENSG00000189403","HMGB1","3","positive","More details"
"ENSG00000011426","ANLN","2","positive","More details"
"ENSG00000024526","DEPDC1","2","positive","More details"
"ENSG00000029993","HMGB3","2","positive","More details"
"ENSG00000066279","ASPM","2","positive","More details"
"ENSG00000076382","SPAG5","2","positive","More details"
"ENSG00000089685","BIRC5","2","positive","More details"
"ENSG00000090889","KIF4A","2","positive","More details"
"ENSG00000100162","CENPM","2","positive","More details"
"ENSG00000100526","CDKN3","2","positive","More details"
"ENSG00000105011","ASF1B","2","positive","More details"
"ENSG00000109674","NEIL3","2","positive","More details"
"ENSG00000109805","NCAPG","2","positive","More details"
"ENSG00000111247","RAD51AP1","2","positive","More details"
"ENSG00000112312","GMNN","2","positive","More details"
"ENSG00000112742","TTK","2","positive","More details"
"ENSG00000112984","KIF20A","2","positive","More details"
"ENSG00000119333","WDR34","2","positive","More details"
"ENSG00000120802","TMPO","2","positive","More details"
"ENSG00000122952","ZWINT","2","positive","More details"
"ENSG00000123975","CKS2","2","positive","More details"
"ENSG00000129810","SGO1","2","positive","More details"
"ENSG00000134057","CCNB1","2","positive","More details"
"ENSG00000134690","CDCA8","2","positive","More details"
"ENSG00000137563","GGH","2","positive","More details"
"ENSG00000137804","NUSAP1","2","positive","More details"
"ENSG00000142945","KIF2C","2","positive","More details"
"ENSG00000145386","CCNA2","2","positive","More details"
"ENSG00000146670","CDCA5","2","positive","More details"
"ENSG00000146918","NCAPG2","2","positive","More details"
"ENSG00000156970","BUB1B","2","positive","More details"
"ENSG00000157456","CCNB2","2","positive","More details"
"ENSG00000163923","RPL39L","2","positive","More details"
"ENSG00000164104","HMGB2","2","positive","More details"
"ENSG00000164611","PTTG1","2","positive","More details"
"ENSG00000165304","MELK","2","positive","More details"
"ENSG00000166451","CENPN","2","positive","More details"
"ENSG00000166851","PLK1","2","positive","More details"
"ENSG00000167900","TK1","2","positive","More details"
"ENSG00000169607","CKAP2L","2","positive","More details"
"ENSG00000169679","BUB1","2","positive","More details"
"ENSG00000170779","CDCA4","2","positive","More details"
"ENSG00000173207","CKS1B","2","positive","More details"
"ENSG00000175063","UBE2C","2","positive","More details"
"ENSG00000176890","TYMS","2","positive","More details"
"ENSG00000198826","ARHGAP11A","2","positive","More details"
"ENSG00000198901","PRC1","2","positive","More details"
"ENSG00000203760","CENPW","2","positive","More details"
"ENSG00000015568","RGPD5","2","negative","More details"
"ENSG00000103152","MPG","2","negative","More details"
"ENSG00000174990","CA5A","2","negative","More details"
"ENSG00000002933","TMEM176A","1","positive","More details"
"ENSG00000005302","MSL3","1","positive","More details"
"ENSG00000007520","TSR3","1","positive","More details"
"ENSG00000009724","MASP2","1","positive","More details"
"ENSG00000010292","NCAPD2","1","positive","More details"
"ENSG00000011485","PPP5C","1","positive","More details"
"ENSG00000013810","TACC3","1","positive","More details"
"ENSG00000014641","MDH1","1","positive","More details"
"ENSG00000025770","NCAPH2","1","positive","More details"
"ENSG00000031691","CENPQ","1","positive","More details"
"ENSG00000035499","DEPDC1B","1","positive","More details"
"ENSG00000037241","RPL26L1","1","positive","More details"
"ENSG00000040275","SPDL1","1","positive","More details"
"ENSG00000051620","HEBP2","1","positive","More details"
"ENSG00000063854","HAGH","1","positive","More details"
"ENSG00000065665","SEC61A2","1","positive","More details"
"ENSG00000065978","YBX1","1","positive","More details"
"ENSG00000066336","SPI1","1","positive","More details"
"ENSG00000067646","ZFY","1","positive","More details"
"ENSG00000068489","PRR11","1","positive","More details"
"ENSG00000069849","ATP1B3","1","positive","More details"
"ENSG00000070081","NUCB2","1","positive","More details"
"ENSG00000071539","TRIP13","1","positive","More details"
"ENSG00000073578","SDHA","1","positive","More details"
"ENSG00000075218","GTSE1","1","positive","More details"
"ENSG00000075624","ACTB","1","positive","More details"
"ENSG00000075702","WDR62","1","positive","More details"
"ENSG00000077152","UBE2T","1","positive","More details"
"ENSG00000077312","SNRPA","1","positive","More details"
"ENSG00000079616","KIF22","1","positive","More details"
"ENSG00000080986","NDC80","1","positive","More details"
"ENSG00000082126","MPP4","1","positive","More details"
"ENSG00000082515","MRPL22","1","positive","More details"
"ENSG00000084207","GSTP1","1","positive","More details"
"ENSG00000085117","CD82","1","positive","More details"
"ENSG00000085840","ORC1","1","positive","More details"
"ENSG00000087586","AURKA","1","positive","More details"
"ENSG00000090013","BLVRB","1","positive","More details"
"ENSG00000092841","MYL6","1","positive","More details"
"ENSG00000093009","CDC45","1","positive","More details"
"ENSG00000094804","CDC6","1","positive","More details"
"ENSG00000100297","MCM5","1","positive","More details"
"ENSG00000100365","NCF4","1","positive","More details"
"ENSG00000100601","ALKBH1","1","positive","More details"
"ENSG00000100749","VRK1","1","positive","More details"
"ENSG00000101003","GINS1","1","positive","More details"
"ENSG00000101160","CTSZ","1","positive","More details"
"ENSG00000101447","FAM83D","1","positive","More details"
"ENSG00000102007","PLP2","1","positive","More details"
"ENSG00000102384","CENPI","1","positive","More details"
"ENSG00000102575","ACP5","1","positive","More details"
"ENSG00000104147","OIP5","1","positive","More details"
"ENSG00000104889","RNASEH2A","1","positive","More details"
"ENSG00000105894","PTN","1","positive","More details"
"ENSG00000105968","H2AFV","1","positive","More details"
"ENSG00000106268","NUDT1","1","positive","More details"
"ENSG00000106366","SERPINE1","1","positive","More details"
"ENSG00000106399","RPA3","1","positive","More details"
"ENSG00000106462","EZH2","1","positive","More details"
"ENSG00000106615","RHEB","1","positive","More details"
"ENSG00000109084","TMEM97","1","positive","More details"
"ENSG00000109685","NSD2","1","positive","More details"
"ENSG00000109881","CCDC34","1","positive","More details"
