"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000007062","PROM1","2","positive","More details"
"ENSG00000092820","EZR","2","positive","More details"
"ENSG00000115884","SDC1","2","positive","More details"
"ENSG00000130522","JUND","2","positive","More details"
"ENSG00000243678","NME2","2","negative","More details"
"ENSG00000000003","TSPAN6","1","positive","More details"
"ENSG00000002586","CD99","1","positive","More details"
"ENSG00000005302","MSL3","1","positive","More details"
"ENSG00000005981","ASB4","1","positive","More details"
"ENSG00000006125","AP2B1","1","positive","More details"
"ENSG00000006451","RALA","1","positive","More details"
"ENSG00000007384","RHBDF1","1","positive","More details"
"ENSG00000010318","PHF7","1","positive","More details"
"ENSG00000018189","RUFY3","1","positive","More details"
"ENSG00000023041","ZDHHC6","1","positive","More details"
"ENSG00000029993","HMGB3","1","positive","More details"
"ENSG00000033011","ALG1","1","positive","More details"
"ENSG00000034510","TMSB10","1","positive","More details"
"ENSG00000035862","TIMP2","1","positive","More details"
"ENSG00000042304","C2orf83","1","positive","More details"
"ENSG00000043039","BARX2","1","positive","More details"
"ENSG00000046604","DSG2","1","positive","More details"
"ENSG00000047597","XK","1","positive","More details"
"ENSG00000049618","ARID1B","1","positive","More details"
"ENSG00000051620","HEBP2","1","positive","More details"
"ENSG00000054267","ARID4B","1","positive","More details"
"ENSG00000054598","FOXC1","1","positive","More details"
"ENSG00000058091","CDK14","1","positive","More details"
"ENSG00000061656","SPAG4","1","positive","More details"
"ENSG00000063180","CA11","1","positive","More details"
"ENSG00000064042","LIMCH1","1","positive","More details"
"ENSG00000064419","TNPO3","1","positive","More details"
"ENSG00000064601","CTSA","1","positive","More details"
"ENSG00000064651","SLC12A2","1","positive","More details"
"ENSG00000065809","FAM107B","1","positive","More details"
"ENSG00000065978","YBX1","1","positive","More details"
"ENSG00000068438","FTSJ1","1","positive","More details"
"ENSG00000068697","LAPTM4A","1","positive","More details"
"ENSG00000068745","IP6K2","1","positive","More details"
"ENSG00000069535","MAOB","1","positive","More details"
"ENSG00000072401","UBE2D1","1","positive","More details"
"ENSG00000077684","JADE1","1","positive","More details"
"ENSG00000078487","ZCWPW1","1","positive","More details"
"ENSG00000079150","FKBP7","1","positive","More details"
"ENSG00000079246","XRCC5","1","positive","More details"
"ENSG00000080503","SMARCA2","1","positive","More details"
"ENSG00000083535","PIBF1","1","positive","More details"
"ENSG00000084234","APLP2","1","positive","More details"
"ENSG00000086061","DNAJA1","1","positive","More details"
"ENSG00000086062","B4GALT1","1","positive","More details"
"ENSG00000086589","RBM22","1","positive","More details"
"ENSG00000087086","FTL","1","positive","More details"
"ENSG00000087586","AURKA","1","positive","More details"
