"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000197747","S100A10","3","positive","More details"
"ENSG00000067225","PKM","2","positive","More details"
"ENSG00000087086","FTL","2","positive","More details"
"ENSG00000090382","LYZ","2","positive","More details"
"ENSG00000101608","MYL12A","2","positive","More details"
"ENSG00000111640","GAPDH","2","positive","More details"
"ENSG00000112378","PERP","2","positive","More details"
"ENSG00000120708","TGFBI","2","positive","More details"
"ENSG00000122861","PLAU","2","positive","More details"
"ENSG00000131981","LGALS3","2","positive","More details"
"ENSG00000134531","EMP1","2","positive","More details"
"ENSG00000135046","ANXA1","2","positive","More details"
"ENSG00000136810","TXN","2","positive","More details"
"ENSG00000139289","PHLDA1","2","positive","More details"
"ENSG00000142669","SH3BGRL3","2","positive","More details"
"ENSG00000151729","SLC25A4","2","positive","More details"
"ENSG00000158710","TAGLN2","2","positive","More details"
"ENSG00000162366","PDZK1IP1","2","positive","More details"
"ENSG00000164096","C4orf3","2","positive","More details"
"ENSG00000164111","ANXA5","2","positive","More details"
"ENSG00000167996","FTH1","2","positive","More details"
"ENSG00000169908","TM4SF1","2","positive","More details"
"ENSG00000171345","KRT19","2","positive","More details"
"ENSG00000182718","ANXA2","2","positive","More details"
"ENSG00000184009","ACTG1","2","positive","More details"
"ENSG00000204388","HSPA1B","2","positive","More details"
"ENSG00000205426","KRT81","2","positive","More details"
"ENSG00000213719","CLIC1","2","positive","More details"
"ENSG00000272398","CD24","2","positive","More details"
"ENSG00000004534","RBM6","2","negative","More details"
"ENSG00000015568","RGPD5","2","negative","More details"
"ENSG00000049249","TNFRSF9","2","negative","More details"
"ENSG00000071909","MYO3B","2","negative","More details"
"ENSG00000132464","ENAM","2","negative","More details"
"ENSG00000134339","SAA2","2","negative","More details"
"ENSG00000149179","C11orf49","2","negative","More details"
"ENSG00000151131","C12orf45","2","negative","More details"
"ENSG00000155034","FBXL18","2","negative","More details"
"ENSG00000156968","MPV17L","2","negative","More details"
"ENSG00000163362","INAVA","2","negative","More details"
"ENSG00000164796","CSMD3","2","negative","More details"
"ENSG00000180616","SSTR2","2","negative","More details"
"ENSG00000205085","FAM71F2","2","negative","More details"
"ENSG00000242715","CCDC169","2","negative","More details"
"ENSG00000000003","TSPAN6","1","positive","More details"
"ENSG00000002586","CD99","1","positive","More details"
"ENSG00000003147","ICA1","1","positive","More details"
"ENSG00000004777","ARHGAP33","1","positive","More details"
"ENSG00000005238","FAM214B","1","positive","More details"
"ENSG00000005884","ITGA3","1","positive","More details"
"ENSG00000005893","LAMP2","1","positive","More details"
"ENSG00000006327","TNFRSF12A","1","positive","More details"
"ENSG00000007080","CCDC124","1","positive","More details"
"ENSG00000009307","CSDE1","1","positive","More details"
"ENSG00000010404","IDS","1","positive","More details"
"ENSG00000010438","PRSS3","1","positive","More details"
"ENSG00000011422","PLAUR","1","positive","More details"
"ENSG00000013588","GPRC5A","1","positive","More details"
"ENSG00000022277","RTF2","1","positive","More details"
"ENSG00000026025","VIM","1","positive","More details"
"ENSG00000029993","HMGB3","1","positive","More details"
"ENSG00000034713","GABARAPL2","1","positive","More details"
"ENSG00000035862","TIMP2","1","positive","More details"
"ENSG00000044574","HSPA5","1","positive","More details"
"ENSG00000046604","DSG2","1","positive","More details"
"ENSG00000049323","LTBP1","1","positive","More details"
"ENSG00000050393","MCUR1","1","positive","More details"
"ENSG00000051620","HEBP2","1","positive","More details"
"ENSG00000054356","PTPRN","1","positive","More details"
