,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
MRPS15,7.18524126945209,0.90705921075679,7.23823456671994,7.15158320425942,6.18361696253436,6.39379326525253,5.408338851485,7.68747562969703,7.48497320278845
CITED4,0,0,6.37541326861985,5.03761508897867,5.86664239501414,3.96129795912948,0,3.58034341110739,8.01361512796394
YBX1,4.67913798597168,2.17020601574214,6.89899820428392,5.12797663188687,3.93897398056954,5.10960792425769,5.06167557102188,4.97892776454238,5.36216353090455
KIF2C,4.99874588290801,0,0,0,5.71738392977127,0,0,6.1433264206017,0
RPS8,8.32306311652956,3.00031613723891,10.4680710061371,8.60552646229393,7.80546197060512,8.86866075735204,8.42800545191803,8.46810035406173,9.23359609671392
ATPAF1,2.7135004883149,5.56640770689325,7.61970563129079,6.21420627890992,4.10843716652605,0,0,5.04884423429105,0
BTF3L4,5.26023141449349,2.42655883810241,7.95557009163928,6.4426501703324,6.56484233684997,5.92513532960147,5.11659670062274,6.75845624307085,5.69761230526735
DHCR24,9.34391359810182,0,8.8899032901194,10.1641914868029,10.3537677492609,10.018740151324,9.97158935960298,9.84459422823126,10.3625163930291
TMEM56,1.37201470237603,4.20979513258106,6.31299732333055,6.90555698161194,6.8778688502775,3.48588283494556,0,3.98882215151491,3.29415048675952
ATP1A1,9.17778736028382,7.92220074143494,9.19111958077847,9.18662807274105,9.66960019402433,9.24645997593988,9.3158067739585,8.88848910769228,8.84568610899353
S100A10,8.85301720559021,0,3.20197113167941,6.10719912990423,10.7850352697357,5.22655541074288,9.81019808973861,9.06336409212239,6.68364563652076
S100A6,8.80515464805834,2.17020601574214,8.52718397858576,8.35731047369215,7.31025338909534,4.51505197721073,10.5348061331989,8.77445661365029,10.0066793847614
S100A2,0,0,0,0,0,0,0,0.834285950287708,3.67194278334819
ADAM15,9.31182303721545,0,9.11084237778967,9.55156617172148,10.1564552781268,8.66613993914107,7.94208273892236,9.15933729665208,9.1440824295773
MEX3A,0,0,2.50765345445563,0,0,0,0,0,0
TMEM79,6.43911037531888,0,5.50861761753484,5.03761508897867,0,0,4.04883618003845,0,0
MPC2,6.87947726346346,6.70426140227113,6.89899820428392,8.21510243657319,7.31025338909534,7.73036182690599,8.19905853398203,6.63886693331614,8.07250408550192
MRPS14,5.42929521117582,3.72825448429138,6.66915838042982,6.74350155640003,5.22192333320927,5.85420260742349,2.90294840608274,3.2649443926497,4.82816022366801
PTGS2,1.37201470237603,0,3.79588063492644,0,0,0,0,0,0
CR1L,0,3.72825448429138,0,0,0,0,0,0,0
NTPCR,1.37201470237603,0,7.05968138764098,3.24672430706797,7.15442829672709,4.51505197721073,0,5.2988688128942,7.05679517515652
VIM,3.59910634993852,4.27646705410085,1.11884864333125,0,0,0,0,0,0
KIF5B,7.75633645887927,6.61690645630478,8.09192573565759,6.77180668189052,6.76828714269082,5.57424556775266,6.55926680951409,6.30920229959073,6.13946140942462
PLAU,0,0,0,5.40595464217754,0,0,0,0,0
KCNMA1,0,0,6.17942918719837,0,0,0,0,0,0.984634069889191
