"","Br11.10","Br11.18","Br11.1","Br11.2","Br11.3","Br11.4","Br11.6","Br11.8","Br11.9"
"NOC2L",5.31881512905322,2.83320060573328,7.92111248588711,6.42493557335843,6.45909889746037,5.85420260742349,5.75841457232562,5.17926603625191,5.82762206783712
"PRDM16",0,0,0,4.89048419696863,0,0,0,0,5.0992777575283
"CHD5",0,0,1.11884864333125,0,0,1.96912187144367,0,0,0
"PHF13",5.99409426261502,5.69384127087612,0,5.40595464217754,6.92402196283839,0,7.45900055324465,5.17926603625191,5.69761230526735
"PRDM2",4.5868011524303,5.78825731498363,7.15765048978403,6.82680349925471,5.63653382102523,6.26299177480354,6.49853124786075,5.67554380706343,1.56443800849731
"SPEN",6.27126223065359,6.83166536551795,6.65245133027749,6.35181845748375,6.12555004339148,6.26299177480354,8.51745571501645,6.07794409006704,2.97300125790583
"PADI2",8.07374360392379,0,0,8.92828621615634,5.25840651377509,9.05810476024654,6.82964528044503,7.57349414969172,8.0619742499257
"PADI4",0,9.86995475113191,0,0,0,0,0,0,0
"HP1BP3",7.20866733083727,5.64421025882745,7.02115704424388,7.81364408516496,7.69667080368553,6.31674362630418,4.60444634799238,7.5313734500242,8.00264491310216
"KDM1A",1.37201470237603,1.45966154349926,5.6159214993519,5.0835032062234,0,0,4.75050662589372,5.17926603625191,5.46164965689992
"HMGN2",5.95768784644829,3.90722780620045,7.02115704424388,7.16231423407733,6.94655639393289,6.49051507560831,6.01121459788637,6.49600010702222,7.16898749771974
"ARID1A",6.64774413645781,8.40815908059895,6.49268521522185,2.88148064607876,6.92402196283839,7.88069431073257,7.65725096293959,6.45795789273571,7.4122256864478
"SFN",3.39642066844677,0,0,6.10719912990423,4.26007070111535,0,0,6.1433264206017,1.97688929324989
"EYA3",3.28329171821906,3.40971822989597,5.12847240265469,4.83790596399629,6.8422584888202,6.31674362630418,5.16950351668004,3.48267620502123,0
"RCC1",7.44399302942582,5.23875646383544,7.67864970844389,7.4431601851867,6.72982879750217,7.38518896778219,5.22053856246496,7.50051607476696,6.68364563652076
"TAF12",4.00800436978356,3.62968872200817,5.68326531930499,6.54459934244938,6.57933517402951,6.53654821228317,5.72345679224892,4.6594796353863,6.46130277635679
"HDAC1",5.86243742308423,6.66746928139384,7.28233909947619,7.84061843716336,2.27001571216642,6.29011802151213,0,7.32142120082927,6.09883181420956
"RBBP4",6.97364500492194,6.42452337617707,8.7318904993493,9.68219975940159,8.20649112356984,7.82613877498418,7.72950390550449,8.98527678957881,6.98057204816726
"PHC2",5.48151647811306,0,2.17479231363065,7.46065375557373,0,1.2972786894223,0,6.12725652465806,4.49402188188269
"SFPQ",7.02732981418079,6.60398392438772,7.50340695560552,8.1626239563973,7.32752659965975,7.37255428575252,7.97960195387762,6.75845624307085,7.99712836480342
"MEAF6",5.60435397950546,3.72825448429138,7.74319129920663,7.02795270098875,6.71677810372548,7.01427809643458,5.22053856246496,5.78202137350265,6.29142113954378
"NFYC",2.06234119915064,6.7401385237105,5.12847240265469,5.72830127327416,7.84797831173967,6.36856452240993,0,5.11552842457896,3.77868666613505
"SCMH1",6.67041793615409,0,2.50765345445563,6.71462996273876,5.69093415152687,1.2972786894223,4.60444634799238,4.787700331834,6.41240513866239
"KDM4A",3.59910634993852,3.00031613723891,2.17479231363065,3.78011273527587,4.98122570813193,0,0,0,4.29259149209961
"DMAP1",4.72318079994974,0,7.29315773197084,4.89048419696863,5.55088238715192,4.42001620453904,5.49380204111515,4.36277556523011,6.86418289678043
"NASP",6.64774413645781,6.03927478905038,7.50340695560552,8.76890918281401,8.52744209011275,7.01427809643458,5.7925452952153,8.74842750358052,6.73757353085111
"RAD54L",4.72318079994974,0.90705921075679,2.50765345445563,6.60877100990403,6.6769023658458,0,0,6.68350931008344,1.56443800849731
"PRKAA2",0,0,7.22699449089111,6.72913798160761,1.54183294072644,5.28165616703326,0,6.83959787463572,0
"MYSM1",4.14382894566204,0,6.87038753122428,3.78011273527587,2.7516620427869,5.99274334272203,1.1990640901276,1.35949233011302,6.05702475646257
"GADD45A",1.37201470237603,6.83166536551795,4.8047724936185,5.47644363256108,4.3972717881004,5.48315343552474,2.62845336166009,4.05827207503453,0
"ZZZ3",0,5.39695749956397,7.4751831132837,1.64294184445923,4.46127061149664,0,6.74502697919905,5.84232905469501,6.82735291462413
"GFI1",0,0,0,1.04370148673221,0,0,0,0,0
"MTF2",5.84260875713161,2.17020601574214,5.39268681017765,5.83945657307712,0,2.42571333789311,5.65089260138538,6.73743715527601,6.01396994741511
"DR1",6.60129865112,6.57778633936776,6.91309354482348,6.78575368137492,0.967774308989832,5.38591976725673,6.36880552575296,6.32337744801335,0.984634069889191
"DNTTIP2",7.91665654882256,4.45977649219037,7.89294130322694,7.15158320425942,6.6769023658458,6.70726325218247,8.27344979023221,6.11100561109593,6.01396994741511
"PRMT6",5.06869284495427,0,3.91272940279308,6.08481120310637,4.46127061149664,0,0,3.83900862573554,0
"WDR77",3.93497491848683,3.00031613723891,5.77873028902746,6.12924494022766,5.36262699582715,1.2972786894223,0,6.73743715527601,0
