,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
SSU72,7.42411715873952,6.53757580495658,9.11084237778967,7.94994532506889,7.7230165699181,7.64888147533973,7.36005044516462,8.3928026311603,7.68349694278702
PEX10,6.3006283346297,0,7.09720371289533,4.60604068470593,4.02619234968349,4.42001620453904,5.95204510272603,5.93755685219747,5.64214029109355
RPL22,4.48814791069996,0.90705921075679,6.74990914710401,6.17235094843194,3.64037238185392,5.10960792425769,4.60444634799238,5.76134527692405,6.66984269634042
PARK7,7.07908839602764,8.58954332308203,8.8899032901194,8.32901607093841,8.36963324945968,8.39342990052209,7.72066771466064,8.91447251852081,8.21713295779462
FBXO2,0,0,2.77793079780948,2.65707978202499,0,4.51505197721073,0,0,0
MINOS1,6.82998342036757,3.28572646127337,7.35641925855784,7.6402621275499,6.59368386777766,5.57424556775266,5.61319428587694,6.88808753015786,6.03565795828179
RPL11,8.04800036751732,4.76853236192594,10.7133227131242,10.1853896174665,8.9292964912994,9.81903668132399,9.39291784542183,9.40405550187275,10.2452523070116
STMN1,9.82769766935358,0,8.78650711465895,10.933129976144,9.99826971002455,8.15604003426077,7.02890814852868,10.2453474246359,8.4809409303378
NUDC,6.80970045988966,4.81412964080472,7.21566615524492,6.8535351809361,7.13493820812564,6.36856452240993,7.25381059851566,7.63161024882345,6.37886102321156
TAF12,4.00800436978356,3.62968872200817,5.68326531930499,6.54459934244938,6.57933517402951,6.53654821228317,5.72345679224892,4.6594796353863,6.46130277635679
RBBP4,6.97364500492194,6.42452337617707,8.7318904993493,9.68219975940159,8.20649112356984,7.82613877498418,7.72950390550449,8.98527678957881,6.98057204816726
PSMB2,9.7880733119862,5.56640770689325,6.95457165487208,8.65954576839519,8.27931338102487,8.3808674985636,8.83245743603516,8.38943795654933,8.50834547771569
TRAPPC3,7.23171907660364,5.51210603001052,7.35641925855784,7.49501711393697,5.10658842486211,7.2808705824667,5.26982976624249,6.74798497806569,6.15935502675774
MRPS15,7.18524126945209,0.90705921075679,7.23823456671994,7.15158320425942,6.18361696253436,6.39379326525253,5.408338851485,7.68747562969703,7.48497320278845
DNALI1,0,0,0,0,0,0,0,0.834285950287708,0
