,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
MXRA8,0,0,1.74134691342348,0,0,0,0,0,2.780912255517
TMEM52,3.50132002521678,0,5.35187631308918,3.39966198476817,0,0,0,0,0
ERRFI1,2.52730886067184,0,9.23105015860842,4.66759304973827,0,7.85367440480062,9.32749398119472,4.41665960727428,7.7241347966841
ENO1,11.2951515656659,8.52245138027804,10.9925680031802,10.7778109904845,11.1326716951465,11.0639533377171,10.943600851273,11.4504727581687,10.9606399012058
SPSB1,5.82250375999043,7.13991008439525,0,4.7833388332932,0.967774308989832,0,0,4.46860335515537,0
PLOD1,7.16142853519577,5.27181496920106,0,7.14077175654066,8.43882173530504,7.30766582095272,2.62845336166009,8.42602470351105,7.80212969965393
CDA,0,0,4.53996409494537,1.64294184445923,0,0,0,0,0
PINK1,6.35762593193181,5.45568028073696,0,6.06207037401061,0,4.84274379167813,0,0,6.32703553032119
DDOST,9.04527223421009,5.876872091683,9.113896649176,8.96552376321267,7.41092031482943,7.48247027808003,5.8903447089995,7.95663690986112,7.46912113709304
FUCA1,7.26933857105977,0,6.00615743648722,5.47644363256108,3.11212755778684,7.50579912779256,5.45170319342108,6.98043547260513,1.56443800849731
TMEM50A,7.68017540010284,8.6692453907238,8.67512461099835,7.76519026141272,7.84198072378167,7.19736283871049,7.93446037013401,7.10053133221583,6.30933822931327
SH3BGRL3,7.23171907660364,11.4169607934728,7.57607772037016,7.93124455031569,7.89508201953957,9.03022080380615,7.58118779219389,7.64859817181399,7.46912113709304
SDC3,4.32623619681367,0,4.46540285174021,6.59299370227766,5.52116336832044,0,0,5.8618841137083,5.36216353090455
MRPS15,7.18524126945209,0.90705921075679,7.23823456671994,7.15158320425942,6.18361696253436,6.39379326525253,5.408338851485,7.68747562969703,7.48497320278845
DNALI1,0,0,0,0,0,0,0,0.834285950287708,0
YBX1,4.67913798597168,2.17020601574214,6.89899820428392,5.12797663188687,3.93897398056954,5.10960792425769,5.06167557102188,4.97892776454238,5.36216353090455
SLC2A1,5.62771449427975,0,1.11884864333125,6.56091183568748,6.6903171136774,6.51371523782092,7.37138605953744,3.91585914794893,6.15935502675774
RPS8,8.32306311652956,3.00031613723891,10.4680710061371,8.60552646229393,7.80546197060512,8.86866075735204,8.42800545191803,8.46810035406173,9.23359609671392
PRDX1,11.0246441472238,0,8.22782117382961,10.447998263129,10.3881305055448,10.0248088224475,10.5348061331989,10.420404651356,9.81932338918386
TSPAN1,10.2555199712896,0,10.09105760263,8.17327347772057,9.63706504425126,11.3491338348466,7.8066847685014,9.13744098079373,10.1163351808739
UQCRH,7.5456067952841,7.9733396423064,7.81250816620125,8.73696173589218,7.52761481263058,8.55870140226313,8.48651440370876,8.6279681727324,8.88803047774371
ATPAF1,2.7135004883149,5.56640770689325,7.61970563129079,6.21420627890992,4.10843716652605,0,0,5.04884423429105,0
PDZK1IP1,0,5.23875646383544,0,4.40386013788609,7.06457155417393,0,4.75050662589372,0,0
CMPK1,6.71472370476492,7.89593505937155,7.49406022425349,8.18910179845797,6.20246460178158,8.61878004603807,8.42256688849555,7.76222203766915,6.83973433840871
TMEM59,8.89934274015972,6.89669066543492,9.09856021788227,8.35263310792794,8.87158632971368,8.49017527585609,8.10032771434069,8.50898357883492,8.73072590641588
TACSTD2,8.81790481143666,0,6.03222147911248,8.17327347772057,8.97111293159288,8.6080411053637,10.1099776703544,7.16492031930386,8.75707593098909
PGM1,5.82250375999043,5.23875646383544,6.54792994056188,6.63981725109164,6.27548532300598,3.66234102537749,0,5.40931084478543,6.05702475646257
WLS,0.843307622681109,0,6.87038753122428,6.60877100990403,8.22504418515286,5.10960792425769,6.14931969745784,6.99821632501596,4.72514644042358
PIGK,5.31881512905322,0,6.35490653233578,4.40386013788609,6.10566316486921,3.81954945185343,5.65089260138538,0,0
CLCA2,10.5858105884888,0.90705921075679,6.56588453911187,9.37369663156842,10.3400029480995,10.5558290200999,10.0424422150265,8.51517173176818,7.83960089319839
F3,1.75807992347051,0,9.50210134423531,0,0,5.16926634021923,1.1990640901276,0,4.72514644042358
SLC44A3,6.71472370476492,0,0,6.79956714065158,0,3.48588283494556,0,7.24156446339196,0
TMEM56,1.37201470237603,4.20979513258106,6.31299732333055,6.90555698161194,6.8778688502775,3.48588283494556,0,3.98882215151491,3.29415048675952
CSDE1,9.0278181084918,7.17528447655378,9.50210134423531,8.6404845143455,7.32752659965975,8.51338085935792,7.84784352993213,8.96054852804784,8.10876481070607
ATP1A1,9.17778736028382,7.92220074143494,9.19111958077847,9.18662807274105,9.66960019402433,9.24645997593988,9.3158067739585,8.88848910769228,8.84568610899353
TXNIP,11.5707258082871,9.85367045891141,10.9027102398782,7.06273430905227,6.42740613652778,8.7119944190858,0,2.86072345122316,7.9915906414435
ECM1,0,4.51604533994688,0,0,0,0,0,0,0
MCL1,8.06948483806783,7.17528447655378,8.15258946359025,7.67814183661435,8.06433346003237,6.96463124455961,8.14063439760832,7.46259433158976,8.33114141224195
TUFT1,5.760450973727,0,9.86681796668163,7.75104206025988,7.31891584547676,9.15719691850858,9.29214443357636,7.79310753755905,9.88650709146543
S100A10,8.85301720559021,0,3.20197113167941,6.10719912990423,10.7850352697357,5.22655541074288,9.81019808973861,9.06336409212239,6.68364563652076
S100A6,8.80515464805834,2.17020601574214,8.52718397858576,8.35731047369215,7.31025338909534,4.51505197721073,10.5348061331989,8.77445661365029,10.0066793847614
S100A4,3.8580506738477,4.27646705410085,0,3.78011273527587,0,0,0,0,5.29181136256313
S100A2,0,0,0,0,0,0,0,0.834285950287708,3.67194278334819
S100A16,6.84998517014023,0,7.02115704424388,9.09157991298556,8.69318951815555,7.60634800393872,6.99998724357567,7.76741575658297,8.10364017261355
ADAM15,9.31182303721545,0,9.11084237778967,9.55156617172148,10.1564552781268,8.66613993914107,7.94208273892236,9.15933729665208,9.1440824295773
EFNA4,6.79945103270481,0,6.78098502119,1.04370148673221,5.29398980957923,7.12387953165286,0,6.26582152675827,0
KRTCAP2,6.67041793615409,5.53951233634251,9.45951669238827,7.41651555694916,7.71647509527493,6.49051507560831,7.2415083613192,7.96117687156229,6.73757353085111
YY1AP1,5.60435397950546,5.876872091683,6.51133616640643,6.59299370227766,7.25715711226461,5.89010486662563,5.45170319342108,6.39223637793123,6.72427936065717
MEX3A,0,0,2.50765345445563,0,0,0,0,0,0
LMNA,9.30640452029161,10.0640930767071,6.96813685541799,8.89328632226332,10.9369565981272,7.60634800393872,10.376455889268,8.6921882391972,8.89694480507933
TMEM79,6.43911037531888,0,5.50861761753484,5.03761508897867,0,0,4.04883618003845,0,0
TAGLN2,9.95088793329941,11.5356973080833,9.77332872398896,10.0489302524572,10.404501152118,9.41303957654125,10.4951997597296,9.51628713425503,9.02444385433757
NCSTN,7.73498330738213,6.53757580495658,6.15591417147655,5.12797663188687,7.35305473012459,7.320879095961,6.47770425905735,7.59117610551161,6.32703553032119
TSTD1,7.56388757653163,3.40971822989597,8.0478904268345,8.71890262238953,7.97945899351243,8.73685313994805,8.07974406301515,6.83959787463572,7.29122598844636
C1orf226,0,0,5.64998631793611,0,0,0,0,0,0
MPZL1,7.16142853519577,0,6.10770209110576,7.38936956438604,7.73601120488984,7.21162080191455,5.22053856246496,6.9714621862063,6.17897805392198
MPC2,6.87947726346346,6.70426140227113,6.89899820428392,8.21510243657319,7.31025338909534,7.73036182690599,8.19905853398203,6.63886693331614,8.07250408550192
ATP1B1,4.26795921041992,6.49621231817175,6.24775846046066,7.22507635136047,6.57933517402951,8.08811324322942,7.34862505821448,5.08257157937645,7.33561419372309
MRPS14,5.42929521117582,3.72825448429138,6.66915838042982,6.74350155640003,5.22192333320927,5.85420260742349,2.90294840608274,3.2649443926497,4.82816022366801
QSOX1,9.51025712646447,5.51210603001052,8.12862919574125,7.55325118226327,4.10843716652605,5.52941832979741,0,7.70922981708392,7.89404373456851
GLUL,9.59861992058324,10.4908359077654,4.86402071962576,10.9656568914515,8.47026741325683,9.58717902889923,7.02890814852868,7.61441990491605,8.24066681004356
LAMC2,0,1.45966154349926,0,0,0,0,0,0,0
ARPC5,6.82998342036757,8.89024470282385,7.4560557241492,8.59368297198014,5.52116336832044,7.48247027808003,7.1654070082045,7.95208261641669,7.6274687970249
CD55,6.21067355591978,8.20920406383036,9.58147085596446,7.14077175654066,7.52012207516773,7.22573923341335,9.57552640681596,7.96570259143742,6.37886102321156
CAPN2,9.74999346208161,8.60583988464035,8.4028412225257,8.43015667523097,9.27476521451923,8.54750403741176,8.91223497559495,7.03313380017101,8.63095792414747
CNIH4,5.97600589099516,1.45966154349926,7.19273908285515,5.63892708641068,5.89008374943914,3.48588283494556,0,5.65327170953921,6.52402376898035
NTPCR,1.37201470237603,0,7.05968138764098,3.24672430706797,7.15442829672709,4.51505197721073,0,5.2988688128942,7.05679517515652
CHRM3,0,3.62968872200817,0,0,0,0,0,0,0
NET1,7.76162572754165,6.45362780538346,6.05782298696737,6.42493557335843,6.6769023658458,5.61772181193057,7.72066771466064,4.787700331834,7.27308111216812
RSU1,6.19512028348853,8.05156887304293,0,5.1711199910248,3.52532104143033,5.28165616703326,0,5.99181541597399,5.46164965689992
