,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
MASP2,1.37201470237603,0,4.21537091401379,1.04370148673221,0,0,4.15759259333674,0,0
MAD2L2,4.38225022710986,0,5.22202442078976,5.89197934105533,5.89008374943914,5.48315343552474,5.26982976624249,6.62748710526465,4.05840147761124
RCC2,7.72959526935971,3.72825448429138,7.93499444241565,6.08481120310637,7.51259022040269,5.65992611751704,5.72345679224892,5.58431498030469,3.67194278334819
PINK1,6.35762593193181,5.45568028073696,0,6.06207037401061,0,4.84274379167813,0,0,6.32703553032119
STMN1,9.82769766935358,0,8.78650711465895,10.933129976144,9.99826971002455,8.15604003426077,7.02890814852868,10.2453474246359,8.4809409303378
HMGN2,5.95768784644829,3.90722780620045,7.02115704424388,7.16231423407733,6.94655639393289,6.49051507560831,6.01121459788637,6.49600010702222,7.16898749771974
IFI6,10.6197014155718,6.80932224712269,8.07948077025073,11.6267023606927,11.8009499659153,11.5163974500188,10.0583102780357,11.9866857855034,11.6547370367853
TAF12,4.00800436978356,3.62968872200817,5.68326531930499,6.54459934244938,6.57933517402951,6.53654821228317,5.72345679224892,4.6594796353863,6.46130277635679
LAPTM5,3.69068333213451,8.6999328784253,6.22533970255541,0,5.18449356901434,0,0,0,0
CDCA8,0,0,0,5.25371897613993,5.81858513461138,0,0,6.00945741586172,0
YBX1,4.67913798597168,2.17020601574214,6.89899820428392,5.12797663188687,3.93897398056954,5.10960792425769,5.06167557102188,4.97892776454238,5.36216353090455
CDC20,0,0,0,0,5.45982316543531,0,0,4.05827207503453,0
KIF2C,4.99874588290801,0,0,0,5.71738392977127,0,0,6.1433264206017,0
ORC1,5.5806089704772,0,0,7.45193348526394,6.16451983117734,0,0,7.08397482302862,0
USP1,6.09810583040704,4.40122362969243,6.31299732333055,7.69301955699562,7.87759785808723,6.68699637345157,7.75569232738451,7.43674782776796,7.24542859444198
DEPDC1,3.77679268308096,0,0,3.53792971830122,6.44333954256696,0,0,0,0
TMEM56,1.37201470237603,4.20979513258106,6.31299732333055,6.90555698161194,6.8778688502775,3.48588283494556,0,3.98882215151491,3.29415048675952
PSRC1,0,0.90705921075679,0,0,4.79509088348968,1.2972786894223,0,5.08257157937645,0
GSTM5,0,4.13989214991377,0,0,0,0,0,0,0
CKS1B,4.32623619681367,2.42655883810241,3.91272940279308,4.72662639942142,4.58133335141104,0,4.04883618003845,5.01430949800056,2.780912255517
IQGAP3,6.79945103270481,0,0,0,7.84198072378167,0,0,4.97892776454238,0
KCNJ10,1.37201470237603,0,0,0,0,0,0,2.86072345122316,0
NUF2,5.45564211355251,0,0,2.3912288507298,5.18449356901434,0,0,0,0
MPC2,6.87947726346346,6.70426140227113,6.89899820428392,8.21510243657319,7.31025338909534,7.73036182690599,8.19905853398203,6.63886693331614,8.07250408550192
ASPM,0,3.62968872200817,0,3.98742461116933,6.6769023658458,0,0,0,0
KIF14,0,0,0,1.64294184445923,3.74692244825783,0,0,0,4.05840147761124
UBE2T,0,0,0,6.60877100990403,6.79336804257768,4.51505197721073,3.13347161369605,7.78800565296187,0
NEK2,0,0,0,0,2.53084603244413,0,0,0,0
CENPF,4.76591880332032,0,0,4.7833388332932,7.35305473012459,0,0,0,0
HIST3H2A,0,0,6.15591417147655,0,0,0,2.28916177518538,0,0
ZNF695,4.20722869586796,0,0,3.53792971830122,6.04430286124211,1.2972786894223,0,4.24856596241825,0
SEC61A2,3.16053114209887,0,5.89692069590663,3.39966198476817,5.45982316543531,0,0,4.82802740442056,2.55926093499899
MASTL,0,1.85824263088808,5.26661968333222,3.39966198476817,6.63589306676056,1.2972786894223,0,5.9002165776632,0
KIF5B,7.75633645887927,6.61690645630478,8.09192573565759,6.77180668189052,6.76828714269082,5.57424556775266,6.55926680951409,6.30920229959073,6.13946140942462
