,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
TNFRSF18,0,0,3.79588063492644,0,0,5.334729653805,5.22053856246496,0,5.42924394452343
MXRA8,0,0,1.74134691342348,0,0,0,0,0,2.780912255517
ZBTB48,5.13540477230622,0,4.86402071962576,3.53792971830122,0,0,4.88312957164409,4.6594796353863,0
FBXO2,0,0,2.77793079780948,2.65707978202499,0,4.51505197721073,0,0,0
PADI2,8.07374360392379,0,0,8.92828621615634,5.25840651377509,9.05810476024654,6.82964528044503,7.57349414969172,8.0619742499257
USP48,3.50132002521678,5.33574270137424,7.48465254351745,7.2753698706481,7.36146470335232,5.89010486662563,7.15232381962698,7.62590286290951,7.12919243150081
FUCA1,7.26933857105977,0,6.00615743648722,5.47644363256108,3.11212755778684,7.50579912779256,5.45170319342108,6.98043547260513,1.56443800849731
TMEM50A,7.68017540010284,8.6692453907238,8.67512461099835,7.76519026141272,7.84198072378167,7.19736283871049,7.93446037013401,7.10053133221583,6.30933822931327
STMN1,9.82769766935358,0,8.78650711465895,10.933129976144,9.99826971002455,8.15604003426077,7.02890814852868,10.2453474246359,8.4809409303378
YTHDF2,6.45225465024319,7.39374960279761,8.59432870045788,7.10784262250677,7.13493820812564,6.98137074537931,6.9704746967964,7.475345988002,6.58413120368082
MARCKSL1,6.43911037531888,0,6.74990914710401,7.59345325200061,6.47468796270751,6.34288673448666,5.57448440341547,6.59279892273576,6.42888918323942
CSF3R,2.52730886067184,0,0,0,0,0,0,0,0
NDUFS5,7.74035129753046,7.44537406675006,8.89701274312493,8.82401448141736,6.96874425092168,7.84455413174354,8.2673949486452,8.03624744192206,8.55038483748842
YBX1,4.67913798597168,2.17020601574214,6.89899820428392,5.12797663188687,3.93897398056954,5.10960792425769,5.06167557102188,4.97892776454238,5.36216353090455
RPS8,8.32306311652956,3.00031613723891,10.4680710061371,8.60552646229393,7.80546197060512,8.86866075735204,8.42800545191803,8.46810035406173,9.23359609671392
DMBX1,0,0,0,1.64294184445923,0,0,0,0,0
