,logFC,logCPM,F,PValue
CRISP3,9.71457502772464,11.3984193416784,2.88517370795223,0.120062547922319
IGFBP3,9.51840235309008,11.2074896985103,4.27974849321416,0.0652560487988345
NNMT,8.92867381387195,10.63848861659,2.71339660084091,0.130348023910378
CITED4,8.67539198798928,10.3968158127734,7.13773089945112,0.023314107812444
C15orf48,8.15992687512613,9.9096088029214,3.53483728241253,0.0893313795410338
AFG3L2,8.05905058031205,9.81710918972794,6.07710909523856,0.033248459932676
MT1X,7.56404542456388,9.35940086788836,3.02614731190191,0.112380558392324
GNPDA2,7.05415543441444,8.91630302925198,4.57146036218927,0.058062406318458
MRPL46,6.96699150478353,8.84176541327859,2.81767593673423,0.1239764608182
AURKB,6.95627861297306,8.83194644712583,1.76120624204127,0.213806529630845
CRYAB,6.75470262859746,8.66162626091069,2.98446321464858,0.114585518631451
ACADS,6.55919635369303,8.49903125826957,2.20752494700226,0.167989766054839
LACTB2,6.43570265202134,8.39964771006066,2.65793333466382,0.133907236495397
TAGLN,6.41963865577189,8.37964606960698,2.58756558806294,0.138603707685777
HTRA1,5.85829386587063,7.94901165373032,1.56483693581084,0.239269440499078
KCNMA1,5.72834053593909,7.85790915687151,1.67929125298446,0.223961539952044
GJB2,5.68100374873887,7.80093547388673,1.68875970627512,0.222755062111183
DSC3,5.55839467475849,7.73662733756119,1.53181975167945,0.243948417226434
ALG1L,5.53078596577516,9.87996609140628,5.14305504461692,0.0443550269170786
GPR12,5.42757761980764,7.64421613312433,2.00087531930561,0.187406096586236
TRIM36,5.3767544488954,7.60813684350776,1.50562039323786,0.247750498654777
NTPCR,5.33578262067007,10.4720067133974,4.96173147948595,0.0476107057367164
TMEM37,5.31004939248211,7.56328812626658,1.4978617871437,0.248891982721
PLAU,5.29947345319203,7.5549664126543,1.49467378295044,0.249363105684839
IGFBP4,5.13341936646277,7.44898123085587,1.73414066148921,0.217092245144158
COL6A1,4.61816428354043,9.02381259586907,1.56757926175219,0.236389906168045
ASB14,4.4547451747236,7.04691449590079,1.77088666691798,0.212647503944946
COL1A1,4.36619088377567,8.80101378060419,1.43713894712375,0.255658876069263
TRPV6,4.26373476601381,10.9438695260645,3.97854091412185,0.0713189442235108
AR,4.18483833613512,6.89760115882681,1.51361398354791,0.246581923324079
KRT86,4.09628436364584,6.870948816427,1.34442945198749,0.273035472220612
S100A2,3.67659702870843,6.68537170093477,1.4255574027924,0.259885500716214
RIOK2,3.50765996566766,9.36518921408026,1.13571884691961,0.309271468693098
MAOA,3.26306624766882,6.53123540782191,1.1935490053718,0.300087175813425
CTGF,3.19275760162037,14.1662128546522,0.777087614321066,0.396787249062373
FN1,2.98052090154066,6.44170884018933,1.14525053854178,0.309550294964039
SIVA1,2.7116013043172,12.9971675852598,3.54425693425129,0.0863087938432152
KRT17,2.70622364308179,6.36513467115864,1.08116820767662,0.322782326645934
SNAI1,2.58497477499734,6.33499694522211,1.04610633346957,0.330372054557117
TCTEX1D2,2.54241220959844,9.11306090038032,0.761910468622583,0.401285644171132
FIGNL1,2.51621174644041,10.734621429089,1.10021914752359,0.316599258495933
PAPSS2,2.43513390339372,11.0999766580332,1.25734690452412,0.285910545082242
