,logFC,logCPM,F,PValue
CITED4,8.67539198798928,10.3968158127734,7.13773089945112,0.023314107812444
AFG3L2,8.05905058031205,9.81710918972794,6.07710909523856,0.033248459932676
ALG1L,5.53078596577516,9.87996609140628,5.14305504461692,0.0443550269170786
NTPCR,5.33578262067007,10.4720067133974,4.96173147948595,0.0476107057367164
RPL23,1.96953015248202,12.6320092012351,6.51499951129311,0.026778026828731
REEP5,1.80870728459845,14.1376046885037,4.99217054480387,0.047044437886751
NDUFB6,1.75786349053066,12.2726007310875,6.10747637900462,0.0309420532141808
RPL37A,1.65898484726847,13.8572765907214,5.17908977517922,0.0437405152836692
BSG,-1.58676741457828,13.2570200874682,7.80592491154375,0.0173829333473809
TUBB4B,-1.82092935520045,13.8142061705946,5.70544209061545,0.0358374452051157
KIF5B,-2.05868352528588,12.3101454875394,12.0265579453082,0.00521842893152081
SERF2,-2.41634802934164,13.77280698068,7.10461719257571,0.0218811018870212
CD151,-2.55956322881184,12.7378670687306,11.6168379678167,0.00579882623806336
CYP1B1,-3.74841267853793,6.22498192408758,6.64599994976026,0.0490024996075367
ACTB,-3.94396586000776,18.4907372962175,9.54982015548752,0.0102200484687466
CD99,-3.94824137390049,13.7464973490945,34.1480936717068,0.000109548204712881
CST3,-4.60058383707402,11.9231983361402,11.2321100486947,0.00641492067484987
FLNA,-4.95970452367768,16.0818771537565,9.17198832774179,0.011414620159262
TMSB4X,-5.7197198421008,15.803164070991,14.5930711561652,0.00281553612728044
PPM1H,-6.70207233606552,7.20213688431015,12.564472392593,0.0161571372005026
GSTA4,-6.9542714862424,7.4565836933836,9.50297474315152,0.026961244081976
TUBA4B,-7.00822085666731,7.28616028173563,8.64103829276426,0.0318135718833406
TIMP1,-7.0692097144838,13.4204510604925,11.4268089869081,0.00609389785609498
TPM2,-7.17609046283632,10.3021253696982,12.4797383843283,0.00465496819775952
VIM,-7.8287457281151,8.74923751465662,19.0541865179048,0.00111250333869585
CR1L,-8.0144306400509,8.04641579734932,9.22161566770638,0.0284234423283004
LMO2,-8.81787756834357,8.75922832603495,13.4875469376958,0.014105417751935
TGFBI,-9.05468251124612,9.04075544571121,19.190723014185,0.00695603182577814
LGALS1,-9.849013591276,9.73510940552431,20.1390034384102,0.00629142601648598
AVPR1A,-9.96610533138915,9.84751007420392,14.9560931268693,0.011526324416441
ROPN1L,-11.4223164294123,11.278464671338,22.2357155952067,0.00510603164773262
PROS1,-11.6888906662526,11.5426938964566,23.1861158334918,0.00467022943456959
SPARC,-13.3301490212271,15.6949739488873,33.2807567261462,0.000122251449099888
