,logFC,logCPM,F,PValue
UBE2T,9.04024180810889,10.3632623763666,8.26924767108688,0.00678208211011285
PRKAA2,8.7389360908367,10.0740999210038,7.07452401089199,0.0116655884736679
ZMYND11,8.57380733755338,9.9163052863404,8.25334000012395,0.00683027123848102
MBD3,8.51377465499368,9.85956858109599,6.31454339774701,0.0166728183570852
HELLS,8.44507142529547,9.79475664850367,5.98102467644679,0.0195664467701642
PAXIP1,8.34095352763355,9.69514931194927,5.14644996049544,0.0294911138784056
C14orf169,8.33521609172303,9.68980874826938,5.80997180023617,0.0212579250141199
BRPF1,8.10839065589682,9.47717601618161,5.41965295265122,0.0257428696244579
SETMAR,7.76603564668918,9.15972460765077,4.4794005462047,0.0414018122554246
EXOSC8,7.75134520610034,9.14696985863374,4.90794775182368,0.0332528669902746
SAP30L,7.58501198897891,8.99637710738977,3.88260116074649,0.0566437772696535
HMGN4,7.57541912112917,8.98830019156058,3.9178107130856,0.0555897995732448
CDK5,7.56878474357415,8.98058360267529,4.78269560779235,0.0354360052196707
USP36,7.44946842765685,8.86953668939494,4.06372823313102,0.0514475129217058
CTCF,7.34171525950548,8.77851090812197,3.80005058544153,0.0592028703990101
SCML2,7.31573785094321,8.75391194306488,4.14530511114566,0.0492813028329916
HCFC2,7.18922563102728,8.63954504507778,3.56871280568985,0.0670859593532409
AURKB,7.15385120795906,8.61165167191485,3.09581230775108,0.0871287513918235
USP46,7.1447883067868,8.601472081191,3.45375406866171,0.0714335049062213
ALKBH1,7.06329266559046,8.52681885008053,3.61746843242996,0.065331966324203
RAD54B,6.9503500371442,8.43587995823694,3.399759213526,0.0735835293591422
SFMBT1,6.87027619155084,10.1749147538432,6.29270241666007,0.0167103234015989
CDK3,6.78085367028976,8.28336163350698,3.14397125520957,0.0848067780162699
HIRIP3,6.34319434809403,7.92611889718736,2.74251936512138,0.106543770653459
TDRD7,6.29172543576929,7.8770287511793,2.75812331902177,0.105588823894148
PRDM16,6.27160763419198,7.86574983801254,2.66470447054394,0.111455847969205
PRDM5,6.18105422265285,7.79585604650938,2.74869915585534,0.106164398822406
SETD7,6.13883422797564,9.67235557908827,3.93389775637433,0.0548994898778763
LEO1,6.01561162842388,9.3557891920367,3.68117223967234,0.0628933410114155
RPS6KA5,6.00955091334154,9.55334197212041,3.8300564885853,0.0580390037986172
ZNF592,5.96734847898808,7.6302960717,2.63215264991119,0.113587246946051
EXOSC1,5.93349614398255,9.4830808683076,3.38022624448423,0.0741479373220297
SENP3,5.92698185486842,7.60021270584342,2.5082081871985,0.122142680240145
PCDHGB7,5.90098614107739,7.57444683342194,2.49252280966242,0.123277399865755
ZNF516,5.89762071234927,7.5807553780418,2.40954999128272,0.129486359197454
GSG2,5.87730329020755,7.56771005548698,2.52238134555083,0.121127708183501
PRMT9,5.8717140617715,7.56130385526052,2.40058798835341,0.130178404845858
ZNF532,5.86030191468098,7.54619725549597,2.60805422616956,0.115195280450203
SUPT3H,5.8299928536364,7.51779564816037,2.68490663056265,0.110156123705397
TP53,5.72760743196971,7.4370107399783,2.53269984765529,0.12039489040497
EXOSC9,5.71142591824732,9.8130687556757,3.68233878161709,0.0628535958803827
DZIP3,5.68238729028676,7.42162715096062,2.48089962559911,0.124126101175265
CSRP2BP,5.66358053148714,7.40615174920547,2.79556574895012,0.103336962530688
EXOSC6,5.66252655174934,7.39320596193914,2.52334516809162,0.121059040494142
KAT2A,5.63466058966047,7.38599964505708,2.70281409262228,0.109018521679701
NPM2,5.58046523586034,7.34882487075945,2.37323411031447,0.132317344942709
INO80B,5.52568316883752,7.30461579751979,2.38440746023192,0.131438754703191
PAGR1,5.49372923303056,9.08386568479303,2.94711415307736,0.0945248817131687
ACTR5,5.48945970135253,7.27511754257105,2.36775760210765,0.13275046568022
UHRF1,5.42749169736447,10.6879833422102,4.63772325551162,0.0379679456586274
CBX7,5.40273465147063,7.22131418075204,2.35535120132822,0.133737754918401
SMARCA1,5.39410026567563,8.78867128782163,2.35353469839188,0.133640417067744
KDM8,5.38037159201939,7.20697073311746,2.31824059221131,0.136742326389527
ATXN7L3,5.34046407007908,7.18248152416604,2.23898842274393,0.143426080414269
YEATS4,5.32272185017777,8.72382464699244,2.46985432154858,0.124695930599205
PARP3,5.22041814912626,7.09902139850925,2.41087701146801,0.129384249536664
BRMS1L,5.13915976239235,8.77103533792605,2.18450968321069,0.148001178311341
FAM175B,5.13465390260983,7.04852231134119,2.37879856783039,0.131878947755005
LRWD1,5.11587839387749,7.03509380193039,2.29460250146581,0.138697088965697
NFYB,5.04360466851222,8.68323724518943,2.1556822418945,0.150626682203456
PRDM1,5.01194331036709,6.96587055826557,2.24633671204978,0.142790563920944
MBD2,4.92949392368281,6.90761876963766,2.420259194281,0.128664977984883
PIWIL4,4.81684743129354,6.84974887025429,2.12207843797994,0.153996791447324
APOBEC3B,4.81684743129354,6.84974887025429,2.12207843797994,0.153996791447324
APBB1,4.71313384567815,8.39440973972107,1.62837847319161,0.210004703872859
FOXP2,4.69595772407069,8.18211675162929,1.57199728391375,0.217904782349892
APOBEC2,4.62072698523142,6.73720853831582,2.07438861888423,0.158570131280041
