,logFC,logCPM,F,PValue
UBE2T,9.04024180810889,10.3632623763666,8.26924767108688,0.00678208211011285
PRKAA2,8.7389360908367,10.0740999210038,7.07452401089199,0.0116655884736679
ZMYND11,8.57380733755338,9.9163052863404,8.25334000012395,0.00683027123848102
MBD3,8.51377465499368,9.85956858109599,6.31454339774701,0.0166728183570852
HELLS,8.44507142529547,9.79475664850367,5.98102467644679,0.0195664467701642
PAXIP1,8.34095352763355,9.69514931194927,5.14644996049544,0.0294911138784056
C14orf169,8.33521609172303,9.68980874826938,5.80997180023617,0.0212579250141199
BRPF1,8.10839065589682,9.47717601618161,5.41965295265122,0.0257428696244579
SETMAR,7.76603564668918,9.15972460765077,4.4794005462047,0.0414018122554246
EXOSC8,7.75134520610034,9.14696985863374,4.90794775182368,0.0332528669902746
CDK5,7.56878474357415,8.98058360267529,4.78269560779235,0.0354360052196707
SCML2,7.31573785094321,8.75391194306488,4.14530511114566,0.0492813028329916
SFMBT1,6.87027619155084,10.1749147538432,6.29270241666007,0.0167103234015989
UHRF1,5.42749169736447,10.6879833422102,4.63772325551162,0.0379679456586274
GFI1B,-12.0438485909547,11.533650966335,52.4305405677644,4.26440830204124e-08
PADI4,-11.5151140850525,11.0162271762433,42.0145022396037,3.42448798866634e-07
PRKCB,-10.4976364034925,10.035896104642,25.1863453289218,2.13378045556366e-05
VDR,-8.07984158058885,7.89849265341789,10.0000040989618,0.00353445636243262
APOBEC3C,-8.00489572022612,7.83995410282668,9.87529062138897,0.00371894923228025
CDH1,-7.50242208266699,10.5055303306718,18.2296612052283,0.000133916485033438
RB1,-7.07200064224972,7.17115015339876,8.60661817921023,0.00631498483288837
L3MBTL4,-6.70823337740223,6.93168020110868,7.93514184567859,0.0084362597845239
APOBEC3A,-6.54613499919155,6.83751562417687,7.78297206595992,0.00901726433498129
TSSK6,-6.48778615879333,6.804693744561,7.72682638016442,0.0092424637433255
DPF3,-6.23098784081669,6.68080067777412,7.49888102439606,0.0102213915944357
CECR2,-5.87469970894295,6.50783719058972,7.11993783137056,0.0121068261831392
PRKCD,-5.5634110941006,10.8280516401208,12.8908400558368,0.000966966370259893
SP140,-5.12971413945024,6.2087541833169,6.5176691407396,0.0159272143769698
AURKC,-4.93009957544393,6.13946516835948,5.92135648535418,0.0210385553556427
SATB1,-4.83067223265536,7.36423025082135,4.31018339391321,0.0449998435825539
IKZF3,-4.13290093742323,5.94232014688147,5.04211739481728,0.0321523567064454
TET2,-3.81122900746921,9.89249078569425,5.08213005930472,0.0302800682918368
MAX,-3.80968080495232,11.5037233549329,12.5143918715218,0.00112217952867569
ATF7IP,-3.78644244847469,11.7397960848972,12.2767368983443,0.00123364742260251
ARRB1,-3.42312088078676,10.7852711008209,6.29230171763433,0.0167135319909378
TLK1,-3.21990173567677,11.0640082086216,7.52233522183408,0.00939289793298993
ZMYND8,-3.15510453823411,11.1558664180106,8.33513707557739,0.00650328700398602
JAK2,-3.11799188953044,10.54147790684,5.32165106260978,0.0268548652496285
NAP1L1,-2.03773365326371,12.7083110786814,6.61592533977831,0.0143263563847031
ACTB,-1.3608315144199,16.7130919947505,14.2283936002756,0.000576008904165401
