,logFC,logCPM,F,PValue
RRM2,11.7446616457736,11.319171346355,3.76505709341761,0.0787755938266315
CYB5A,10.3885656252436,9.97724040162799,43.4483166205376,4.18811989433865e-05
COL5A1,9.67492402490819,9.27810908241669,15.1145389595038,0.00259788688163621
CRISP3,9.59797632865878,9.20339712853103,3.09511142899406,0.106675187409377
GDF15,9.3411255892906,8.95452869225387,2.46888729430884,0.144825317751291
NNMT,8.91410009242058,8.54407411805321,2.91382407380552,0.116261892824845
TMEM254,8.83212396040736,8.46587015866603,6.33287552580883,0.0289292946847884
GPNMB,8.66707906816772,8.30896086699102,2.78319474539405,0.123846393578147
AFG3L2,7.97996808332709,7.66404685447633,6.57525988999704,0.026586609226388
ENOPH1,7.96275410690984,7.65035575356885,7.15171238194863,0.0218723804378775
CMC4,7.94870825959673,7.63577455137838,10.5540849541695,0.00789331756244436
SMCO4,7.56730031200268,7.29036077168333,3.77790773550018,0.0783350841217397
SLC39A4,7.52208857313704,7.2448454129481,4.15700932340243,0.0666022901751628
MT1X,7.46748952068482,7.18808218030694,3.31777351896251,0.0962113633642568
MRPS28,7.13577807431567,6.90793925548202,5.8588141869999,0.0342741543898626
ACY1,7.05080135391213,6.82636327820877,2.76240975568159,0.12510998204828
MRPL46,6.98285980438023,6.7780897422203,3.14069859797369,0.104421619443738
TEAD4,6.75106834787285,6.5786209746618,2.60282847130244,0.135374304736737
FABP7,6.62655919277575,6.48330167119254,1.87744262687777,0.19832842326021
SMUG1,6.55007626487151,6.40383963175578,2.1570169881394,0.170326643223248
LACTB2,6.47032399150271,6.35158170588449,2.94855534935067,0.114344205453684
CCDC149,6.38525156976308,6.2796966145863,3.03256162354296,0.109867064466118
HAUS4,6.35907286565128,8.6693890594165,7.47597543429844,0.018313879839758
CRABP1,6.32958215320531,6.2355875245122,2.11613212281395,0.174085866473752
SGCE,6.22740714258884,6.15890944927864,1.77877187079864,0.209640646259032
GTPBP4,6.10524341934167,8.41310868547796,11.5256540949076,0.00541398882611664
SFRP1,6.08083536797337,6.03562226766929,2.59532134458332,0.135882932292979
CARNS1,5.94226670346608,5.89808172842972,1.67217682944654,0.222841119457529
CHCHD5,5.9285048195788,5.92893017112832,2.80065745965767,0.122797178477272
SDF2,5.91844435523526,8.22379311934771,3.54893476756283,0.0843636876994184
KCNMA1,5.80138834629256,5.83546843299958,1.80668265611726,0.206356315470812
HTRA1,5.73790554743425,5.7880864357321,1.66056528248523,0.224345208108886
TBC1D2,5.6958557136033,5.72957875337327,1.85970336459331,0.200301826096805
CDH26,5.46308813025716,5.59505520180776,2.0964644214024,0.175932495049211
NTPCR,5.36119552258615,8.483194074139,5.24936628317207,0.0411160446989981
PLAU,5.18242332237073,5.40578195363009,1.53317469923564,0.241777293311415
ISG20,5.16462282622363,8.28547534128954,8.18470498396476,0.0144982791948187
FBXO2,4.99510508240768,5.26292246098129,1.9277062297811,0.192873652565002
UGDH,4.94160091802073,10.2635973739367,3.44474220135554,0.0884971622769497
LBX2,4.40449346009321,4.94899254819441,1.81797819537331,0.205046455889947
SNRPG,4.37721701541679,8.07845575254501,7.88588776555752,0.0159795816912904
COL1A1,4.34431266341597,6.75883633872267,1.64179429479261,0.224601563952801
EIF4EBP3,4.20242139360161,6.62610959986794,1.49229126808549,0.245622773885058
KRT86,4.16683100905449,4.82804805268555,1.29041189671699,0.280458384224625
AR,4.08586443583843,4.76646150315101,1.40125672288091,0.261817125082124
CCDC34,3.99774757996867,4.74556329832995,1.95152656147523,0.190357161360458
RIOK2,3.98974131277375,7.26239238486798,1.63134248332253,0.225991511113626
ANAPC16,3.96023171720791,8.99399942283164,6.05046247106448,0.0302903471738055
GPATCH4,3.87333634014661,7.51754356083137,2.07627913895235,0.175518915680573
PRRC1,3.82124477605104,9.93248721493682,6.01303893280262,0.0307136640654388
S100A2,3.79986545068062,4.65586137870619,1.30776635662929,0.27742099111239
CTGF,3.7460940195717,12.0865889683865,1.16157048996096,0.302605111584444
EXOSC9,3.70125176725564,7.93962517571939,1.72515409860208,0.2139100421646
FRG1,3.4985137330804,6.85852157533742,2.00049219739857,0.182998436101406
UBAP2,3.41370092467406,9.12569425383304,5.66011563153309,0.0350736920366797
MAOA,3.39839533967825,4.49666330111738,1.07764433142417,0.32182278671864
SPTBN5,3.22080892220884,4.43849881359531,1.04068171438279,0.329886678125679
ZNF326,3.18117653212258,7.93504223208701,2.68760441207524,0.127406271152956
KNSTRN,3.15764470102774,5.80866436047782,1.0448188911877,0.327131613495256
FN1,3.04752518926018,4.3828680149475,0.9947913359932,0.340313596354662
IMP3,2.97996575059239,8.40639223936512,3.34191867554712,0.0928220763233249
MGP,2.96897495985291,10.3723769152069,0.747529375297968,0.404433449070768
EEF1B2,2.96170976595046,8.3899374347727,4.31540236732874,0.0602072117008902
