,logFC,logCPM,F,PValue
IGFBP3,9.82395125813955,9.69789914071135,5.18495026842682,0.0426968772259259
CRISP3,9.7698118725929,9.64493996449631,3.61998000656233,0.0823070729968406
COL5A1,9.73154507258918,9.6075389172658,15.5090913628249,0.00211533867774171
KRT80,9.33206955004852,9.21839909005952,9.5416373381394,0.00977216495769355
RCAN1,9.29190188843034,9.17972282684649,5.18975429383554,0.0426165761620575
MRPL11,9.2838825228688,9.17172057810731,15.3033983116994,0.0022156309934017
AGR2,9.02870517261944,8.92401082512953,3.48765316640234,0.0873989035112106
NNMT,9.01019445384892,8.90787748480333,3.33152123119329,0.0939139319541598
CPE,8.58269631301845,8.49871773088068,5.76021985981862,0.0342477798504362
AIF1L,8.5071280998363,8.42602687273696,5.63955583738679,0.03584034497144
GOLM1,8.47000179217519,8.39179864170303,5.90997197648019,0.0323875947361977
PIGU,8.17781984915132,8.11559510491671,5.17067540468753,0.0429365629692766
C15orf48,8.15178633247083,8.09039689587437,4.00209770027335,0.0695120621578479
AFG3L2,8.10044816877718,8.04397239936881,6.16888313305398,0.0294486115431607
SMCO4,7.68351169178563,7.66017036512039,3.80500656917725,0.0757818052186812
SLC39A4,7.5894719013016,7.57258326888602,4.09809773507386,0.0666875500285642
MT1X,7.48536745839785,7.47442586770782,3.37688361484645,0.0919612702848035
WLS,7.34121014163744,9.5372739916722,14.5323792103769,0.0022906194760352
GNPDA2,7.29531559323772,7.30973936425897,4.57308421408318,0.0545994528654673
AREG,7.20975343736142,7.23384537975409,2.39911236370354,0.148355938671343
MRPL46,7.14335560010975,7.17698534363541,3.15040381780097,0.102238521937194
PRSS23,6.99617305271259,7.04857015867983,2.79487893701446,0.121412315103004
TEAD4,6.75608878849772,6.84439140332766,2.66323464492446,0.129635345582542
ACADS,6.61828028617682,6.72994005471562,2.53348561729195,0.13843473019382
UACA,6.546275668931,6.66782388468969,3.32552325496825,0.0941759250456883
CHPF,6.38544949355663,6.5363639473068,2.39783736670258,0.148454308010741
ERRFI1,6.25321586373176,10.7011239342703,5.97067826795564,0.0301668188999192
BMP4,6.23477826085206,6.4051743230113,2.16130109765228,0.168233565971224
SLCO4A1,6.23306781738711,6.41340547410591,2.18855846364127,0.165789478343526
FUT11,6.14843179825762,6.34800749530186,2.14299538213707,0.169900924046069
TRMT10A,6.12948792105703,6.33191133629941,2.1496215128985,0.169294954701366
KCNMA1,6.11977094391576,6.32344656909105,2.02231270502539,0.181441732199086
ALG1L,5.99912539038624,8.22609395006288,4.82133670580425,0.0475673436415857
DSC3,5.94944277585071,6.19246009088602,1.85673582900592,0.198980094906662
ITGA3,5.90312668200759,6.15799778534634,2.65287130050143,0.130311877073205
F3,5.90196645099108,9.43666559395247,2.52665894538274,0.136800085855879
SLC9A3R2,5.85693697506138,6.11186807007813,2.56392040333867,0.136304907476973
NTPCR,5.84460053547939,8.87289448558794,4.89393612597348,0.0461635131075177
C1orf226,5.56788086955239,5.91262579852381,1.76904189347821,0.20916802603179
IGFBP4,5.37520105474375,5.78063201984144,1.96535124516757,0.187240307014579
PLAU,5.32884162797355,5.75202503582949,1.73485850479955,0.213324502349481
GEM,5.28479453894262,5.71774913088813,1.72319413217178,0.214767673322974
TUBB3,5.20850575874399,5.67106805125477,1.83837583695005,0.201058432192802
CTGF,5.20536131275474,12.4967535691772,1.85963744628481,0.196627462410326
COL6A1,5.18814727696392,7.47010295478003,1.7890740859498,0.204774671116877
SERPINA3,5.14998598237127,5.63388989832668,1.70515363355157,0.217025189333453
ADRA1B,5.14998598237127,5.63388989832668,1.70515363355157,0.217025189333453
OLFML2A,4.86980104518808,5.4641083050635,1.66239716015418,0.222502208693339
PMAIP1,4.8180382328078,7.13555915640741,1.56103530360785,0.234313799236194
PLAUR,4.73859430520433,7.06158680764992,1.25137127288208,0.284245778116403
CDA,4.58740009884085,5.2934682329214,1.75619832175875,0.210717122316801
