,logFC,logCPM,F,PValue
IGFBP3,9.82395125813955,9.69789914071135,5.18495026842682,0.0426968772259259
COL5A1,9.73154507258918,9.6075389172658,15.5090913628249,0.00211533867774171
KRT80,9.33206955004852,9.21839909005952,9.5416373381394,0.00977216495769355
RCAN1,9.29190188843034,9.17972282684649,5.18975429383554,0.0426165761620575
MRPL11,9.2838825228688,9.17172057810731,15.3033983116994,0.0022156309934017
CPE,8.58269631301845,8.49871773088068,5.76021985981862,0.0342477798504362
AIF1L,8.5071280998363,8.42602687273696,5.63955583738679,0.03584034497144
GOLM1,8.47000179217519,8.39179864170303,5.90997197648019,0.0323875947361977
PIGU,8.17781984915132,8.11559510491671,5.17067540468753,0.0429365629692766
AFG3L2,8.10044816877718,8.04397239936881,6.16888313305398,0.0294486115431607
WLS,7.34121014163744,9.5372739916722,14.5323792103769,0.0022906194760352
ERRFI1,6.25321586373176,10.7011239342703,5.97067826795564,0.0301668188999192
ALG1L,5.99912539038624,8.22609395006288,4.82133670580425,0.0475673436415857
NTPCR,5.84460053547939,8.87289448558794,4.89393612597348,0.0461635131075177
FAM162A,4.06640058451529,11.3021013661845,7.62091279725154,0.0166566040709984
SLC2A3,-13.3629092745054,11.4078695086647,30.9124002803176,0.0010676062586584
HBG1,-11.9812277340836,10.0408914158417,26.4493120585212,0.00163492829535624
HBG2,-11.5406075138895,9.60867942700645,23.9445623065346,0.00213332130773027
PDE2A,-10.1881122186152,8.30488549453708,15.5065826284685,0.00641558741814608
PROS1,-9.82494711637546,7.96413290726347,13.5498395557877,0.00882869237185945
SNRPN,-9.73300481287384,7.87876387231325,13.1410544973904,0.00947722571016948
ITGA5,-9.06441015731743,7.27162276976232,10.474835931331,0.0157062245762138
GRK5,-8.85828634482434,7.09031611696104,10.0382972641264,0.0172002738041237
TGFBI,-8.53557016140877,6.82581197738043,12.3547903518703,0.0109111198707999
AVPR1A,-8.1071124728699,6.46076459345599,8.62354281638288,0.0235382026411943
DNAJC15,-8.03680126241599,7.84075510305045,15.5828460303546,0.00178142559330257
ITM2B,-7.8543750272663,12.31687055274,13.6928102156609,0.00282219497772798
LYZ,-7.81680178774149,6.25326555157291,8.26579505746888,0.0256136396040447
CPNE8,-7.4714197421733,6.96080812575451,10.4340492825583,0.00684731775064347
CXCR4,-7.18256021057978,7.51001306186973,9.41087964790843,0.009316076753509
