,logFC,logCPM,F,PValue
RRM2,10.8889737670548,12.5180930469991,6.88811109937355,0.0150975191481121
UBE2T,8.60630735723532,10.2939764837102,5.59904316066837,0.026699333138952
CDC45,8.32927128759962,10.0326053444928,4.36346805485743,0.0478870076231353
ENOPH1,8.11012000859586,9.82638051261887,5.283432112135,0.030876879331095
MT1X,8.04960592911233,9.76516557916264,3.85218178070777,0.0617919168050828
RHNO1,7.95260946962445,9.67710136957426,4.09305497567295,0.0547399942458571
EXOSC8,7.76802112215061,9.50909544680938,4.1726019040761,0.0526152031283776
SLC39A4,7.76405330436253,9.50246045564932,3.83355660323656,0.0623788517230167
ALKBH1,7.17239567929506,8.96852797736531,2.92183187377292,0.100744461644456
TMEM42,7.07842064437556,8.89161842140432,2.23669433304572,0.148259814902437
KIF20B,6.93170325533499,8.76780060686739,2.5087764075466,0.126762866148032
CDCA8,6.90900071714834,8.75339540309838,2.5521266832258,0.123689361040811
BUB1B,6.85303086896278,8.70535835705427,2.49732657459467,0.127589640260625
ERCC6L,6.75583242431939,8.62354026186524,2.44872499482536,0.131170794894748
CENPI,6.58029138463224,8.47861848040323,2.33380080278972,0.140123606613757
CENPK,6.48336695003026,8.39216249879635,2.41843382837201,0.133462960320296
RAD54B,6.45540887046431,8.37541384646241,2.35091869674484,0.138745118992714
HIST3H2A,6.45102376432108,8.36057632130534,2.02640636167475,0.167907046774088
HIST1H4C,6.34314308074047,8.28185207262464,2.19995767255335,0.151484278255689
SPDL1,6.29675226342947,8.24540071829035,2.42505429645349,0.132957955933326
AURKB,6.18804294235644,8.16535191038094,1.89022953435458,0.18232083223035
NCAPH,6.05325042191117,8.06058010754755,1.97644196596379,0.173028699142009
GINS1,5.99505796932701,8.01299356013159,1.97650479322161,0.173022140767811
CDCA3,5.8089785945577,7.87721766940044,1.80011784645595,0.192694695575283
GTSE1,5.70232316380802,7.79870371608149,1.92575116377379,0.178420265088811
CKAP2L,5.61878054094838,7.73546116274658,1.97435743863616,0.173246469030349
CDC25C,5.35268569347499,7.55111077921148,1.90402987150667,0.180793182107751
CDC20,5.32230796794282,7.53316199380441,1.81968948726744,0.190381139130694
PAGR1,5.25821548001276,9.54929849033082,2.6768512814242,0.114768276238299
MND1,5.25400778522647,7.48574484222924,1.92822945809924,0.178151950071175
SPC25,5.20242711363846,7.45471969553609,1.74030532603367,0.1999834096612
KIF14,5.14985227770699,7.40391692791851,1.84651390698798,0.187265478039204
KIF23,5.12462755567556,7.38997861632178,1.96491056626265,0.174237569459886
EIF4EBP3,4.95139213127498,9.2562288060113,1.66455053512406,0.209192079057467
AR,4.8055029165184,7.17148521719353,1.6497779893858,0.211677687471569
UHRF1,4.69115846191638,10.6526962473114,2.72132076172461,0.1119480797749
NUDT1,4.55052347586797,7.06127747428202,1.55045468854292,0.22550914562291
OIP5,4.40550843946949,6.98228588092387,1.62193275771189,0.215445269371519
CCDC34,3.94782492538695,6.7532950667867,1.67962121573366,0.207730713849592
YEATS4,3.94767932487154,9.03149177397625,1.3077278101777,0.264001819549136
APOBEC3B,3.93042063298863,6.7504074176408,1.40917489851478,0.247216471954252
LSM2,3.77895870354155,11.5227755462258,4.58941481460315,0.042442685560045
KNSTRN,3.41176422963722,7.96953990677143,0.86435422030987,0.361712093638615
GJC3,3.39672592575922,6.53003238407941,1.22265575240247,0.280184413469209
TRIP13,3.2635642462713,8.52404739759235,0.863942045347498,0.361824609003472
CTSZ,3.01678061532148,8.7455452882624,0.679347316653564,0.417867835262166
DHFR,3.0135785970491,7.68600007837865,0.819673246050739,0.374208688387555
RNASEH2A,2.96055267368789,11.9833663029452,3.44850813833822,0.0755314686154156
NOP9,2.90424860225315,11.2085357542651,1.99862766145882,0.170187460764536
RPA3,2.82210309104298,10.209070322763,1.69425674820495,0.205305640096749
NCAPD2,2.80791872589224,7.55653344355258,0.598614381338826,0.44660583895829
NDC80,2.80749859358823,8.91348385170251,0.644140806125986,0.430033434983846
H2AFX,2.66940086715321,9.46524278247828,0.767748767957887,0.389536057065454
MASTL,2.53592767992093,9.19461570681954,0.672281324370679,0.42026644489928
KIF11,2.51762358661332,9.7891190877511,0.893762426986175,0.353811529300338
LRR1,2.50229108089472,9.90169262007027,0.907738641860123,0.350142658386181
COX17,2.48731670190984,9.88612593453964,1.16887292712076,0.290298002322741
PSRC1,2.31422749964737,7.77315349083832,0.446322262998607,0.510413713461801
MASP2,2.24960414642127,7.73975339580259,0.434523941113212,0.516006448103706
CKS2,2.24459441914935,10.7232331466998,1.03576156220445,0.318884602983998
FIGNL1,2.18030350917118,10.534024773577,0.88246782180831,0.356816462167435
CDC6,2.15990434613514,11.0287901755068,0.76443294007829,0.39054607011359
NDUFB6,2.10711278150989,12.5347285653626,2.50451976185564,0.12651309117417
WDR34,2.06064620735839,13.6114892416599,2.06120626919484,0.163901268586112
NEK2,2.04901254476867,6.1741273565745,0.829444116573721,0.371806997135503
CHCHD10,2.04021292256575,9.48823863608157,0.671991262872111,0.420365361291142
LMNB1,1.93057349581661,10.2468542828705,0.530310050895127,0.473470258134461
MRPL22,1.89507705087962,11.5146450231837,1.25384499843311,0.273818849443155
FAM200B,1.89200633269776,8.61866260689836,0.367911140626587,0.549797964047657
RPS24,1.87395884222337,12.2902325995657,1.54278715107466,0.226115750811483
AGAP3,1.84192925843357,9.96206557006004,0.554728687176683,0.46356984841294
RPL23A,1.79353495910194,10.1242423247898,0.72266565929458,0.403609943696993
SHCBP1,1.77110103643877,7.80769325304607,0.300439639532132,0.588631895634389
MAD2L2,1.76711789769909,10.3359190976433,0.779038276597487,0.386126059089044
DTYMK,1.76326498304919,9.36438607583626,0.409766108442658,0.528107732184925
PIK3AP1,1.75510669926006,6.12840126056899,0.713346289284821,0.406967940263956
SSRP1,1.74900509165221,9.64029406861268,0.532299018380262,0.472650782901139
CENPE,1.74830931133379,7.41259901852786,0.274805172435081,0.604899036774785
RRP1B,1.7412072337639,10.5798730228905,0.767799832477744,0.389520532902209
PRC1,1.7000910282695,10.5247561668042,0.500949236922116,0.485850012307011
FEN1,1.69458778804923,11.0780312654528,0.772321270927982,0.388149589015359
ASF1B,1.62159255578125,11.6488509160534,0.560047985436262,0.461458361104793
MDH1,1.60159935462099,12.8841056044339,1.22275013396087,0.27970238792935
SEC61A2,1.57989452184185,8.98544955121998,0.29480556355165,0.592127539792294
UQCRB,1.56312977288712,12.0414599473449,1.3938108322069,0.249245846236811
TAF12,1.54912958787742,11.0077093478046,0.938063571807653,0.342364755261746
SEC61G,1.5244586384688,12.1366066694218,1.35831619491083,0.255197722463905
RPSA,1.50286960014696,11.7339456984035,1.0914400315444,0.30648442826206
TMEM97,1.49881958337358,10.6337618423814,0.590282840087163,0.449748504136041
PRR11,1.47828264779953,7.8985470735919,0.213462484585398,0.648196993840094
RAD51AP1,1.46014431600495,8.62413936031148,0.228292670234222,0.637083670367126
NCAPH2,1.41713814793138,12.3435324447716,0.964223818719342,0.335848428859004
