,logFC,logCPM,F,PValue
RRM2,10.8889737670548,12.5180930469991,6.88811109937355,0.0150975191481121
UBE2T,8.60630735723532,10.2939764837102,5.59904316066837,0.026699333138952
CDC45,8.32927128759962,10.0326053444928,4.36346805485743,0.0478870076231353
ENOPH1,8.11012000859586,9.82638051261887,5.283432112135,0.030876879331095
LSM2,3.77895870354155,11.5227755462258,4.58941481460315,0.042442685560045
MYL6,-2.0732120003201,15.2077732067017,5.64319047640464,0.0257894079012987
ACTB,-2.84403721734098,17.8480490607804,11.4359383571892,0.00244831537974534
FAM83D,-3.35573530484503,11.7202487216484,4.92077905605623,0.0361740314350335
TUBA1C,-3.38742947837313,13.8373559695275,12.0161517547542,0.0019863574761975
ORAI1,-3.86671037349028,11.1164340807043,5.16831347750153,0.0321658822116596
TMEM176A,-4.22036677345712,6.29070950914896,5.10572035750656,0.0363535739800684
GATM,-4.25348309638514,6.27738014589333,4.86702460199654,0.0404718876866653
TMSB4X,-4.34237388391386,14.9350835046913,12.6467458092082,0.00158958047393053
PTN,-4.55865903110821,6.34792304520521,5.64048352456948,0.0287498756616811
KRBOX1,-4.82789401463357,6.41008279354512,5.63701201858739,0.0287929994701589
LAPTM5,-5.40288233194925,12.0731395886109,10.175076191872,0.00391244643397079
CYBB,-5.83547591999198,6.81249285012408,6.94406401906564,0.0167133878955071
SPHK1,-6.0444557674853,11.8886364079654,10.3668349772915,0.00363839083717116
TACC3,-6.13921575911732,12.7951377330107,14.4201837008173,0.000869114321450018
PARPBP,-7.11763628580904,7.52402451086241,8.27729453462595,0.00995876795988495
AIF1,-7.32702664823203,7.63012290722295,8.58785955794492,0.00886890879361737
GSTM5,-7.47531482500168,7.72283454798352,8.06851364060952,0.010776019255472
CCNB1,-7.93533398315802,8.11625971944056,8.65887541104537,0.00863895712668064
RSAD2,-9.64782963629789,9.56406105061731,17.1202651216316,0.00060682008922241
SERPINE1,-14.8663183716026,14.6768425105293,59.1339974788349,4.01141091777837e-07
