,logFC,logCPM,F,PValue
TEX30,9.55787132208962,10.6986378492817,12.4316329690622,0.00269220145301237
CPE,8.62107856389277,9.79522017919479,6.964475546164,0.0175248086730599
SNRNP25,8.25128046616103,9.44490221933942,8.72707066507787,0.00908905822069432
VPS16,8.19566417899117,9.39295054353946,6.12001451720611,0.0245534939798183
SLC25A12,7.67579537331989,8.91133194796411,3.95759857494175,0.0634828443323134
NCALD,7.66995519202034,8.90699688466263,4.80462616291237,0.0430264186596793
NRL,7.24892032694503,8.52490766742873,3.44132746042851,0.0815220880841885
TNFRSF18,7.18925871549061,8.4720703477039,3.37699821024421,0.0841687789308238
SH2D4A,7.16291025720575,8.45147404665784,2.99682662151792,0.102061704106864
ATOH8,7.0266961971506,8.33361519874831,2.65495394649919,0.122148058472792
KLHDC8B,6.94604492704817,8.26575627169588,2.74344091073395,0.116525647422043
ADM5,6.75962741858796,8.1012055871511,2.52237523956189,0.131197762372928
TMEM45A,6.72141834434522,8.07214913782202,2.28022192029511,0.149925389556084
AATF,6.70285684297764,8.05754357619527,2.8772702157819,0.108601051260505
ADAMTS15,6.68753457807145,8.04466166798335,2.51368979731534,0.131818463281539
SERPINF1,6.45431378004368,7.85167744310183,2.60170567114565,0.125689135068259
BMP4,6.35120378536347,7.7583737951386,2.34519342140977,0.144597190686432
MLLT11,6.26890119530643,7.69417122699123,2.32363017440482,0.146339486022207
KCNMA1,6.12796911664341,7.58964190416691,2.18588293237414,0.158097560867629
HTRA1,6.02375159840174,7.50913495154358,2.05238642383099,0.170622474419845
ITGB6,5.98504988172428,10.1755543936216,6.65915831977637,0.0191310576348252
OPN1SW,5.55497330269359,7.15219233876947,2.37022627004858,0.142606219522065
PMEPA1,5.494873539558,7.12444120085504,2.07628927726156,0.16829198920586
SLC25A25,5.46227684957773,10.8762735597413,7.79777617634308,0.0122501322368443
IGFBP4,5.43194970301985,7.07752604324082,2.0798343743356,0.167949717571756
SOX11,5.39514086911727,7.0396998494193,2.04764476931801,0.171089526030363
LAMB2,5.35761318877309,8.8030687210894,2.32267428424681,0.145350353967275
RP1,5.33996322218565,7.01949270872171,2.05624841013838,0.17024323871927
COL6A1,5.31607259651337,8.76466026931049,2.07337570938052,0.167522091842341
HS1BP3,5.21730750800835,6.93761775742405,1.88627011373082,0.187979464438091
FBXO2,5.16851661033142,6.89081660136605,2.19344685033795,0.157422458897487
TUBB3,5.1107676076193,6.86896967491832,1.97841519740638,0.178093145054494
TMEM86B,5.10422568098907,6.86012755510356,1.87118992528327,0.189662310911365
NAT6,4.97081624082415,6.78086970143844,1.86133532937781,0.190772250873792
SPAG4,4.91084205889982,6.73174653242449,2.13157333942509,0.163051120766962
PMAIP1,4.89811907732359,8.38721969353402,1.70029508359841,0.209124855574357
APOBEC2,4.67284063671643,6.60029347649148,1.82378747422611,0.195076981099139
KRBA1,4.57745922641446,6.54781073700247,1.81271267916228,0.196369996901841
RASSF3,4.56590142064776,6.52835958667749,1.80019707384462,0.197844282070415
TGFBR1,4.48995889552831,11.3430042390995,4.88144803850774,0.040724378805992
PTK7,4.48438735280478,11.1500767278827,4.46064225651468,0.0493270223533387
