,logFC,logCPM,F,PValue
TEX30,9.55787132208962,10.6986378492817,12.4316329690622,0.00269220145301237
CPE,8.62107856389277,9.79522017919479,6.964475546164,0.0175248086730599
SNRNP25,8.25128046616103,9.44490221933942,8.72707066507787,0.00908905822069432
VPS16,8.19566417899117,9.39295054353946,6.12001451720611,0.0245534939798183
NCALD,7.66995519202034,8.90699688466263,4.80462616291237,0.0430264186596793
ITGB6,5.98504988172428,10.1755543936216,6.65915831977637,0.0191310576348252
SLC25A25,5.46227684957773,10.8762735597413,7.79777617634308,0.0122501322368443
TGFBR1,4.48995889552831,11.3430042390995,4.88144803850774,0.040724378805992
PTK7,4.48438735280478,11.1500767278827,4.46064225651468,0.0493270223533387
H3F3B,-1.92541558318923,13.219786247469,5.23852284512161,0.0347576233629593
CD99,-2.23766052404792,12.1086041644478,8.26015813974761,0.0102956046331865
FNBP1L,-2.51169208762404,10.6075051626732,5.04188868851572,0.0379088595385294
JUND,-2.68655840994806,10.0949995167774,5.25576809017068,0.0344958756397035
CTSA,-2.72644492037027,14.5034275851455,8.8865965757769,0.00818475430978404
CWC25,-3.15869944965698,9.95969614256722,4.81887270931969,0.0418870591734122
TMSB4X,-3.55837687037666,13.6100217825498,8.33955620616397,0.00999674215226387
CSF3R,-4.42263334449404,5.83304492243194,5.90733206870535,0.0324733347559492
PLEKHA4,-4.63405587793561,5.88570928852353,6.15306418050638,0.0296707936672943
XK,-4.85544361463962,9.70864608113246,5.8780648967153,0.0264012322673818
DENND4A,-5.00745555516364,11.4378640801616,16.8655072776912,0.000696068764152967
RASL10A,-5.12856672985715,6.03275023945162,6.66661865525683,0.0246932805520742
TRANK1,-5.2748078098797,6.60378498641135,5.83949417831494,0.0268346681416399
ARHGAP4,-6.2097183646974,6.47017159974521,8.2259854277951,0.0146669676265631
TNIP2,-6.48827048502472,8.77600779240235,7.77982909426945,0.012334045117085
SALL2,-6.84090412150641,6.82463852440672,7.67510142765791,0.0175280567587552
CXCR4,-7.06648313761712,8.68444168040092,9.43107357153672,0.0067406669028068
TGFBI,-8.41849024619398,7.99209874184363,11.5584084737658,0.00557108655396783
MAOB,-8.41872130721088,7.98216047413074,9.85894256557495,0.00893270177721827
