,logFC,logCPM,F,PValue
GJB2,7.63697063615753,8.13476102709655,7.63706297429295,0.0216332214897255
TGFBI,7.39520887785615,7.94472674216939,7.698133419743,0.021243451536922
PLAU,6.96797485374364,11.1034888154877,6.81217108657151,0.0204230608624405
TMEM37,6.26086883663904,7.07029576119799,6.28138001182298,0.0330894878260655
TENM4,5.91664032595418,6.83221641144084,6.13669447798649,0.0347162372477453
DLGAP5,5.52012910117244,8.85522625100038,6.6279363208921,0.0218904793286145
GPR63,5.45278346598991,6.53911989670805,5.37843046213346,0.0450702767495091
CCNA2,4.01942713064596,8.51119178161595,4.42781442442001,0.0536910570580801
ARHGAP33,3.29635861238063,5.65281141997141,4.67516133953386,0.058334526043138
ITGB8,2.90976134964205,11.0808414907413,3.75210689612457,0.0729514042268405
SLC6A14,2.47011075351573,6.98769751665428,1.33513077033405,0.267019030814323
RPL39L,2.42603949943227,9.15906586209286,3.56866766896653,0.0795327236705174
IGFBP3,2.38031200230878,11.6727076799266,1.22715705214406,0.286422207264883
TUBA4B,2.37741810045456,5.47716600013493,3.11507217147394,0.110799619302079
AATK,2.16381968451987,7.79161310549227,1.2518172108195,0.281826001762885
CETN3,1.75397595713921,7.431252706987,0.9009972599317,0.358433586997319
KRT81,1.60560119325387,15.2953872656552,1.14427893664747,0.30264508173854
TRIM36,1.34551270060716,8.22766734628761,0.401543277825752,0.536394742297322
NTPCR,1.26076309994536,9.85139168101411,1.7691127070441,0.204517736992907
CST3,1.25571362662972,7.54995370294225,0.422092098059257,0.526293954927633
CD81,1.24201816214546,11.2818132464051,3.45995371647148,0.0837681746988935
CPXM1,1.21189934550452,5.35625676875514,1.83913959726864,0.250070662656287
FDX1,1.14406039650473,9.17543663769992,1.04989455444083,0.322717175466319
MEX3A,1.04098214943474,8.49676854577208,0.57211940365656,0.461816791311793
AURKA,1.00877977682358,9.67581129338539,0.314218270273507,0.583863659530165
SDSL,0.998860833970863,8.34970758978168,0.303064789196957,0.590546670033401
CITED4,0.995657744301033,11.3926313602876,1.79264868014059,0.201701377753322
MRPL46,0.977525166723838,9.89280132692236,0.755749970891217,0.399157310710575
MRPL22,0.858720392145428,9.74992142446346,0.582840262676373,0.457732379888971
FARSB,0.85597502072674,11.2201860055412,2.11624911450481,0.167549306506079
S100A10,0.83109551094166,13.6379679267576,4.71802984321761,0.0473076799819791
FIBP,0.825420435960909,11.2398947138301,0.767906094874819,0.395487776635306
ARRDC1,0.802693262931131,12.8446088598108,2.88201681165535,0.111431628806779
RPL23A,0.747541864284908,10.3654597408467,1.4546280647286,0.247551575258775
TMSB4X,0.713562305756032,14.815452933497,3.34538474687446,0.0885277001043423
NDUFA8,0.681180620423977,10.725518243195,0.525794517101889,0.480191845229836
NTMT1,0.647310211379423,11.1696577183615,0.880871797012009,0.363696356538353
HMGB3,0.614792983233301,10.3456248016185,0.47502153421306,0.501823751052085
GIPC1,0.611801421416488,11.2257458578953,0.497710152634895,0.491950834422123
RPS14,0.574415302216839,13.2866910185114,2.595962356525,0.12919417457728
CD99,0.56995007224227,11.3019680004823,1.42585208679181,0.252061831316346
ACTB,0.561858459050532,17.5137632866711,2.85404035053343,0.113031517109321
RPL38,0.55232746339957,12.6465037916451,1.1295116407122,0.305668248846201
FAHD1,0.549691252253875,10.2425849197252,0.328208451671596,0.57570034225322
CRISP3,0.544629972029057,9.283674648151,0.0999160412840183,0.756541427306278
GSTA4,0.522043159832886,10.5661485515557,0.131794743291473,0.721940109434105
RPS8,0.516826236998354,12.8489042284826,1.66747760018976,0.217277959162973
CSTB,0.512668338388942,13.3651549344095,1.77996899553157,0.203212422385426
MRPL17,0.509331971020086,10.4335183730053,0.266952677812836,0.613357489641831
TUBA1A,0.484667351094349,14.1541654098837,0.769023951962238,0.395152927901889
PPIA,0.48353187134091,13.318656007036,2.06667666907527,0.172278506443135
SEC61G,0.479793841730797,10.8071787482975,0.888033781668737,0.361810563902329
CKS2,0.477678715110684,10.3795022979647,0.235673909078567,0.634773132121894
RPS24,0.466036033611718,12.7837465790209,0.654228352871708,0.431985041465023
APOO,0.430615049816996,9.45483535314566,0.122201512818098,0.731803072270697
NDUFB6,0.423375422216311,10.9755380319221,0.276072923508485,0.607416549133064
VIM,0.416174455754309,12.742164195709,0.263262562499772,0.615798212939004
CRYAB,0.383898407328608,9.66988509290795,0.0499369531734394,0.826364575439565
MZT2A,0.374484490548292,9.58248280545841,0.150661336147412,0.703676739273413
REEP5,0.366477101444531,12.5846513397683,0.802630807932583,0.385284312604941
HSPA5,0.3393552570602,14.4035828169535,0.215937011539981,0.649217614075316
