,logFC,logCPM,F,PValue
GJB2,7.63697063615753,8.13476102709655,7.63706297429295,0.0216332214897255
TGFBI,7.39520887785615,7.94472674216939,7.698133419743,0.021243451536922
PLAU,6.96797485374364,11.1034888154877,6.81217108657151,0.0204230608624405
TMEM37,6.26086883663904,7.07029576119799,6.28138001182298,0.0330894878260655
TENM4,5.91664032595418,6.83221641144084,6.13669447798649,0.0347162372477453
DLGAP5,5.52012910117244,8.85522625100038,6.6279363208921,0.0218904793286145
GPR63,5.45278346598991,6.53911989670805,5.37843046213346,0.0450702767495091
SOX9,-1.78607523384468,11.8925921870378,6.51485313262796,0.0228518188089753
KRT86,-3.68681719016295,11.3389464611244,10.3613516066579,0.0061063596669351
CYP1B1,-4.19437620261327,9.0889242166773,5.03802433970091,0.0412774707761078
ASB14,-4.77111909123135,6.16946410914049,8.52037507989006,0.0167508649943205
CCDC68,-4.92685526053645,6.24627142343363,5.8819950785522,0.0378282895402334
KRT17,-5.40413236075732,6.48946071443755,5.4851041469886,0.0434012390280075
C15orf48,-6.31439580030977,7.09596710162026,7.10578972236103,0.0254252931273449
NNMT,-9.44801004355365,9.81064020130946,12.8281126094911,0.00574870554553942
