,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
MRPS15,7.17349274463907,7.28171143356402,7.29296375075197,7.06420319434458,6.35414652660354,5.23778356737849,6.33691099594191,6.69276558979112,7.78308322651829,7.56566643021754,5.60704623847877,7.6627993723268
CITED4,6.62689404130874,6.92816137595349,4.73684483790472,6.49881665563982,6.83254104625445,5.48788579042308,5.52466604620375,7.3447666178512,6.11796163139337,9.40431654741964,5.80794311123862,6.07094779962661
YBX1,3.86401321800044,4.65285771429078,4.12916472519802,5.28822871256432,4.66223132880189,3.61166830142447,4.03147591614999,3.68043162641402,5.45229957873779,2.32468250927375,4.23277630190898,5.37595584071976
KIF2C,0,5.88204465210337,0,8.27218121100461,0,0,0,5.76006893958714,5.45229957873779,0,6.15778879504552,0
RPS8,7.73558274058359,8.62920476475433,7.94629400718842,9.1535285803174,7.93194617117369,6.56795817664599,7.71988962637508,8.68917055932176,8.37285998017101,9.49127744246763,9.38839359503731,8.67676471101093
ATPAF1,5.0846281814892,6.66176897147661,0,5.38311609083866,2.29943626996893,0,4.49147351534777,1.57054010331741,2.07338377137902,0,4.87384160551323,5.37595584071976
BTF3L4,4.59973482165042,7.63722674247693,5.60473917498419,7.46935219304827,6.06394688204811,3.19582875674045,5.31810172857486,6.42150661898076,6.53890273176521,5.75826602943722,6.5921700179192,6.26885539363139
DHCR24,6.61268471667661,8.26011682371971,6.79429153542492,10.2551512849733,8.18235386580535,4.98237567708231,9.18323882635199,9.19993569773288,2.40007390882571,9.42128968550822,9.39013443346617,6.47527745335644
TMEM56,0,4.72051355606615,0,5.68575733820348,2.29943626996893,0,0,0,0,0,5.42882197271773,0
ATP1A1,8.90830115404319,9.39090431260269,9.59388821174429,7.72621069623778,9.66290996669247,8.24333135378265,8.56484192160026,9.72148886612342,9.4566450501344,8.72111045363361,7.91963497372544,9.31193817674435
S100A10,6.83704964647232,8.89383141735449,9.07423926817831,9.30662387504725,8.49625307291499,8.39096544477523,9.60336206573411,9.70114536527708,9.23386275014657,10.3839006829556,9.48929474514481,10.0506871019809
S100A2,0,0,2.7003335593274,0,0,0,2.61297481387861,0,0,0,0,0
ADAM15,7.83072641746247,9.0630122038636,7.44489010465129,8.1289345318326,8.95658941752688,6.3863097932031,8.95234481064645,9.01452720869625,7.92951668493552,3.46256122786937,8.45017068055324,6.72486158244491
MEX3A,1.55446638600676,3.83653614959722,4.12916472519802,0,5.0853520604343,0,3.93822812717646,3.43972875942138,2.07338377137902,5.2128026382639,3.30753823492077,6.35847958612303
TMEM79,5.81279709640754,7.01155492811348,5.80723170127738,6.25299586039625,6.06394688204811,0,6.6770746152965,0,3.89767429553537,0,2.54965835678114,0
MPC2,6.58383919795813,6.12610446953362,6.85266519585524,7.83091379779204,6.47358309294715,5.42074039222528,7.07769295626028,5.18835580983679,7.64343085630116,6.21284910123665,6.91594609519588,4.73874886645451
MRPS14,5.83744550237536,4.34519606310148,5.49173042322064,7.12037202985851,4.47133902707739,0,6.60305657552674,0,6.09557123626098,3.5881181615279,6.02067084574826,6.55327010652422
NTPCR,4.81360211567834,4.06192364824904,5.70953518436608,5.50064209752267,4.12723258702923,0,4.35381908515749,6.31843172790617,6.43572927317408,4.86130463237838,5.84902733038675,7.36704227910642
VIM,7.55416433211216,6.64445530172337,7.20607577623984,6.36572688142238,7.75986127166513,8.89013419648506,9.03630046252782,9.36420703789071,3.08525953461191,9.18085579707515,7.57245989050227,9.28932535308654
KIF5B,9.0730357500109,9.41152092711528,8.55414394250472,9.2739790598042,8.25083560263363,7.75689378133677,8.39539306442169,9.53867375093354,8.91381386049733,9.42550195144956,8.67245063894131,8.10223874925015
PLAU,0,0,3.34566171652143,0,0,0,0,10.380274248707,0,0,0,0
KCNMA1,0,5.75873593073801,6.46067312381456,0,0,0,0,4.22738912750537,0,0,0,0
