,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
NOC2L,5.62735196269227,6.39814219123221,6.14283426805781,7.60020218976439,8.23589589128346,6.58339151436949,8.53330436727559,8.24984571832248,7.06207165309816,6.34324975374072,7.85050726492364,6.85374584891726
PRDM16,4.54091891343743,5.39458282782152,0,0,2.29943626996893,2.60926082631168,0,0,0,0,0,0
CHD5,0,2.54381616925882,4.96566283833578,0,0,0,0,0,0,0,0,0
PHF13,2.54674055750149,6.24574404634219,4.20282141007081,6.78026351394817,6.53589895284861,5.19823355653755,0,0,0,7.60333731702894,6.15778879504552,0
PRDM2,5.70976324990757,5.26463145149928,7.28450668596759,4.47586248197324,5.88399404244386,5.93551948802429,5.20255360652411,4.62304197379457,6.58784831533231,0,6.32728525953517,7.00573453284351
SPEN,5.93203211511738,4.50721268574148,6.82959837683422,4.73765909565504,7.81115800404327,6.3863097932031,7.223147490785,8.59675307803947,6.75432034541044,7.71767134278168,5.37357748793759,7.78421253429345
PADI2,7.33799471963431,8.5799655143923,7.82906926900152,4.63856561265205,7.97756523233491,6.15798054381936,5.89095919961925,6.51770573239893,6.48823810439268,3.81055152010268,6.7844583423819,7.72478280040867
PADI1,0,0,0,0,4.61682361354602,0,0,0,0,0,0,0
PADI3,0,0,6.17978535933375,0,3.01091886951416,0,3.83853428356194,0,1.04933488767123,0,0,0
HP1BP3,7.32061603252294,4.42847751628819,7.64313010791173,8.66732027037654,6.58388339741507,6.74308030366294,6.31852708319505,8.20238672964904,8.28654146820063,7.23223796677198,6.98207748148648,4.89068953839433
KDM1A,2.28525463074312,6.39814219123221,5.94239108419145,5.28822871256432,6.69729466509547,2.345262304423,5.45904340965411,5.65116572042152,6.0262363827598,7.36097323756274,5.22543577585606,6.28723118710936
HMGN2,4.90971358272097,6.04924902290603,4.33973073750281,7.43285021792471,5.24309571789113,2.345262304423,5.70532503418614,4.62304197379457,7.68151197075267,3.91010356822368,3.96022146822246,5.37595584071976
ARID1A,3.54286207283071,7.8710424818095,6.806156748523,8.48323672321727,8.11045874410304,7.30504773861374,6.18283005303866,5.70664466912252,8.35411945947725,1.58725821108045,2.54965835678114,6.86602295755562
SFN,4.71062784663423,0,2.7003335593274,4.29244986055355,5.24309571789113,5.3137723828126,3.83853428356194,5.65116572042152,3.7902409497375,0,5.12865191797249,0
EYA3,5.47858810567444,5.93995950506289,4.78560399346551,4.87459963534536,6.51129465786016,4.83543462122546,4.7872088135702,4.62304197379457,6.65062847410271,0,4.65962666165708,0.991642860253225
RCC1,8.13904655151283,8.64670131454214,7.44489010465129,8.61288811360065,7.77026756960908,4.67181229164509,8.85684412427816,7.65789866417075,8.53971213420655,8.89521866219188,6.31267347095102,9.11255015275839
TAF12,4.34855158998419,5.47513839618365,5.19955029763702,5.50064209752267,3.7604862539382,0,5.49222781086722,4.5028236985384,6.91638655887511,0,5.74403614340001,4.68432508998425
HDAC1,6.74884743055551,6.64445530172337,6.38358033381314,6.35015179924268,5.86469984854304,5.91126379848956,7.78828405519592,5.40508482224501,6.58784831533231,7.6400495406706,4.98859632219681,3.79179578567051
RBBP4,7.25808711137107,8.14787001125671,7.29296375075197,8.39110972735705,7.65144885718189,0,8.90384395032646,7.84259190057472,8.99468703705512,7.62547656418168,6.81588266817571,8.80982265266873
PHC2,5.86167985517506,6.33478917792174,6.84117788691149,4.53216046024189,6.34024422731911,5.64323087578424,0,4.62304197379457,6.11796163139337,7.53480507318943,3.71560681042074,5.86616582393135
SFPQ,8.43392178765274,9.26060572694658,8.88582532950882,8.47966241442096,9.40023145859049,6.99466299082017,8.50513188806475,7.64375553196421,8.790298594877,8.27955551169028,7.20415874590575,9.5905889575859
MEAF6,5.62735196269227,7.41019951145653,6.39933198310265,6.92395667221344,5.58712027409939,6.43816113123303,6.40818991544755,6.48634672473344,6.38123689101134,7.71078487886121,5.12865191797249,7.26874732412924
NFYC,6.47808043649896,6.77747396045847,7.33452105391115,7.2093844798888,5.84514411790149,4.19743240191301,7.16259621255018,7.86714742205451,7.75478515808013,1.58725821108045,7.34005224283817,8.10741877098097
SCMH1,7.00964438039246,7.25913851994372,5.9637359566283,7.89671924616781,5.27267554389942,0,6.87875174184176,5.10821919500095,6.91638655887511,6.28880033714617,0,5.91425074427889
KDM4A,7.05238377176979,6.35621745362337,5.23509433140934,6.60761817764117,6.08076667003469,5.80994492776663,2.61297481387861,7.01190177416085,4.34001807161508,4.17317618066493,7.70144366593241,5.07119568773374
DMAP1,4.9998201249671,2.8153946795453,5.54934103724632,6.36572688142238,6.67531444306147,0,7.0556627841011,4.5028236985384,6.47094664193755,1.00172212515525,0,6.49121693879327
NASP,6.43026902676214,4.58187234092091,6.95213145175174,10.2861753046794,7.85092134906746,0,5.81430671754511,6.94427106312741,7.98538555475874,6.23221504559978,9.03487075408953,0
RAD54L,0,1.14262491429794,2.89066238575048,7.49790306781786,0,0,0,0,5.52111895668665,0,4.40796340842102,0
PRKAA2,3.54286207283071,0,2.48102369995585,6.58117733463851,0,5.07262986059643,7.51718059082679,6.48634672473344,4.7371357636319,0,6.19012457553014,0.991642860253225
MYSM1,1.55446638600676,0,5.75921026224584,1.47040629349847,3.14491230150727,5.15756868808106,2.3488302965728,6.51770573239893,0,0,4.70508989660351,5.59829092742562
GADD45A,5.0846281814892,0,0,0,6.08076667003469,0,0,5.33639685262802,0,1.00172212515525,0,0
ZZZ3,6.73579510381812,6.57304486292388,5.83065601070494,5.07739192605937,5.3016610545669,4.34959576187857,5.67674287097076,7.32717418266232,0,3.17298513750864,6.20602468156084,6.61276394816985
BRDT,0,0,0,0,0,0,0,2.30460383552026,0,0,0,0
MTF2,7.26718745872665,6.76150204912549,5.83065601070494,9.1977099630092,6.82257589832359,0,5.52466604620375,6.82399202878443,7.40022499704686,6.09085447724417,5.53334293174915,3.15503422900324
DR1,5.24061056513086,2.8153946795453,5.54934103724632,6.18438876103339,6.09739262073141,5.86149361937791,6.87875174184176,6.96716871257769,7.79702679930522,1.58725821108045,6.68585717112901,2.30853333503458
DNTTIP2,8.22562488305481,9.10791684312848,8.12270298365692,9.16247376169059,8.47095722077535,7.93587978251015,8.36436397735556,7.91503910167193,8.54798129147586,7.77821355754101,6.95410580789184,7.41796271292042
PRMT6,6.83704964647232,7.87846652108151,4.52344194986562,6.5542428383873,5.15053340144642,0,6.50891085851178,6.57845007569228,6.14000983518357,5.36091034331644,5.60704623847877,4.071691336206
WDR77,6.14447518959324,7.1772302501146,5.57730599435298,0,2.048976531023,0,7.87889595039034,7.17813296345863,7.32523124772375,7.0478102700416,0,6.58332368141475
MOV10,7.90839535898757,7.92222593182282,7.33452105391115,8.23873844928829,8.00866142888039,5.55204461634582,9.09688318663373,6.96716871257769,8.10229767860002,1.00172212515525,8.08782550076811,7.59065380414471
TRIM33,4.9998201249671,4.1626556138888,6.25096404034586,5.6607226580592,4.19058930455923,3.83440432005738,5.93988786672266,5.95593871093727,4.79386404108991,3.46256122786937,4.03333733519718,4.62776748932545
PRKAB2,0,3.24104163978872,3.34566171652143,0,0,2.60926082631168,5.93988786672266,0,0,0,0,5.8164228139136
CHD1L,3.4176842114365,5.65880466411826,4.63408561082746,6.23614752300788,4.66223132880189,0,3.02939875235858,0,5.45229957873779,6.15314089191846,0,3.56960390603226
ANP32E,0,3.56929816195387,2.7003335593274,7.43285021792471,6.39506725193104,1.01462804851359,0,5.26427438843222,7.58032973644384,0,4.70508989660351,5.23160817649652
SETDB1,6.59833404896419,6.29095350168365,5.70953518436608,7.12037202985851,3.48528509842576,3.34815272185581,4.61713014074182,0,3.40955109619043,4.0907027833405,4.40796340842102,7.51470962442466
VPS72,4.2043955376972,5.47513839618365,5.70953518436608,6.13070375798871,6.06394688204811,0,5.31810172857486,4.83704628510831,6.32460519510482,5.1326269794306,6.66299955637077,6.56837515037565
ZNF687,4.90971358272097,7.1651400092284,1.50241916096267,4.08227618763274,6.58388339741507,2.02188682632457,6.31852708319505,0,2.07338377137902,6.96919897673288,6.55540704979062,6.61276394816985
POGZ,3.65804051295115,1.14262491429794,4.46476626897419,7.51895143868854,6.77169075669114,4.19743240191301,4.61713014074182,6.24538227737095,5.73901636997337,5.2128026382639,4.03333733519718,7.54556865937976
TDRKH,5.41450391114083,4.84699182945513,3.05878328372484,4.6889629833946,0,0,4.11906085042092,0,4.26174018477148,0,2.08291966138848,5.96078455709161
CHTOP,7.53168410074001,8.19024687892016,6.75809891251662,9.11948133016137,5.61047494482349,4.02730704228031,8.08870785078618,7.23584263240826,7.58836996925311,4.25118874686842,7.50978842104403,8.34084043605674
GATAD2B,4.95547021364979,2.20897628517018,4.20282141007081,5.58290154486217,6.52364925614773,4.55141773929247,5.67674287097076,4.62304197379457,6.09557123626098,6.52696678207132,6.35607222348404,5.62743039277634
ASH1L,7.07328785482026,5.39458282782152,5.30365846329056,0,7.16776532336959,4.4872303995405,6.18283005303866,6.94427106312741,6.9035550990247,6.98069483386653,6.46579836068128,0
HDGF,6.61268471667661,7.48018489297215,6.69568401844329,6.64639245477478,8.06891252834815,4.27551926693385,8.87896804925946,7.75319881049627,8.75144147754005,8.26552584340794,7.31094057631127,6.40969782413029
USP21,1.55446638600676,3.24104163978872,4.46476626897419,1.47040629349847,2.86319432286341,4.88609620880177,0,1.57054010331741,5.4166183532732,0,0,0
TADA1,3.54286207283071,0,5.12572206503694,6.0558674293545,4.47133902707739,0,6.47611235522678,6.28236930168018,5.58680444128601,0,6.79500935344297,6.64161543875155
RNF2,2.95984011779028,1.77215897481878,6.3515515133522,1.87046288763933,5.33007566213506,0,0,6.51770573239893,2.66627429953909,0,3.05005483153942,6.49121693879327
UCHL5,4.90971358272097,5.21857614857409,6.9087685313696,4.73765909565504,6.60729010299258,5.61347127497688,4.98667623315389,7.03375870001962,6.48823810439268,1.58725821108045,6.10788420941397,7.33206861829521
CDC73,5.20316736507029,6.76150204912549,6.41491350833564,8.0100798218767,6.46079028420301,6.93575969434557,7.58796253557061,6.63673979576304,5.55433549682236,7.24182416739581,5.76565453928763,5.02814198799467
UBE2T,0,0,6.51951215907168,9.77749303733177,6.01227793597784,4.93503895536655,0,0,9.52316668130518,0,7.36150685725289,0
KDM5B,8.79016323832609,8.03281660874225,8.1415564037683,4.78476506704221,8.82051464524465,6.62872498840331,9.08877019128114,7.81761118207282,4.55219787411349,8.22743237259463,7.35439071098524,9.00007786467334
RBBP5,6.56919723696664,5.47513839618365,4.051544224379,7.16556464039023,5.72189292150851,4.19743240191301,0,6.79868430292713,5.1385858085035,3.91010356822368,6.45253037958299,4.15409843275382
RCOR3,5.04284723805334,0,6.25096404034586,0,6.02970733779678,6.1986339670757,7.90377308400746,3.88665862565631,1.04933488767123,6.25132447174089,4.16931143672517,3.15503422900324
