,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
SSU72,7.95419316097189,8.14787001125671,8.11795087859956,7.76783619494199,8.35129378979726,7.30504773861374,9.13415202513999,7.27307190016949,9.36601290763183,8.4710380350048,8.13010705766143,9.32755887494671
PEX10,5.93203211511738,6.74535133322241,5.26978367311695,4.47586248197324,3.01091886951416,5.19823355653755,5.07693892356537,3.68043162641402,6.65062847410271,1.00172212515525,4.35189855842239,7.90811891535455
RPL22,6.64096477996929,7.88585255210974,7.20607577623984,6.48462088142792,7.46544305415176,5.27627822225024,6.12052516129773,6.79868430292713,7.35381267274679,8.06412525195807,7.35439071098524,7.89019787463717
PARK7,8.12409788261994,8.68953627184716,8.40997287389498,9.28835214206812,8.695046268664,6.36860345171862,8.80165835444063,7.39629227204934,9.34718264812361,8.09089239822802,8.88490283245688,8.3713046426939
FBXO2,0,6.26852585676177,3.47020579378489,0,0,4.27551926693385,0,0,0,0,0.855319487273501,0
AKR7A3,0,0,0,0,0,0,0,0,0,0,3.62389388645227,0
MINOS1,3.86401321800044,6.62693132555525,6.02593876064981,5.58290154486217,5.43844791362345,4.88609620880177,6.42547266478617,5.59346770575335,6.61957985958752,5.73129778049276,6.15778879504552,6.97205447004027
RPL11,9.63881603221618,10.4620217896203,9.65257031257846,9.66554490252263,9.89696858322372,8.21883513029669,10.0150845729414,9.41505504820908,9.33528769374457,10.0573648442806,10.1459498880648,10.5019016766414
STMN1,8.90830115404319,7.32582456391506,8.27561147547546,10.5652966287831,8.40570631957261,0,9.27189992624262,9.19993569773288,10.7826061964402,8.96921960554205,8.53758721459245,7.03864623005801
NUDC,5.90896045951133,7.46053308293098,7.03513282007472,8.22172179232119,7.25926274906434,5.19823355653755,7.07769295626028,7.03375870001962,7.40933094133014,6.86139355316678,6.75233427199485,8.34084043605674
TAF12,4.34855158998419,5.47513839618365,5.19955029763702,5.50064209752267,3.7604862539382,0,5.49222781086722,4.5028236985384,6.91638655887511,0,5.74403614340001,4.68432508998425
RBBP4,7.25808711137107,8.14787001125671,7.29296375075197,8.39110972735705,7.65144885718189,0,8.90384395032646,7.84259190057472,8.99468703705512,7.62547656418168,6.81588266817571,8.80982265266873
PSMB2,7.94287928488401,8.6768187935034,8.47830747108767,8.51850104798274,7.9865184632716,5.27627822225024,8.01069841189695,7.62947237696869,9.03936208548185,7.79132919940574,7.49044351069145,9.67325541145833
TRAPPC3,7.61245343453597,7.42040769185183,7.68870824531527,8.15157407910038,7.97306769419882,6.99466299082017,7.19318950267072,5.70664466912252,7.36321535541044,7.85517635490007,6.25269986284208,7.74486595726928
MRPS15,7.17349274463907,7.28171143356402,7.29296375075197,7.06420319434458,6.35414652660354,5.23778356737849,6.33691099594191,6.69276558979112,7.78308322651829,7.56566643021754,5.60704623847877,7.6627993723268
DNALI1,0,1.14262491429794,0,1.47040629349847,2.048976531023,0,0,1.57054010331741,1.04933488767123,0,0,0
NDUFS5,7.64772332229972,8.0194475760294,7.77575969467461,8.53581514874296,8.09398354978874,6.31414198070368,8.20335994114393,7.94994258468787,8.11348423759275,8.01465612650052,8.25763805679304,8.80982265266873
PPIE,6.66870113139931,5.93995950506289,7.16058723890383,7.35695304096281,7.04457592701263,2.60926082631168,5.52466604620375,7.11801829597824,6.69598336309462,0,6.45253037958299,7.02775887422797
PPCS,6.31213240550043,6.24574404634219,6.77026428376111,6.94484608791078,6.08076667003469,3.83440432005738,6.90363134092556,0,5.34249408275004,5.42962699389858,5.37357748793759,6.75157602981283
YBX1,3.86401321800044,4.65285771429078,4.12916472519802,5.28822871256432,4.66223132880189,3.61166830142447,4.03147591614999,3.68043162641402,5.45229957873779,2.32468250927375,4.23277630190898,5.37595584071976
EBNA1BP2,4.34855158998419,6.15083927917178,6.58983902294607,5.95650910493676,6.51129465786016,0,6.76115765578469,6.77292469070304,6.16172614976994,6.57326161449911,6.88664898252962,7.21216811869839
KIF2C,0,5.88204465210337,0,8.27218121100461,0,0,0,5.76006893958714,5.45229957873779,0,6.15778879504552,0
RPS8,7.73558274058359,8.62920476475433,7.94629400718842,9.1535285803174,7.93194617117369,6.56795817664599,7.71988962637508,8.68917055932176,8.37285998017101,9.49127744246763,9.38839359503731,8.67676471101093
PRDX1,8.80586081811347,8.93000668248467,9.22105905156457,10.1600982944511,8.80288294483282,7.88073354974517,10.1705117533237,10.3281628102288,9.82144125711712,9.94888254654719,10.0523070796852,9.93016038483763
AKR1A1,8.05221325372354,7.94361775994715,7.62983885936934,8.56646634210318,8.31265802199512,4.11487595897991,8.24775755014893,9.05783714902201,7.94838105927121,8.93121309940815,9.17475249405512,8.60898855551167
UQCRH,7.19272481041605,7.3580461939011,7.25017378073411,8.42495711788677,7.22184144009354,6.07306668862568,7.79494849307454,8.42545781178671,7.85149129907181,7.20309115333708,9.4447603189258,6.90223960314709
ATPAF1,5.0846281814892,6.66176897147661,0,5.38311609083866,2.29943626996893,0,4.49147351534777,1.57054010331741,2.07338377137902,0,4.87384160551323,5.37595584071976
BTF3L4,4.59973482165042,7.63722674247693,5.60473917498419,7.46935219304827,6.06394688204811,3.19582875674045,5.31810172857486,6.42150661898076,6.53890273176521,5.75826602943722,6.5921700179192,6.26885539363139
HSPB11,3.54286207283071,0,2.7003335593274,4.2257370354029,5.05162271733292,0,0,0,0,0,4.91311615931869,0
TMEM59,4.34855158998419,6.12610446953362,6.14283426805781,5.38311609083866,7.58226223160812,6.35067709546302,7.5647522835339,8.61136221271652,7.07357325355337,8.13271293507008,7.29616144989915,7.28712448542383
MRPL37,6.58383919795813,6.57304486292388,7.65630002391418,8.89905108261297,7.52195893149349,2.02188682632457,5.2421068835457,7.23584263240826,7.71126929270604,7.28882237671462,8.86250553524353,7.57578142362285
DHCR24,6.61268471667661,8.26011682371971,6.79429153542492,10.2551512849733,8.18235386580535,4.98237567708231,9.18323882635199,9.19993569773288,2.40007390882571,9.42128968550822,9.39013443346617,6.47527745335644
PIGK,5.59880112432796,0,3.88252609429898,6.20184882114924,4.36550139718333,0,0,5.26427438843222,0,0,4.98859632219681,5.37595584071976
COL24A1,0.977188561206484,0,0,0,2.51277920607895,0,0,0,2.07338377137902,0,0.855319487273501,0
SH3GLB1,6.59833404896419,7.58373065088372,6.31879545536677,7.86419168630533,6.01227793597784,4.19743240191301,6.57235226928143,7.01190177416085,4.48487992985528,7.89824551454709,7.65006342958285,5.73843673191674
ZNF326,5.95474060768806,6.66176897147661,5.60473917498419,5.8934343813015,6.43485924031804,5.35031674098123,5.64758298310603,5.95593871093727,7.23592395693718,5.86136391351294,6.6161683229331,0
RPL5,9.23485652972093,10.5272351936426,9.68345419089752,9.18459703231563,10.2667031034347,9.23363156516906,9.66650352312487,9.3728071377274,9.79563006826506,9.59215236760248,9.91031489851286,10.3968773178842
CNN3,9.28051290636574,9.21735000364414,9.94592803168539,9.95014402899422,9.01463769718132,8.76036048847588,9.48265129469472,9.35555536410536,9.18962358837694,10.2382567750087,7.83013245690114,9.39477277425982
PSMA5,7.33799471963431,6.82435539407708,7.08468385079693,7.7968501452412,6.31203115484738,6.48821337424849,8.06684651325349,7.92676767210189,7.47151231664374,6.67583383185898,8.26524650616675,8.5682434358908
GSTM5,0,0,0.938539453487952,0,0,0,0,0,0,0,0,0
LAMTOR5,7.65467499777483,7.80244879416388,7.35081448884641,8.60634718561155,8.72210057034889,5.80994492776663,8.12089100690808,7.27307190016949,8.07966092930448,8.8107894448046,7.24320864112537,8.02222012480242
ATP1A1,8.90830115404319,9.39090431260269,9.59388821174429,7.72621069623778,9.66290996669247,8.24333135378265,8.56484192160026,9.72148886612342,9.4566450501344,8.72111045363361,7.91963497372544,9.31193817674435
RBM8A,5.97709719312694,7.50916962840728,7.31804150104986,7.3491390129564,7.07006970842149,5.48788579042308,7.52521893929138,7.39629227204934,7.39106121296815,6.75829786469365,6.53036742453093,7.84129069655589
ENSA,5.70976324990757,6.53596885844918,6.88658831269709,8.39491000265809,7.06162173803397,4.27551926693385,6.5567515372742,4.22738912750537,7.57224444365746,6.25132447174089,7.43080195654253,7.50689061525528
PSMD4,5.95474060768806,6.94239937205849,6.36765480448306,6.84836565210126,4.98170195390304,5.80994492776663,5.52466604620375,2.78878521854311,6.91638655887511,8.01465612650052,6.98207748148648,7.5379155613295
PSMB4,8.40535525315611,8.45146262529436,7.6164240218442,7.68334842123974,8.35820864940909,8.00053800345171,8.83437563509696,8.61136221271652,8.48477545671909,7.60333731702894,8.72305344272047,9.82560573778158
S100A10,6.83704964647232,8.89383141735449,9.07423926817831,9.30662387504725,8.49625307291499,8.39096544477523,9.60336206573411,9.70114536527708,9.23386275014657,10.3839006829556,9.48929474514481,10.0506871019809
S100A2,0,0,2.7003335593274,0,0,0,2.61297481387861,0,0,0,0,0
ILF2,8.19257009944693,9.10791684312848,8.92443990365273,9.8303695649134,8.86002442619187,8.44687751562079,8.27661462407793,8.42545781178671,9.83839568640894,8.6218189509857,9.36556943968551,7.96629724405267
RAB13,5.38136172767844,5.69289000594393,4.83276895524329,6.81471638924025,6.13008052838179,3.83440432005738,4.42428746124818,4.06705964685785,5.1385858085035,6.67583383185898,4.16931143672517,5.07119568773374
C1orf43,7.31184754946689,7.97165555657194,8.03467397974578,6.59445832926639,7.65144885718189,0,9.01647812727337,8.77602260447544,8.79377970992204,7.29804104712234,7.99478355942051,8.32758481384227
CKS1B,2.28525463074312,1.14262491429794,2.7003335593274,4.91750273187144,2.29943626996893,0,2.02523543121075,4.22738912750537,6.16172614976994,0,5.48202879243347,2.30853333503458
ADAM15,7.83072641746247,9.0630122038636,7.44489010465129,8.1289345318326,8.95658941752688,6.3863097932031,8.95234481064645,9.01452720869625,7.92951668493552,3.46256122786937,8.45017068055324,6.72486158244491
KRTCAP2,6.43026902676214,6.86976120674854,6.06596560183856,6.52679590451186,5.51469836685153,5.23778356737849,7.16259621255018,3.15066291965395,7.06207165309816,7.479156312787,6.84663708509391,5.8415086958715
