,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
MXRA8,0,1.77215897481878,5.19955029763702,0,0,0,0,0,0,0,1.77714742959087,0
TMEM52,0,0,3.7899605392245,0,0,0,0,0,0,0,0,0
ERRFI1,10.0295330902299,9.51279074306457,9.20322275456009,8.96188598148954,10.1309693583455,11.4808252447971,10.7244010404268,9.35555536410536,10.346074675711,9.80271995990966,7.59678554309992,8.25007830997735
ENO1,9.06000394849246,10.6505181177615,10.3027991026831,10.4366296967314,11.1828785359639,9.77222703269905,10.6944168801103,10.3866577941932,10.1949847920641,10.5082588185114,11.1849635236335,10.5850186659309
SPSB1,5.38136172767844,7.38956386904494,5.16310838900517,0,7.3029235549962,2.02188682632457,5.07693892356537,5.65116572042152,4.09116095734189,7.34327097701084,3.8018363395028,0
PLOD1,7.61957672955668,7.54693176667992,8.0194657505964,7.30134463831089,8.97244897950819,4.67181229164509,7.32795959774812,0,6.60380132615011,3.46256122786937,6.7738295986797,4.37635711934705
PINK1,6.64096477996929,3.04385920024338,5.19955029763702,4.91750273187144,7.49083492781542,4.02730704228031,6.09914422905394,6.04472727496392,5.97808988634069,0,1.77714742959087,0
DDOST,8.9681214873348,8.38525550417548,8.75113991866909,8.4434236629772,9.01244772930104,7.583544823704,9.02500678495623,9.30252661063257,9.05395154092656,8.22743237259463,8.86751284774549,9.50682189215392
FUCA1,0,0,5.08734107018753,0,5.58712027409939,5.23778356737849,0,0,0,0,0,0
TMEM50A,8.04164526589607,8.65537065523399,7.41420816056225,4.08227618763274,7.29573789663338,5.95937410622992,8.11557675707399,7.49413121657993,7.74042521771757,8.24183555194743,3.05005483153942,5.93770525979639
SH3BGRL3,6.43026902676214,7.61072664130769,7.91923500459419,6.21910009705338,7.3383246082919,6.83620686452655,8.15755253673649,8.71645540818338,7.85815703214789,8.59214790252475,7.54146443942474,7.99452963330526
SDC3,0,0,0,0,2.29943626996893,0,0,5.18835580983679,0,0,0,0
MRPS15,7.17349274463907,7.28171143356402,7.29296375075197,7.06420319434458,6.35414652660354,5.23778356737849,6.33691099594191,6.69276558979112,7.78308322651829,7.56566643021754,5.60704623847877,7.6627993723268
DNALI1,0,1.14262491429794,0,1.47040629349847,2.048976531023,0,0,1.57054010331741,1.04933488767123,0,0,0
YBX1,3.86401321800044,4.65285771429078,4.12916472519802,5.28822871256432,4.66223132880189,3.61166830142447,4.03147591614999,3.68043162641402,5.45229957873779,2.32468250927375,4.23277630190898,5.37595584071976
SLC2A1,6.39749115751898,7.7946219903986,8.27987235681217,5.68575733820348,8.16273971793742,6.15798054381936,6.01030352429751,7.55585520530897,5.4166183532732,6.61811695818202,6.37025313070099,7.34089183799496
RPS8,7.73558274058359,8.62920476475433,7.94629400718842,9.1535285803174,7.93194617117369,6.56795817664599,7.71988962637508,8.68917055932176,8.37285998017101,9.49127744246763,9.38839359503731,8.67676471101093
PRDX1,8.80586081811347,8.93000668248467,9.22105905156457,10.1600982944511,8.80288294483282,7.88073354974517,10.1705117533237,10.3281628102288,9.82144125711712,9.94888254654719,10.0523070796852,9.93016038483763
TSPAN1,7.04181703752756,6.85478415994816,6.66994183992057,0,6.23898593201609,5.64323087578424,8.02777347362197,0,3.08525953461191,7.87994451338817,0,0
UQCRH,7.19272481041605,7.3580461939011,7.25017378073411,8.42495711788677,7.22184144009354,6.07306668862568,7.79494849307454,8.42545781178671,7.85149129907181,7.20309115333708,9.4447603189258,6.90223960314709
ATPAF1,5.0846281814892,6.66176897147661,0,5.38311609083866,2.29943626996893,0,4.49147351534777,1.57054010331741,2.07338377137902,0,4.87384160551323,5.37595584071976
PDZK1IP1,4.59973482165042,0,0,5.80480154494145,6.11382915098662,0,0,7.13833611306794,5.22363752315493,6.64726400551024,3.42087475132059,4.89068953839433
CMPK1,7.3636764262165,7.1651400092284,5.49173042322064,7.89134866047676,5.3016610545669,6.61377155162722,6.52503466513769,6.74669676080935,6.61957985958752,7.6400495406706,7.17213949432953,6.97205447004027
TMEM59,4.34855158998419,6.12610446953362,6.14283426805781,5.38311609083866,7.58226223160812,6.35067709546302,7.5647522835339,8.61136221271652,7.07357325355337,8.13271293507008,7.29616144989915,7.28712448542383
TACSTD2,9.49516997168637,9.24919708414216,9.3154017197715,10.4649253760212,10.0574614155716,9.86512809072401,7.96415151083259,11.7369579176105,9.24662022508662,11.7724525330536,9.59118515462725,8.79384621367381
PGM1,6.46231870039367,0,6.44558061365825,6.74496770137426,5.18205199324384,5.19823355653755,2.02523543121075,7.5406700120609,8.08535350213507,6.15314089191846,6.88664898252962,6.30537586637366
PIGK,5.59880112432796,0,3.88252609429898,6.20184882114924,4.36550139718333,0,0,5.26427438843222,0,0,4.98859632219681,5.37595584071976
CLCA2,7.10408680066048,6.77747396045847,8.67553790091866,0,7.6114942539182,0,5.93988786672266,0,8.00353785254542,0,5.22543577585606,7.09188365852628
F3,2.95984011779028,6.37733210875042,5.98476962740629,3.30085528456345,0,0,0,3.88665862565631,1.6503744370058,6.15314089191846,1.38864071425221,0
SLC44A3,2.76802590390751,6.85478415994816,0,0,5.3579414220863,0,5.70532503418614,0,4.7371357636319,6.87377753095037,5.50791399433957,6.69764311484524
TMEM56,0,4.72051355606615,0,5.68575733820348,2.29943626996893,0,0,0,0,0,5.42882197271773,0
CSDE1,9.90825404926413,9.32993569053734,9.18969931246479,9.37748103620239,8.95886577134816,7.88073354974517,10.5726866175589,9.96275200422047,9.93140659512323,9.30493294341314,9.43804412967219,9.89014518643811
ATP1A1,8.90830115404319,9.39090431260269,9.59388821174429,7.72621069623778,9.66290996669247,8.24333135378265,8.56484192160026,9.72148886612342,9.4566450501344,8.72111045363361,7.91963497372544,9.31193817674435
TXNIP,3.86401321800044,4.65285771429078,8.07446250031292,7.85318412624418,6.49883334578384,0,0,4.5028236985384,4.90103768941041,5.36091034331644,6.75233427199485,0
ECM1,0,1.14262491429794,6.81792517356288,0,0,0,0,5.40508482224501,0,0,2.90174057602754,0
MCL1,8.01488157321842,8.53839013010437,8.72637684967492,8.48680219846547,8.20170492255173,6.94773432102124,8.94337422977071,7.72660645673079,8.36819762288118,6.98069483386653,8.45350457507851,7.61267880047206
TUFT1,5.20316736507029,8.06570702745103,9.01156794877205,8.76158216037122,6.58388339741507,8.70146397403563,5.86585818349074,8.02824298110293,8.12458472374469,8.59589032734572,0,6.98336874616233
S100A10,6.83704964647232,8.89383141735449,9.07423926817831,9.30662387504725,8.49625307291499,8.39096544477523,9.60336206573411,9.70114536527708,9.23386275014657,10.3839006829556,9.48929474514481,10.0506871019809
S100A2,0,0,2.7003335593274,0,0,0,2.61297481387861,0,0,0,0,0
S100A16,8.04164526589607,8.63359883543892,9.50021868125167,8.50801196219796,8.51493808254083,7.95972849303968,10.7900872466174,9.68397053116629,9.6781163996031,9.56758714532706,10.3011192053007,10.2323643346603
ADAM15,7.83072641746247,9.0630122038636,7.44489010465129,8.1289345318326,8.95658941752688,6.3863097932031,8.95234481064645,9.01452720869625,7.92951668493552,3.46256122786937,8.45017068055324,6.72486158244491
EFNA4,5.31270194889097,6.31303782444977,7.18805210508597,7.03527684139491,2.29943626996893,0,5.86585818349074,5.47065058574316,7.11868407214992,4.25118874686842,6.37025313070099,6.15339618700813
KRTCAP2,6.43026902676214,6.86976120674854,6.06596560183856,6.52679590451186,5.51469836685153,5.23778356737849,7.16259621255018,3.15066291965395,7.06207165309816,7.479156312787,6.84663708509391,5.8415086958715
YY1AP1,6.90858375042419,5.69289000594393,7.00456416156608,4.8303814721066,7.05312400745417,3.72733054294172,5.39029301786353,6.57845007569228,7.15161498610742,5.9806675466329,5.98425370286304,5.59829092742562
MEX3A,1.55446638600676,3.83653614959722,4.12916472519802,0,5.0853520604343,0,3.93822812717646,3.43972875942138,2.07338377137902,5.2128026382639,3.30753823492077,6.35847958612303
LMNA,8.57251503635523,9.3190643571264,9.37636192118793,9.06088708620057,10.3436281128397,9.45533213317472,9.44924330615847,9.90759279477635,9.01272340423933,10.4690061704248,9.23217203618469,7.45093783300743
TMEM79,5.81279709640754,7.01155492811348,5.80723170127738,6.25299586039625,6.06394688204811,0,6.6770746152965,0,3.89767429553537,0,2.54965835678114,0
TAGLN2,7.67533127455183,9.6665035743323,9.86031506612578,10.123919624766,10.101396011612,9.11120513651273,10.1049816351824,10.7654106652903,10.4075772229365,10.5112344759527,10.4011953840661,9.53976547358391
