,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
MASP2,2.76802590390751,1.14262491429794,0,4.95916672908945,0,3.48591872390098,0,0,3.7902409497375,0,4.56416241044603,4.84179931039369
MAD2L2,7.23971237308105,4.50721268574148,3.7899605392245,6.98573884567136,5.15053340144642,0,5.98721141779069,6.66502463974862,8.41867313210203,5.49521888930415,6.8262071567931,7.36704227910642
RCC2,6.76178272848808,7.70560239742751,6.9087685313696,7.11116111027744,5.70028708660877,6.95961037377531,5.61782153311304,7.27307190016949,7.49736236113853,6.57326161449911,6.15778879504552,8.25941582139165
PINK1,6.64096477996929,3.04385920024338,5.19955029763702,4.91750273187144,7.49083492781542,4.02730704228031,6.09914422905394,6.04472727496392,5.97808988634069,0,1.77714742959087,0
STMN1,8.90830115404319,7.32582456391506,8.27561147547546,10.5652966287831,8.40570631957261,0,9.27189992624262,9.19993569773288,10.7826061964402,8.96921960554205,8.53758721459245,7.03864623005801
HMGN2,4.90971358272097,6.04924902290603,4.33973073750281,7.43285021792471,5.24309571789113,2.345262304423,5.70532503418614,4.62304197379457,7.68151197075267,3.91010356822368,3.96022146822246,5.37595584071976
IFI6,4.54091891343743,0,4.051544224379,0,4.47133902707739,0,1.01687257116206,1.57054010331741,0,1.00172212515525,0,0
TAF12,4.34855158998419,5.47513839618365,5.19955029763702,5.50064209752267,3.7604862539382,0,5.49222781086722,4.5028236985384,6.91638655887511,0,5.74403614340001,4.68432508998425
CDCA8,0,0,1.50241916096267,7.46935219304827,5.76415745971798,0,0,4.22738912750537,8.03329317825138,0,6.51768273163587,0
YBX1,3.86401321800044,4.65285771429078,4.12916472519802,5.28822871256432,4.66223132880189,3.61166830142447,4.03147591614999,3.68043162641402,5.45229957873779,2.32468250927375,4.23277630190898,5.37595584071976
CDC20,1.96564614263482,0,2.22229384555422,0,5.3016610545669,0,0,6.35361465694036,6.43572927317408,0,4.03333733519718,6.66990124204004
KIF2C,0,5.88204465210337,0,8.27218121100461,0,0,0,5.76006893958714,5.45229957873779,0,6.15778879504552,0
ORC1,0,0,5.40075694464995,5.9147671645765,0,0,0,3.43972875942138,0,0,5.42882197271773,0
USP1,4.2043955376972,6.60919187096669,4.83276895524329,9.07279786413976,6.46079028420301,0,5.91563094877779,5.95593871093727,6.50532477168829,0,7.76185401393488,4.56890188809592
DEPDC1,0,0,0,3.64518225826471,0,0,0,0,4.9517796018412,0,4.46193076837107,0
TMEM56,0,4.72051355606615,0,5.68575733820348,2.29943626996893,0,0,0,0,0,5.42882197271773,0
PSRC1,1.55446638600676,5.82170730700242,0,2.18332719684351,0,0,0,0,5.52111895668665,0,4.2935665605813,0
GSTM5,0,0,0.938539453487952,0,0,0,0,0,0,0,0,0
FAM72B,0,0,0,2.65832520157002,0,0,0,0,0,0,0,0
CKS1B,2.28525463074312,1.14262491429794,2.7003335593274,4.91750273187144,2.29943626996893,0,2.02523543121075,4.22738912750537,6.16172614976994,0,5.48202879243347,2.30853333503458
IQGAP3,0,0,0.938539453487952,8.45074460113025,0,0,0,0,7.82451605131934,0,6.97281371856266,0
NUF2,0,0,0,6.18438876103339,0,0,0,0,5.04820415172644,0,3.52595253708092,0
MPC2,6.58383919795813,6.12610446953362,6.85266519585524,7.83091379779204,6.47358309294715,5.42074039222528,7.07769295626028,5.18835580983679,7.64343085630116,6.21284910123665,6.91594609519588,4.73874886645451
ASPM,0,0,0,7.49081814488239,0,0,0,5.18835580983679,7.42737219921068,0,6.5921700179192,0
