,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
MXRA8,0,1.77215897481878,5.19955029763702,0,0,0,0,0,0,0,1.77714742959087,0
ZBTB48,3.65804051295115,0,3.47020579378489,0,6.83254104625445,4.42005376997187,1.60741569476714,5.18835580983679,0,0,1.77714742959087,0
FBXO2,0,6.26852585676177,3.47020579378489,0,0,4.27551926693385,0,0,0,0,0.855319487273501,0
PADI2,7.33799471963431,8.5799655143923,7.82906926900152,4.63856561265205,7.97756523233491,6.15798054381936,5.89095919961925,6.51770573239893,6.48823810439268,3.81055152010268,6.7844583423819,7.72478280040867
USP48,5.56967383975736,4.58187234092091,5.23509433140934,5.44307551340965,6.1933149990425,4.83543462122546,7.355270904867,4.62304197379457,7.62009016718853,6.95761078064091,4.102925739377,4.23205167550251
FUCA1,0,0,5.08734107018753,0,5.58712027409939,5.23778356737849,0,0,0,0,0,0
TMEM50A,8.04164526589607,8.65537065523399,7.41420816056225,4.08227618763274,7.29573789663338,5.95937410622992,8.11557675707399,7.49413121657993,7.74042521771757,8.24183555194743,3.05005483153942,5.93770525979639
STMN1,8.90830115404319,7.32582456391506,8.27561147547546,10.5652966287831,8.40570631957261,0,9.27189992624262,9.19993569773288,10.7826061964402,8.96921960554205,8.53758721459245,7.03864623005801
YTHDF2,7.95419316097189,8.68107042130718,8.24542765839953,8.66732027037654,8.90793704031451,7.65832033456949,8.84083098919994,8.24047799646925,8.58863072549761,8.38713619582717,7.59678554309992,8.12795484784606
MARCKSL1,8.86099857952875,10.1563175886795,9.25175160356767,8.28452504950438,9.03851046011564,4.55141773929247,9.48265129469472,8.71645540818338,9.01570766417804,9.14298745355889,7.28122935612728,9.53400629385949
NDUFS5,7.64772332229972,8.0194475760294,7.77575969467461,8.53581514874296,8.09398354978874,6.31414198070368,8.20335994114393,7.94994258468787,8.11348423759275,8.01465612650052,8.25763805679304,8.80982265266873
YBX1,3.86401321800044,4.65285771429078,4.12916472519802,5.28822871256432,4.66223132880189,3.61166830142447,4.03147591614999,3.68043162641402,5.45229957873779,2.32468250927375,4.23277630190898,5.37595584071976
RPS8,7.73558274058359,8.62920476475433,7.94629400718842,9.1535285803174,7.93194617117369,6.56795817664599,7.71988962637508,8.68917055932176,8.37285998017101,9.49127744246763,9.38839359503731,8.67676471101093
DMBX1,0,0,0,4.78476506704221,0,0,0,0,5.38003221979051,0,0,0
CYP4B1,0,0,4.83276895524329,0,6.48626346034789,0,0,0,0,4.7582023568168,0,1.57380885507469
