,logFC,logCPM,F,PValue
TGFBI,7.23482128349588,5.6860483319078,8.22803556322804,0.0185977891663791
PLAU,6.91302508360179,8.98854463268785,7.18574265713424,0.017955545376559
SPTBN5,6.51012540542114,5.11786406369322,7.55472798293711,0.0226109207485389
TENM4,5.97954049256877,4.74784295497056,6.43636396299135,0.0319633056613281
DLGAP5,5.36824444942502,6.6000351528418,7.3029530124793,0.0172070312183372
VWC2,4.14572200976545,3.70841806982631,4.22169265993004,0.0702068726706712
AKR7A3,3.91071048501436,3.70716114596413,4.45043957527285,0.0642332921814449
CCNA2,3.89426386122062,6.26982687809533,5.06429440736063,0.0410684987838578
GDF15,3.36269502109547,12.3416360549418,2.05909526613829,0.17331772794881
CASC10,3.32178422641359,4.91322078257542,3.68219574395478,0.0756707598665581
GPNMB,2.33976881791185,3.32935503958758,2.47333159605074,0.150378413222127
SLC6A14,2.31789059935292,4.78875661703488,1.39945544713,0.256565382045669
RPL39L,2.28034913337081,6.96077640983544,3.87980111280758,0.0690368003031925
CBX1,2.25396222268264,7.80330112771185,5.59745402939502,0.0329910471052619
COMT,2.01196898632646,8.57142753810896,3.6063379262209,0.0784179471825578
ECHDC3,1.97966559669778,7.7224220265614,1.77809295314199,0.203728785666268
MDK,1.84880206924818,4.67793772413528,1.2758329929985,0.277705798681814
POLD1,1.81478506093809,5.80037155704518,1.12526782660446,0.3067907456651
BOP1,1.76790785819368,8.82015307622029,5.01715389722111,0.0418885158220868
UBE2L3,1.72317062606328,8.21236327473297,8.34297062023972,0.0119372706171795
CAPNS1,1.6934974573945,7.08205392262744,2.52163399966686,0.134673143997576
TBCA,1.63473740950738,7.16006979557524,3.15997450505483,0.0972407264780421
CETN3,1.62383484573805,5.21134737795435,0.963564657915454,0.342992919796387
COMMD10,1.62015573631252,6.94850288741602,1.46552699231789,0.246145553827699
KRT81,1.59924180408159,13.2656190798015,1.11696426445957,0.308515171797135
COX6C,1.55392131781277,9.28881681338805,11.6336046222678,0.00423510312702652
CKS1B,1.43276735326245,6.13848137100989,1.20570610363887,0.290757699561522
TSEN34,1.42440246294157,8.96946762202558,3.30566632892277,0.090552850674827
CASP7,1.37394920417923,8.6168769099271,1.92435717972259,0.187120936292251
C18orf32,1.37305619409677,8.07886755090572,1.61673544362068,0.224318584547209
UBA5,1.36292754666549,8.19917465653505,2.54731033016021,0.1328585204008
MAP2,1.35773631148481,6.98172834577165,0.643703969047178,0.43581529897269
PPA1,1.34057522268244,10.0740194589438,1.7930051150608,0.201951314523411
NDUFB5,1.33591256422525,7.70673401974882,2.56968935198723,0.131301424450613
NME1,1.32970780541617,9.49370940278024,2.72144008975979,0.121313672990617
RBM10,1.30150962156503,8.18547503842764,1.63758737417905,0.221510399458149
RGPD3,1.28454493195673,3.22218679812276,1.62218088226858,0.262414654608756
MRPL27,1.27888277950236,8.45169504918229,4.08774261721768,0.0627898852992448
LSM3,1.24489873716725,7.26438269803701,1.60529089502375,0.225879597630942
NDUFS7,1.22069874339956,9.01619948864949,1.66859182805501,0.217418931647737
SFT2D1,1.22035919267159,7.42955004034203,0.995108418790203,0.335470389297468
