,logFC,logCPM,F,PValue
TGFBI,7.23482128349588,5.6860483319078,8.22803556322804,0.0185977891663791
PLAU,6.91302508360179,8.98854463268785,7.18574265713424,0.017955545376559
SPTBN5,6.51012540542114,5.11786406369322,7.55472798293711,0.0226109207485389
TENM4,5.97954049256877,4.74784295497056,6.43636396299135,0.0319633056613281
DLGAP5,5.36824444942502,6.6000351528418,7.3029530124793,0.0172070312183372
CCNA2,3.89426386122062,6.26982687809533,5.06429440736063,0.0410684987838578
CBX1,2.25396222268264,7.80330112771185,5.59745402939502,0.0329910471052619
BOP1,1.76790785819368,8.82015307622029,5.01715389722111,0.0418885158220868
UBE2L3,1.72317062606328,8.21236327473297,8.34297062023972,0.0119372706171795
COX6C,1.55392131781277,9.28881681338805,11.6336046222678,0.00423510312702652
RAE1,1.09400956454329,9.52868195075689,8.42531670917234,0.0116068868870308
ARCN1,-1.16223143564868,10.4383411402358,7.23608704971184,0.017629502545145
EIF2B1,-1.21086865484556,9.20598997657668,5.44108428472614,0.0351497056472424
CHURC1,-1.22576122891095,8.4672416569056,6.36596168212608,0.0243916528833664
SPTSSA,-1.2637131181305,9.53562090642697,8.96453606673014,0.00968714794625884
UCP2,-1.28882437370507,11.4475045553224,7.67016752270501,0.0150860105278232
KDELR2,-1.33698103743344,11.5485225897836,19.2573164508605,0.000622234434720721
NAMPT,-1.41299805956698,9.86340626437629,5.02900392773831,0.0416805857980662
KDELR1,-1.43530057082294,9.02417506869984,8.5204763653709,0.0112381895341419
DNAJC15,-1.54360390319063,8.57788024346957,5.11067420853406,0.0402800620860454
IL13RA1,-1.75516613143955,9.63305190277159,5.33349850907467,0.0367312005724363
SMCO4,-1.99325633155623,8.17622514731649,6.00721163848194,0.0280311536967557
PGAP2,-2.38887712691763,8.53504840402271,4.85323943419973,0.0448936383994821
LACTB2,-3.34137478886502,7.0142689101903,4.70688447626045,0.047793286629435
KRT86,-3.79148785448003,9.31227714332391,11.2499055892943,0.00474034334019112
ABHD3,-4.00973515640312,7.51122024600547,5.75141010559595,0.0310157788179867
CYP1B1,-4.16843314637818,6.96811017670041,5.73657603966675,0.0311999603565932
SGCE,-4.36978568603519,3.8618618754973,5.25701884671938,0.0476667560554522
CEP128,-4.49147290734364,5.56269562781803,7.87373873816375,0.0140414562600394
MAOA,-4.59270778783064,3.92067346695428,5.26591851111451,0.047515945592775
KRT17,-5.51398855579405,4.39587041308736,5.91215812650597,0.0379926497050175
FABP7,-5.53039334327168,4.44616770715053,7.46322573735138,0.0232359472545995
FBXO2,-6.27357144243931,5.74637343946127,11.0424229301972,0.00504230947987006
TMEM110-MUSTN1,-6.35748875762241,4.96817017072222,7.82893010033922,0.0208585730918023
NNMT,-9.45151918845048,7.67394268960992,13.3385717177087,0.00533543939134631
