,logFC,logCPM,F,PValue
GPRC5A,8.79617317249946,7.24764323064657,10.7917192626223,0.00795923278863835
TGFBI,7.42635054722403,6.02799909943032,8.2572355304343,0.0161835414169857
PRSS3,7.035128501818,5.7115644317876,6.63121143550436,0.0271543205784337
PLAU,6.91975549640869,9.08932873263668,7.34781035765185,0.015931518916009
PAOX,6.31799751377744,5.12089223289642,8.05117820564874,0.0172281271936219
CHST3,4.51328083597569,4.11739585379327,4.99704479522259,0.0487695099676305
ARHGDIB,1.87884307496075,10.57435981234,6.36571279978708,0.0232020222868038
COX6C,1.75736540099173,9.54576213014931,10.0090767852715,0.00631695993351614
LRRC8A,1.5863409743,9.70383641945243,5.59682273361542,0.0316417443218312
S100A16,1.25413220104293,11.8606305282078,16.7428961174765,0.000932309773177284
KRT8,1.17707336048733,13.3226147654883,16.928995215178,0.000890063303002247
TM4SF1,-1.03686445097649,13.7819226787637,4.7163214468915,0.0460467877956978
SPTSSA,-1.10348874845955,9.66557692562715,5.07130150302785,0.0394736370169935
B4GALT1,-1.20205609275544,10.8887320308298,8.74379928971288,0.00965675194719459
SOX9,-1.66193803170594,9.90730528349363,5.54031282159417,0.0323911641868452
CDKN2B,-2.94592970371861,9.20083886875762,6.30523108421984,0.0237625025986884
MAP1B,-2.98625993783333,11.5890550012577,5.57878962968987,0.0318786901793724
AREG,-3.37061273734073,9.49657815281438,4.95880171203482,0.0414307856143054
LMO7,-3.48796392558095,7.80957769625388,6.04990852728227,0.0263074778186586
SFXN3,-4.10170912582173,3.93889206297507,6.19733774496887,0.0314955494359483
ACADS,-4.60432888106897,4.13363988081417,5.10470753289319,0.0468103339406697
ULBP3,-4.73298711644391,5.76629256535069,6.60312709730108,0.0211444572757425
TNXB,-4.82751922913983,4.23794346496696,5.92237035637698,0.0346869924357807
ASB14,-4.87383071270469,4.26943341437127,8.16601940281439,0.0166362263920663
GALNT5,-4.8999395463551,4.28204521052229,6.25431872293972,0.0308795929123525
MSN,-4.90542764550972,4.30557027841792,6.28780857654234,0.0305244071870915
LHFPL2,-4.92842033707582,7.6288802117778,11.3069401148223,0.00419081862761959
MOXD1,-5.12926128039765,4.41176549436353,5.52556257318761,0.0400186324530636
DNAH10,-5.42077856519336,4.57542109683558,6.38229861112892,0.0295487220033723
GRK5,-5.4799312491608,4.6091817515137,5.74407510809899,0.0369680534233351
FAM214B,-5.90476762852172,4.87848417746214,7.09302357559272,0.0233056037088381
SPRN,-6.34386287525147,5.09226260275819,6.94079308289927,0.0244964390196577
C15orf48,-6.39613408319085,5.20897822467436,7.36663313575423,0.0213367263417137
PHLDA1,-7.04052209711698,5.70020921557026,7.96930493319812,0.0176656972191048
FUT11,-7.14579461941614,5.7814487455307,8.36075868341599,0.0156876816499402
ITGA5,-7.33178926247165,5.95316077939059,8.28740047127594,0.0160371250739577
FUCA1,-7.61027271592757,6.15961575540587,10.271306398237,0.00913264177474393
NNMT,-9.26714665865426,7.69629228315728,13.2376895056047,0.00437049515622457
SERPINA3,-10.7029494549957,9.08011465073175,15.7570609441926,0.00252133944742168
