,logFC,logCPM,F,PValue
GPR63,5.06992237891527,6.47274965317931,5.97560938846064,0.0333960289446503
DLGAP5,4.88670166539974,8.27953278918786,5.21278181523523,0.0368490922496622
KIF14,4.03795727874898,7.80936226238257,3.14203769714116,0.0958702580719233
CCNA2,3.51918445705395,8.06409110514767,3.45006086631598,0.0822762282761351
HIST1H3C,2.96074288072607,5.7148873512747,4.81738842769166,0.0515161398236549
PHF19,2.85132716360105,8.76437912980308,1.96939942137346,0.180150274856185
CENPK,2.82708566074109,6.86554527337895,2.25972474358599,0.152799176953442
TROAP,2.43140552968424,7.44783804805756,1.46437538829189,0.244296551485129
RPL39L,2.26013529354663,9.33076716510055,2.54166785872113,0.130982913040857
DEPDC1,2.22747726668339,6.80791377083057,1.43617392815674,0.248692457241392
CDC20,2.12911490353794,9.3111827507372,1.29801480554785,0.271810491662134
PTTG1,1.89358784205609,6.79598274038206,0.915194209339513,0.353367030045264
KIF4A,1.87137877742149,8.37447380650494,0.76828019000545,0.394079356408978
HIST1H2AI,1.86849689511371,6.83447424828634,1.10876611672659,0.308426538882958
PLK1,1.73479463360442,8.83911889168584,0.637199916984985,0.436739644782785
SSRP1,1.66749457565276,10.7482753425925,2.25017849882275,0.153613028365764
HIST1H4C,1.66263222541029,7.35666851822685,0.800060154031628,0.384701123903482
OIP5,1.65573599766208,7.97498363861653,0.640042745713437,0.435738656306578
RBM10,1.60822841176215,10.6746215900967,1.97490619360439,0.179577150583287
UHRF1,1.57350132029896,8.85855379795329,0.6704814371888,0.425246296532748
SPC24,1.56750318837156,7.02492215664024,0.734507531304523,0.404431508760476
DIAPH3,1.50312788133849,7.80974299561112,0.527105799313129,0.478604351764127
CKS1B,1.43238758860106,8.16359005400871,0.917877581005841,0.352681960564136
MND1,1.43146931977473,8.09386302097216,0.573431491494488,0.460211654346925
SHCBP1,1.40670148746913,9.35549415704673,0.438056321880838,0.517743701390193
KIF20A,1.37784959178014,8.15679415639584,0.401735980780536,0.535400123709904
HIST1H1E,1.33329037873535,8.4719261472462,0.490434859555217,0.494071319025136
