,mean,total,tech,bio,p.value,FDR,per.block.Br11.mean,per.block.Br11.total,per.block.Br11.tech,per.block.Br11.bio,per.block.Br11.p.value,per.block.Br11.FDR,per.block.Br16.mean,per.block.Br16.total,per.block.Br16.tech,per.block.Br16.bio,per.block.Br16.p.value,per.block.Br16.FDR,per.block.Br23.mean,per.block.Br23.total,per.block.Br23.tech,per.block.Br23.bio,per.block.Br23.p.value,per.block.Br23.FDR,per.block.Br37.mean,per.block.Br37.total,per.block.Br37.tech,per.block.Br37.bio,per.block.Br37.p.value,per.block.Br37.FDR,per.block.Br38.mean,per.block.Br38.total,per.block.Br38.tech,per.block.Br38.bio,per.block.Br38.p.value,per.block.Br38.FDR,per.block.Br39.mean,per.block.Br39.total,per.block.Br39.tech,per.block.Br39.bio,per.block.Br39.p.value,per.block.Br39.FDR,per.block.Br44.mean,per.block.Br44.total,per.block.Br44.tech,per.block.Br44.bio,per.block.Br44.p.value,per.block.Br44.FDR,per.block.Br45.mean,per.block.Br45.total,per.block.Br45.tech,per.block.Br45.bio,per.block.Br45.p.value,per.block.Br45.FDR,per.block.Br53.mean,per.block.Br53.total,per.block.Br53.tech,per.block.Br53.bio,per.block.Br53.p.value,per.block.Br53.FDR,per.block.Br57.mean,per.block.Br57.total,per.block.Br57.tech,per.block.Br57.bio,per.block.Br57.p.value,per.block.Br57.FDR,per.block.Br61.mean,per.block.Br61.total,per.block.Br61.tech,per.block.Br61.bio,per.block.Br61.p.value,per.block.Br61.FDR,per.block.Br7.mean,per.block.Br7.total,per.block.Br7.tech,per.block.Br7.bio,per.block.Br7.p.value,per.block.Br7.FDR
S100A9,2.83478692309042,3.3896928839568,0.5322456973361,2.85744718662071,0,0,3.00607080223299,1.28173552241225,0.0241843912337137,1.25755113117854,0,0,3.18266469974522,0.116262975250452,0.0325234269970771,0.0837395482533752,2.95342283727454e-16,4.75923833151666e-15,1.11887645068182,2.43005540008543,1.60987385502506,0.820181545060372,0.016931252125689,0.0694177985322625,1.94774849221222,1.9165158098672,0.770345611999461,1.14617019786774,9.05253549040227e-36,1.03048625345291e-34,6.4057320215235,0.10576761398568,0.0681760989870201,0.03759151499866,0,0,1.01221859615068,3.07375945917978,1.73249209714643,1.34126736203335,0.0583030334106721,0.756339168096907,5.877123653727,NA,NA,NA,NA,NA,3.19825083923644,20.4576168613532,0.666045182015948,19.7915716793372,0,0,0,NA,NA,NA,NA,NA,3.70051798839933,0.316353020026606,0.0457132661216334,0.270639753904972,1.19751745640088e-145,4.98137323926357e-142,2.68941432330178,0.93351455624093,0.27370173204027,0.659812824200661,2.46193900388407e-34,2.01925892394758e-31,2.08637501742026,3.26534762116655,0.0994013117943927,3.16594630937216,0,0
HIST2H2BE,2.07797478695997,3.48351865867675,0.656116995963438,2.82740166271331,0,0,2.08091568350441,1.95740373233241,0.406500366177293,1.55090336615511,2.88197248260668e-61,1.98836316591742e-60,1.80137065044364,1.05685342895525,0.851801364430564,0.20505206452469,0.224676429540219,0.542321262548613,2.53726627450127,2.28696524910805,0.427165996019297,1.85979925308875,8.97198221995044e-74,7.40046325934932e-73,2.60059141390898,0.0150914798077047,0.0581632756555555,-0.0430717958478508,0.999999999692004,1,0,0,0,0,NA,NA,1.51577734844608,1.73085678538535,1.97251013173475,-0.241653346349396,0.598054478228109,0.978653450279076,0,NA,NA,NA,NA,NA,3.47067350672224,24.0911491805273,0.520553253008234,23.5705959275191,0,0,2.68332224892165,NA,NA,NA,NA,NA,2.76754441695202,0.783668186488938,0.54780647830629,0.235861708182648,0.0309513158081933,0.999989875876421,2.40471070638825,0.988349852428904,0.889369440592229,0.0989804118366753,0.287229976346626,0.999999728243791,1.60089786873284,1.92484869173359,0.887299653710173,1.03754903802342,3.48636582272864e-05,0.000321025735439384
DAB2,0.891121327527452,3.13297362248031,0.581780198496573,2.55119342398374,0,0,0.956996389831542,2.74954490243004,1.61406123622426,1.13548366620578,0.00119314604606091,0.00433152959527231,1.90118972328539,1.34927708899637,0.542431751943175,0.806845337053198,1.47413381101062e-06,1.06068278785145e-05,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,3.40111280165896,23.135136579217,0.553947749245654,22.5811888299713,0,0,0,NA,NA,NA,NA,NA,0.210910175604952,0.57828032825825,0.442518442081656,0.135761886176595,0.0917050825044494,0.999989875876421,1.69222665333522,1.83549395060114,1.33757711246881,0.497916838132329,0.0301842396381444,0.653953891229433,0.748777531558453,1.68200337530031,1.32726569300217,0.354737682298144,0.181660564129096,0.745623892158947
ERCC-00073,1.11151961106967,4.98068109270318,2.46213106712171,2.51855002558146,0,0,0.819335747386763,1.97166143167537,1.48805051439989,0.483610917275479,0.080278683416602,0.222736408436554,0.361617472253627,0.653835981195513,0.469568300089148,0.184267681106364,0.108752294891682,0.320540110649984,0.640948388757673,2.05407418525529,1.35772009353484,0.696354091720448,0.0163426081193796,0.0672402307310509,1.29911734360256,3.37541174489793,3.39576696836841,-0.0203552234704762,0.519968814503841,0.876846410660511,2.66378954843015,14.1915495166514,14.1860390691415,0.00551044750986307,0.461039569865202,0.709554105960966,0,0,0,0,NA,NA,5.2920994699135,NA,NA,NA,NA,NA,3.45389944213699,23.8588427127885,0.528388700759475,23.330454012029,0,0,1.95116830438699,NA,NA,NA,NA,NA,0.426055670668544,1.08414695706232,0.837683027439639,0.246463929622682,0.101011369638796,0.999989875876421,0.775190001787508,1.24943111361772,1.14047130590649,0.108959807711231,0.314897463376603,0.999999728243791,0.675242495672914,1.36785728388775,1.21762269157771,0.150234592310045,0.337366816469078,0.934056861052216
LEPROT,2.33089141202478,2.90737815303977,0.447738301408831,2.45963985163094,0,0,2.59791566859138,0.930383069964443,0.051978306221178,0.878404763743265,0,0,2.26372439763224,0.132983086766162,0.10297932493393,0.0300037618322314,0.179938499319373,0.46204633840619,2.30880903977195,1.90298191116548,1.55259065358108,0.350391257584396,0.17364467946128,0.488050166566666,2.95837591292493,0.0201803905582818,0.0296630416926343,-0.00948265113435254,0.996213580916304,1,0,0,0,0,NA,NA,2.95100470467703,0.0426742279226748,0.0167441853287024,0.0259300425939724,0.00084811896552921,0.0187099519249483,0,NA,NA,NA,NA,NA,3.41886339331816,23.377253804342,0.545197727173929,22.8320560771681,0,0,2.76210286021536,NA,NA,NA,NA,NA,2.8685711452992,0.0722666103505768,0.331484922515423,-0.259218312164846,0.999651674691305,0.999989875876421,2.34131171075782,0.673050165344184,0.957603241577749,-0.284553076233565,0.933087848340349,0.999999728243791,1.60033814727512,1.92200826398388,0.889141611063676,1.03286665292021,3.89023595325531e-05,0.000355443985758764
FAM46C,1.3294261212438,3.36734501931582,0.91568336919897,2.45166165011685,0,0,1.30763900687408,1.93418368200999,1.75503606441233,0.179147617597665,0.329706674470335,0.652988147708382,2.02774770975267,1.51127719712552,0.273917206256262,1.23735999086926,4.87086102823472e-46,3.81456657626633e-44,1.48384225897717,2.04498597385645,2.02744046477275,0.017545509083702,0.485625233119769,0.938525686857126,2.13764093882904,0.996651024764577,0.369024846810433,0.627626177954144,4.08978455260488e-46,5.28187422040451e-45,0,0,0,0,NA,NA,0,0,0,0,NA,NA,5.29639304584108,NA,NA,NA,NA,NA,3.32620811285092,22.1273208199905,0.592675705546613,21.5346451144439,0,0,0,NA,NA,NA,NA,NA,0.852507114822249,1.78865698257002,1.33589656173591,0.452760420834104,0.0708310330181322,0.999989875876421,1.05099253213736,1.4801325512595,1.32627935636796,0.153853194891536,0.279185675836502,0.999999728243791,1.10768353819455,1.79024196158161,1.47656348608744,0.313678475494171,0.23497545649309,0.884636372984764
ERCC-00156,0.50453776768907,2.73916348641504,0.329775728150381,2.40938775826466,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0.800543793406446,1.92261109548475,1.5249135234913,0.397697571993446,0.29853761275938,0.978653450279076,4.13294807855499,NA,NA,NA,NA,NA,3.46575852061364,24.0229642464122,0.522835114930164,23.500129131482,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.200080604848858,0.440354732803535,0.322170907769995,0.11818382503354,0.0321018396931941,0.665780488402647,0.578994758021748,1.00570478944999,0.927837735312348,0.0778670541376399,0.387651631177777,0.934056861052216
SLC38A10,2.36363139237665,2.73728019730796,0.336343569552407,2.40093662775555,0,0,2.00068821090581,2.07551267154798,0.541247098047969,1.53426557350001,9.61937255621365e-35,5.45499841824153e-34,2.37717232810976,0.401461624885701,0.0543434353880338,0.347118189497667,6.36740986410401e-90,1.81091370714018e-87,3.16470788725911,0.311563737909106,0.0210116129618611,0.290552124947245,0,0,1.87298429243475,1.63494654119211,1.07395164317103,0.560994898021083,6.39257926877915e-06,4.0241810478872e-05,0,0,0,0,NA,NA,2.97212301179629,0.0206677952640668,0.0155127850306074,0.00515501023345939,0.250299459553162,0.978653450279076,0,NA,NA,NA,NA,NA,3.28328558739558,21.559928496799,0.616238328299517,20.9436901684995,0,0,2.90815866357691,NA,NA,NA,NA,NA,2.53344529209024,1.27537125491638,0.913841267268481,0.361529987647901,0.0431285554799839,0.999989875876421,2.92573318109625,0.0404673589031827,0.101360105621546,-0.0608927467183631,0.998781037770383,0.999999728243791,2.50617413267868,0.0528824916619827,0.0259294197350206,0.0269530719269621,0.000203468862629542,0.00171707596765227
LOC102724765,0.606544111268969,2.94029250285523,0.545367507647053,2.39492499520818,0,0,0.8677018836696,2.30081698301703,1.53723703339609,0.763579949620942,0.0159907685191924,0.0521776700058064,0.363698398042349,0.661382623692855,0.473161813305998,0.188220810386857,0.105635153004221,0.314442061210324,0.409809486997267,0.839719078164816,1.11831824265114,-0.278599164486326,0.850244759668247,0.99998241641373,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0.61202396547266,1.12372000293864,1.09206157310324,0.0316584298353961,0.476572224263804,0.978653450279076,0,NA,NA,NA,NA,NA,3.43762320152719,23.6345065513561,0.536122113176748,23.0983844381794,0,0,0,NA,NA,NA,NA,NA,0.188450381034183,0.461676099455072,0.397298204644691,0.0643778948103815,0.24114026454557,0.999989875876421,0.186133795946444,0.381103689927757,0.299476096192619,0.0816275937351379,0.0845406044220127,0.999999728243791,0,0,0,0,NA,NA
ADAMTS15,0.71844664595364,2.98136545329093,0.603748318185315,2.37761713510562,0,0,0.475616097793356,1.12070558926139,0.987134528096303,0.133571061165085,0.279535881441433,0.589843433563045,0,0,0,0,NA,NA,1.90136171819136,3.0649592306082,1.91595398017223,1.14900525043597,0.00625379246976219,0.0285116355637995,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0.793696507110664,1.889862436199,1.51299179351502,0.376870642683983,0.306823127828347,0.978653450279076,0,NA,NA,NA,NA,NA,3.34997103690683,22.4446118962293,0.580066846418925,21.8645450498103,0,0,2.17967703242831,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.663821099534198,1.2935153806115,1.04133603365067,0.252179346960833,0.110892938930494,0.999999728243791,0,0,0,0,NA,NA
